Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5zOkTexquvf7CWbgnPZkx8,"Yukadans","Maslak Halayı","Ayyuka",2019-10-04,248611,0,false,11126935918,2024-09-30T19:56:54Z,"anatolian rock","Tantana Records",0.5,0.862,4,-7.412,0,0.0397,0.0322,0.764,0.0765,0.917,190.086,4
spotify:track:7eqc59AnEbcpAFnNtVnGjf,"Adventures in Addis","Altın Serüvenler / 15 Golden Adventures","Hayvanlar Alemi",2018-01-12,220500,6,false,11126935918,2024-09-30T19:57:19Z,"space rock,stoner rock,anatolian rock","Shalgam Records",0.473,0.765,5,-7.426,1,0.0339,0.00022,0.762,0.26,0.738,116.935,4
spotify:track:1VC5qhYRz1EwigUbN9CCn5,"Yorulmadım","3 Akorun İntikamı","Kilink",2004-12-13,181933,26,false,11126935918,2024-09-30T19:57:47Z,"punk","Kilink",0.43,0.856,2,-7.759,1,0.0456,0.0899,0.0000155,0.248,0.797,153.376,4
spotify:track:7no46t2pn0kU6Htr8yfWtZ,"Kargalar","Kargalar","Özlem Tekin",2013-01-18,236251,46,false,11126935918,2024-09-30T19:58:08Z,"turkish pop,anatolian rock,karadeniz folk","ATEŞ MÜZİK FİLM",0.59,0.91,8,-4.594,1,0.0356,0.00116,0.0000209,0.116,0.547,133.973,4
spotify:track:5UV2oqgMXvlkOvvtK3aT7f,"Bir Derdim Var","Dünya Yalan Söylüyor","mor ve ötesi",2004-04-16,204320,69,false,11126935918,2024-09-30T19:58:26Z,"anatolian rock,turkish pop","RAKUN MÜZİK FİLM",0.586,0.89,11,-1.988,0,0.0369,0.012,0.00508,0.114,0.426,119.062,4
spotify:track:3Z3jTQWJQfZ76lkbdcthBn,"Ayrılık","Anadolu Konserleri I-II","Selda Bağcan",1992-01-01,282305,64,false,11126935918,2024-09-30T19:59:06Z,"anatolian rock,arabesk","Majör Müzik Yapım",0.268,0.271,5,-18.148,1,0.0344,0.889,0.0000429,0.465,0.41,75.737,3
spotify:track:5CX5ugcSOm6G24vZGhEPU0,"Çav Bella","Haziranda Ölmek Zor / Berivan","Grup Yorum",1994-01-24,101980,38,false,11126935918,2024-09-30T19:59:51Z,"karadeniz folk,anatolian rock,arabesk","KALAN SES GÖRÜNTÜ",0.55,0.304,10,-13.887,1,0.102,0.87,0,0.0997,0.625,68.302,4
spotify:track:6DK6rh3xwctNiqBbIRReTk,"Ağlaya Ağlaya","Kırınardı","Gevende",2017-02-17,273906,37,false,11126935918,2024-09-30T20:01:01Z,"","Baykuş Müzik",0.37,0.177,1,-15.76,1,0.0336,0.941,0.0708,0.111,0.0875,155.691,4
spotify:track:5075GMTwbeIDAg0IMiC1mv,"Çarşı","Mi Kubbesi","Nekropsi",1996-12-23,78400,25,false,11126935918,2024-09-30T20:01:09Z,"anatolian rock,progressive rock","ADA MÜZİK",0.569,0.354,2,-13.585,1,0.0368,0.915,0.919,0.072,0.649,137.039,4
spotify:track:6vEL7E8TGzrxuxbrgdlkLL,"Şımarık","Ölürüm Sana","Tarkan",1997,235218,71,false,11126935918,2024-10-01T02:39:38Z,"turkish pop,t-pop","İSTANBUL PLAK LTD.",0.775,0.818,7,-8.687,1,0.164,0.0518,0,0.114,0.826,97.06,3
spotify:track:0b83EVqnn2eJGjKvEuIuXt,"Bir Sana Bir De Bana","Baba Zula Box Set","Baba Zula,Mad Professor,Brenna MacCrimmon",2005,179053,50,false,11126935918,2024-10-01T02:58:09Z,"anatolian rock,dub,reggae,roots reggae,electrocumbia,oyun havasi","Doublemoon Records",0.66,0.286,7,-13.925,1,0.0349,0.56,0.000557,0.0775,0.612,111.088,4
spotify:track:2PCHXsXdpE5qitu9ZnTK5r,"Isyan","Isyan","Ko Shin Moon,Melike Şahin",2022-06-10,225396,50,false,11126935918,2024-10-01T02:59:03Z,"turkish pop,arabesk","Total Totem",0.647,0.575,7,-11.132,1,0.0322,0.0354,0.00000356,0.263,0.797,129.983,4
spotify:track:5uvcwuIjRwU4LIURlalyz2,"Eskitilmiş","Sattas Reggaeband","Sattas",2012-06-19,215106,59,false,11126935918,2024-10-01T02:59:41Z,"","Esen",0.653,0.515,7,-9.586,0,0.0635,0.453,0.0000828,0.177,0.848,170.135,4
spotify:track:1oeSGcKLgsY2srnp57TRLf,"Balıkesir","Cihan","Birsen Tezer",2009-06-19,204428,46,false,11126935918,2024-10-01T03:01:56Z,"turkish pop","Kalan Ses Görüntü",0.377,0.356,7,-10.273,0,0.0444,0.964,0.0000979,0.104,0.484,172.072,3
spotify:track:7uEzf2oTb8NlV6du8DvlMV,"Burçak Tarlası","Mustafa Özkent Ve Orkestrası Gençlik İle El Ele","Mustafa Özkent",2007-01-29,176657,23,false,11126935918,2024-10-01T04:09:07Z,"anatolian rock,neo-psychedelic,psychedelic rock","ÖNCÜ MÜZİK PRODÜKSİYON",0.656,0.713,10,-14.583,1,0.0387,0.346,0.875,0.1,0.51,100.918,4
spotify:track:2rnISxKF9GvnLM2q9v7ds4,"Jam Session - Tamburla","Anadolu Pop","Moğollar",1995-06-15,289613,11,false,11126935918,2024-10-01T04:09:27Z,"anatolian rock,oyun havasi","YAVUZ BURÇ PLAKÇILIK",0.353,0.19,5,-15.547,0,0.0632,0.987,0.901,0.1,0.187,82.381,4
spotify:track:78Vc3Rahx7r1YMjitiGIzP,"Sarı Çizmeli Mehmet Ağa","Sarı Çizmeli Mehmet Ağa","Barış Manço",1993,267838,0,false,11126935918,2024-10-01T04:09:40Z,"anatolian rock,turkish pop,arabesk","EMRE GRAFSON MÜZİK",0.695,0.634,11,-8.353,0,0.0396,0.76,0.00000111,0.334,0.724,91.79,4
spotify:track:6rivY3np1i0zKbBeDvYJ5V,"Dialogue","Arsnova","Akın Sevgör",2016-02-12,441300,31,false,11126935918,2024-10-01T04:12:59Z,"","Tantana Records",0.723,0.274,7,-14.887,0,0.043,0.775,0.866,0.123,0.192,99.994,4
spotify:track:0eBTgwnzdEz5eYyQDvz3rn,"Perfectly Nothing","The Climb","The Climb",1999-03-26,225333,20,false,11126935918,2024-10-01T04:24:05Z,"","Zihni",0.463,0.768,4,-5.68,0,0.0542,0.0000348,0.00467,0.174,0.279,152.06,4
spotify:track:31GiaL4TKuL5wZLqVMVYto,"Larvalar","Mental Yara","Kaptan Kadavra",2023-01-20,202702,17,false,11126935918,2024-10-01T04:24:16Z,"","Captain Cadaver Records",0.305,0.797,11,-9.928,1,0.0436,0.000376,0.000148,0.121,0.71,144.995,4
spotify:track:1rfrKdTylhzTKMHD9hEvA2,"Telaşlı Sen","ARA","Cenk Erdoğan",2023-02-03,184067,8,false,11126935918,2024-10-01T04:24:30Z,"","Undo Records",0.544,0.197,11,-15.821,0,0.057,0.939,0.903,0.107,0.0865,124.89,3
spotify:track:6LBuCdFpSsYYHX9oFpdRmy,"Kaşıntı","Şile","Lopenstraat",2016-10-16,151477,10,false,11126935918,2024-10-01T04:40:31Z,"","Personal Space Records",0.288,0.585,9,-12.713,0,0.0314,0.0154,0.844,0.352,0.344,158.194,1
spotify:track:66bVG60nnrBayOyfspxxEC,"Yadigar Ejder","Yadigar Ejder","The Ringo Jets",2019-12-06,207621,32,false,11126935918,2024-10-01T04:41:20Z,"anatolian rock","Ferment Records",0.523,0.864,11,-6.707,0,0.0436,0.00211,0.00586,0.0748,0.864,100.066,4
spotify:track:0EgV63hPA7gYhlR291DCF8,"Yine Buluşuruz","Yine Buluşuruz","Korhan Futacı,Kara Orkestra,Yasemin Mori",2016-04-24,241522,38,false,11126935918,2024-10-01T04:42:23Z,"turkish pop","Dokuz Sekiz Müzik",0.438,0.501,0,-9.295,0,0.027,0.00143,0.43,0.0988,0.13,140.056,4
spotify:track:6xEgaWZ0MXuZD9UcWSRYgq,"Miras","Miras","Melike Şahin,Ah! Kosmos",2022-04-01,227168,15,false,11126935918,2024-10-01T04:45:50Z,"turkish pop,arabesk,dark ambient","Gülbaba Records",0.423,0.565,2,-10.945,0,0.0388,0.674,0.294,0.11,0.281,102.868,4
spotify:track:13iNtrlRCEpj0H2uciRmqa,"Sevenler Ağlarmış","3 Hürel (Türk Pop Tarihi)","3 Hürel",1999-01-01,353693,48,false,11126935918,2024-10-01T04:48:37Z,"anatolian rock","ADA MÜZİK",0.426,0.744,7,-10.153,1,0.0636,0.00143,0.189,0.18,0.655,134.714,4
spotify:track:5QfhqYAS8wmNnvFuOgLNRs,"Bu Son Olsun","Bu Son Olsun","Cem Karaca",2015-03-04,166000,57,false,11126935918,2024-10-01T04:49:29Z,"anatolian rock,arabesk,turkish pop","YAVUZ BURÇ PLAKÇILIK",0.468,0.718,4,-2.564,0,0.039,0.755,0.000177,0.585,0.717,95.85,1
spotify:track:27sRogaIuUA9UteLoPcEDw,"Istanbul","Sehir Rehberi","Pamela",2004-11-23,252333,63,false,11126935918,2024-10-01T04:49:56Z,"turkish pop,arabesk","Epic",0.804,0.638,4,-6.696,0,0.0709,0.00207,0.00322,0.132,0.734,129.832,4
spotify:track:5j7BkF05D2Wb26vqBvYkPk,"Sana Değil Kardeşine - Version 1","Sana Değil Kardeşine","Mercan",2010-01-13,227506,27,false,11126935918,2024-10-01T04:50:52Z,"turkish pop","DOĞAN MÜZİK YAPIM",0.745,0.725,6,-6.944,1,0.0408,0.0111,0.00276,0.132,0.875,120.044,4
spotify:track:22E0QImA8MZuxadgAHIBet,"We Could Be The Same - Brussels","We Could Be The Same","maNga",2010-04-16,183470,37,false,11126935918,2024-10-01T04:53:08Z,"anatolian rock,turkish pop","Grgdn Müzik",0.564,0.924,9,-4.542,0,0.0634,0.00839,0,0.0466,0.523,132.985,4
spotify:track:0o8G72kJfRnQJrFJkoRpCg,"Dinle","Dinle","Şebnem Paker",1997-03-01,169404,48,false,11126935918,2024-10-01T04:53:34Z,"","Şebnem Paker",0.732,0.601,0,-14.376,0,0.0419,0.445,0.00854,0.0838,0.71,101.975,4
spotify:track:7B2eFoaBjo2kCEh6V81xdx,"Everyway That I Can","The Best of Sertab Erener","Sertab Erener",2007-03-09,166893,50,false,11126935918,2024-10-01T04:58:31Z,"turkish pop","SONY MUSIC TURKEY",0.663,0.901,7,-3.772,1,0.0463,0.0241,0.0000416,0.186,0.723,95.009,4
spotify:track:0lrfWTxWwdZWWtJsXXL31z,"Hal Hal","Hal Hal","Barış Manço",1989-12-22,211187,53,false,11126935918,2024-10-01T04:59:39Z,"anatolian rock,turkish pop,arabesk","EMRE GRAFSON MÜZİK",0.671,0.754,4,-10.878,0,0.0394,0.177,0,0.0675,0.978,97.944,4
spotify:track:4uqlFpMPTKO6uAsX6qvK0l,"Her Şeyi Yak","Belki Alışman Lazım","Duman",2002-10-16,270280,68,false,11126935918,2024-10-01T05:02:35Z,"anatolian rock,turkish pop","EMI - Kent Elektronik Sanayi ve Ticaret A.S.",0.627,0.538,2,-6.79,1,0.0246,0.459,0,0.123,0.204,100.038,4
spotify:track:15xj7p5uDk9sDnNbQtgZ8Y,"Dudu","Dudu","Tarkan",2003-06-20,277916,67,false,11126935918,2024-10-01T05:05:04Z,"turkish pop,t-pop","HİTT MÜZİK PRD.",0.707,0.864,4,-7.053,0,0.0463,0.0289,0.0000202,0.0331,0.92,90.998,4
spotify:track:3IXzmgD85fqt1cO4wdSmkE,"Lai Pun Lal","Uyk La","Kupka",2003-01-01,336535,2,false,11126935918,2024-10-07T03:38:56Z,"post-rock","Reftlight Records",0.394,0.377,7,-14.68,1,0.0371,0.0489,0.848,0.108,0.144,139.002,4
spotify:track:3AEAytlDhiffwomK9GQ0Wg,"Ufo","Hunili Ayin","Softa",2013-04-24,213373,13,false,11126935918,2024-10-16T19:20:57Z,"punk","Peyote Müzik",0.543,0.744,9,-8.004,1,0.0335,0.000297,0.00059,0.127,0.216,156.954,4
spotify:track:1RtKWshFLbRrG2wxSlBmJU,"Karbeyaz","II (Venus)","Palmiyeler",2017-02-09,242690,0,false,11126935918,2024-10-24T19:44:50Z,"","Tantana Records",0.674,0.63,6,-5.475,0,0.0253,0.52,0.0468,0.0934,0.714,97.033,4
spotify:track:3A6pYIUJ7jspDJdab9pCPo,"Asimilasyon","Narin Yalnızlık","She Past Away",2015-05-06,252093,43,false,11126935918,2024-10-24T19:52:24Z,"darkwave,cold wave,post-punk,gothic rock,deathrock,ebm","Remoov",0.575,0.899,2,-4.328,1,0.0473,0.00066,0.865,0.0805,0.905,159.993,4
