Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:37UcMho3b1s8HcS6dG9N2x,"Swimswimswim","Outta Here","Tosca",2014-10-06,252245,50,false,1a74b63i0zf75qotyz7k0d8ew,2024-10-26T00:48:17Z,"trip hop,downtempo,acid jazz,nu jazz,lounge","!K7 Records",0.903,0.545,0,-7.761,1,0.038,0.0137,0.00519,0.224,0.956,120.017,4
spotify:track:1EkOczhnIFrXIaXmsSwPLk,"Sunflower","DREAMER","Nabihah Iqbal",2023-04-28,240400,44,false,1a74b63i0zf75qotyz7k0d8ew,2024-10-26T00:55:32Z,"darkwave","Ninja Tune",0.487,0.845,6,-7.866,0,0.0417,0.0186,0.296,0.18,0.306,129.953,4
spotify:track:1yTD2sqFUnRvD1Z1WwrAjL,"Mirando El Fuego","Camino de Flores","El Búho,Joaquín Cornejo,Minuk",2018-12-14,341500,55,false,1a74b63i0zf75qotyz7k0d8ew,2024-10-26T00:56:04Z,"electrocumbia","Shika Shika",0.654,0.569,2,-11.115,0,0.0323,0.78,0.149,0.248,0.318,97.018,4
spotify:track:4G0cKJupBY79cAoYDihZwI,"Pin It Down","Who Are You Now","Madison Cunningham",2019-08-16,246573,40,false,1a74b63i0zf75qotyz7k0d8ew,2024-10-26T00:56:26Z,"","Verve Forecast",0.637,0.565,5,-6.864,1,0.0551,0.307,0.0000103,0.11,0.689,167.687,4
spotify:track:3qt3ybU6MScMxMKL2TYBvt,"No Particular Place To Go","St. Louis To Liverpool","Chuck Berry",1964-11-01,163000,65,false,1a74b63i0zf75qotyz7k0d8ew,2024-10-26T00:56:57Z,"rockabilly,rock and roll","Geffen",0.596,0.791,7,-8.88,1,0.0446,0.425,0.000295,0.0886,0.98,129.237,4
spotify:track:4D0dgZLZWkaWG25NBuxOfS,"DJ","Brut de femme","Diam's",2003-05-12,270960,60,false,1a74b63i0zf75qotyz7k0d8ew,2024-10-26T00:57:11Z,"french r&b,french rap","Parlophone (France)",0.916,0.623,4,-7.648,1,0.118,0.15,0,0.179,0.816,123.08,4
spotify:track:3Yu5XohK3sDfSg5os4ARFm,"KI-KI","KI-KI","YEИDRY",2022-05-06,141335,47,false,1a74b63i0zf75qotyz7k0d8ew,2024-10-26T00:57:47Z,"","Sony Music Latin/RCA Records",0.944,0.651,0,-6.702,1,0.249,0.127,0.00112,0.0792,0.598,129.985,4
spotify:track:5siwoDxCGDYnmfWV5SlUpE,"Bamboleo","Gipsy Kings","Gipsy Kings",1988-11-08,203173,57,false,1a74b63i0zf75qotyz7k0d8ew,2024-10-26T00:58:04Z,"flamenco","Nonesuch",0.671,0.884,6,-9.267,0,0.0586,0.414,0.00015,0.0701,0.933,119.574,4
spotify:track:692C4fgt86NVLGwKXe4KCs,"Hasta la Raíz","Un Canto por México Vol. 1","Natalia Lafourcade,Los Cojolites,Los Auténticos Decadentes",2020-05-08,272213,42,false,1a74b63i0zf75qotyz7k0d8ew,2024-10-26T00:58:21Z,"latin folk,bolero,latin indie,latin folklore,latin alternative,son jarocho,argentine rock,latin rock,ska,rock en español,murga","Sony Music México",0.722,0.616,0,-7.42,0,0.034,0.476,0,0.66,0.734,155.22,3
spotify:track:0X0LTI0MQG9S3FLSUvjrj5,"Big Time Sensuality","Debut","Björk",1993-07-05,236640,56,false,1a74b63i0zf75qotyz7k0d8ew,2024-10-26T00:58:30Z,"art pop,trip hop","143/Atlantic Entertainment",0.723,0.732,1,-12.251,0,0.0963,0.0000767,0.0135,0.18,0.516,118.582,4
