Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4NQfrmGs9iQXVQI9IpRhjM,"The Thrill Is Gone","Completely Well","B.B. King",1969-12-05,324733,68,false,,2025-01-28T16:01:18Z,"blues,classic blues,jazz blues,soul blues,blues rock","Geffen",0.547,0.46,11,-8.759,0,0.0256,0.344,0.442,0.0983,0.543,90.768,4
spotify:track:0vDn81gdOuRxjbIwcASuiV,"Born Under A Bad Sign","Born Under A Bad Sign","Albert King",1967,166560,57,false,,2025-01-28T16:01:18Z,"blues,classic blues,blues rock,soul blues,jazz blues,modern blues","Stax",0.691,0.493,11,-10.616,1,0.0285,0.45,0.00517,0.0231,0.801,91.541,4
spotify:track:46UVOp5pnAasev0rak9ta7,"All Your Love (I Miss Loving)","An Introduction To Otis Rush","Otis Rush",1956,157132,54,false,,2025-01-28T16:01:18Z,"blues,classic blues,blues rock,soul blues","Cobra Records",0.469,0.767,1,-5.952,0,0.0539,0.818,0.00261,0.23,0.646,127.842,4
spotify:track:58PSYdY0GFg0LFb2PxYk4T,"Mannish Boy","King Of The Electric Blues","Muddy Waters",1977,321133,66,false,,2018-03-29T19:44:07Z,"blues,classic blues,blues rock,soul blues,jazz blues,country blues","Epic/Legacy",0.598,0.735,2,-10.882,1,0.0973,0.44,0.000215,0.681,0.615,111.129,3
spotify:track:2wnjZXcAT3rCjjqxLeHjv7,"Going Down","Getting Ready... (World)","Freddie King",1971,204333,60,false,,2020-01-15T21:29:46Z,"blues,classic blues,blues rock,soul blues","EMI Music Special Markets",0.565,0.526,0,-11.352,1,0.0365,0.0339,0.000119,0.11,0.637,167.936,4
spotify:track:0qRz3AYteD6VX65GkBqcel,"The Sky Is Crying","Shake Your Moneymaker: The Best of the Fire Sessions","Elmore James",2001-03-19,166400,53,false,,2025-01-28T16:01:18Z,"blues,classic blues,blues rock","Buddha Records",0.294,0.611,2,-6.268,1,0.0348,0.0226,0.435,0.114,0.567,178.191,3
spotify:track:4KMXlzvtC8xjLseDqDjpeU,"My Babe","The Essential Little Walter","Little Walter",1993-06-08,162040,60,false,,2020-01-15T21:29:46Z,"blues,classic blues","Geffen",0.676,0.334,5,-10.572,1,0.0508,0.862,0,0.32,0.867,158,4
spotify:track:5goa9CsIDXc9G0Df9dL9ft,"Stone Crazy","I Was Walking Through The Woods (Expanded Edition)","Buddy Guy",1970-01-01,431853,54,false,,2025-01-28T16:01:18Z,"blues,classic blues,blues rock,soul blues,modern blues,country blues,jazz blues","Geffen",0.447,0.464,2,-11.622,1,0.12,0.807,0.000118,0.249,0.62,175.465,3
spotify:track:2Mr1bGI2E10K7Mt1UJZ6Mw,"Boom Boom","Burnin'","John Lee Hooker",1962-01-01,152350,61,false,,2018-03-29T19:44:07Z,"blues,classic blues,blues rock,country blues,soul blues,jazz blues","Vee-Jay Records",0.441,0.455,10,-14.207,1,0.0485,0.62,0.00187,0.135,0.918,160.9,4
spotify:track:3DjwjAUPT4zvIu6ZzcgLGJ,"T-Bone Blues","T-Bone Blues","T-Bone Walker",2005-03-29,228626,56,false,,2024-07-08T18:48:37Z,"blues,classic blues,jazz blues","Rhino Atlantic",0.541,0.283,0,-13.66,1,0.0528,0.804,0.0364,0.0736,0.564,76.832,4
