Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2PQcAZu2OweqjtlzuCbBoT,"El Trabajo Es La Suerte","El Trabajo Es La Suerte","Banda MS de Sergio Lizárraga",2020-08-14,185493,54,false,22urf34ngbd7tdlq4o2x56vtq,2024-09-08T13:53:33Z,"banda,norteño,grupera,música mexicana,corrido","Lizos Music",0.858,0.47,3,-5.631,1,0.0436,0.167,0.00000242,0.0478,0.962,118.011,4
spotify:track:4VSz0rmMn6WHLVCE6KyZBz,"El Sauce y la Palma","15 Éxitos de los Alegres de Terán Vol. 2","Los Alegres De Teran",1986-10-16,148293,20,false,22urf34ngbd7tdlq4o2x56vtq,2024-09-08T13:53:42Z,"norteño,son jarocho,corrido,ranchera,música mexicana","Discos Power",0.807,0.544,2,-9.941,1,0.117,0.333,0.0000028,0.076,0.861,109.82,4
spotify:track:3NSKLP9pJ9KqQJkzhY3x1M,"Me Voy Pa'l Pueblo","La Absoluta Colección","Los Panchos",2017-03-10,177906,33,false,22urf34ngbd7tdlq4o2x56vtq,2024-09-08T13:59:40Z,"bolero","Columbia",0.797,0.608,9,-10.992,1,0.0335,0.8,0,0.21,0.96,120.664,4
spotify:track:0aSchN9e2PIuwej57T3eBB,"Cariñito","De Peligro","Rodolfo Aicardi,Los Hispanos",2015-07-01,230306,44,false,22urf34ngbd7tdlq4o2x56vtq,2024-09-08T14:02:37Z,"cumbia,tropical music,cumbia sonidera","2015 Discos Fuentes",0.675,0.529,1,-8.968,1,0.03,0.807,0.00145,0.0788,0.956,105.912,4
spotify:track:3GwJnpt01qkamcjLnLX8Bp,"El Chico Aquel","15 Éxitos de Marisela Vol. 2","Marisela",1989-01-01,218733,11,false,22urf34ngbd7tdlq4o2x56vtq,2024-09-08T14:04:36Z,"","IM Music Group",0.835,0.38,10,-16.05,1,0.0638,0.545,0.0000236,0.0957,0.767,104.43,4
spotify:track:0GeR6j3KxDNkLgjRbNgYxm,"No Voy A Llorar","10 Años De Historia","Los Diablitos",1994-01-01,283600,0,false,22urf34ngbd7tdlq4o2x56vtq,2024-09-08T14:05:04Z,"vallenato,popular colombian music","Codiscos S.A.S.",0.543,0.65,9,-10.729,1,0.0666,0.649,0,0.116,0.782,147.067,4
spotify:track:3gdqGOwehf4pzEJjl4Zxpw,"El Rebelde","Arriba!","Little Joe And The Latinaires",2005-07-15,189093,26,false,22urf34ngbd7tdlq4o2x56vtq,2024-09-08T14:05:36Z,"tejano,música mexicana","La Familia Enterprises LLC",0.403,0.47,0,-3.752,1,0.0286,0.0118,0.0000131,0.409,0.524,108.698,3
spotify:track:7CngZD2rVfhikd8DPuFWYA,"De Esta Sierra a la Otra Sierra","Corridos Con Banda Sinaloense","El As De La Sierra",1997-02-02,137933,55,false,22urf34ngbd7tdlq4o2x56vtq,2024-09-08T14:05:58Z,"corrido,banda,norteño,música mexicana","Unisound",0.599,0.554,8,-7.487,1,0.0536,0.291,0.000652,0.104,0.984,144.464,4
spotify:track:656ZHcf9DiKQMvzuVPIZoi,"Flor De Capomo","15 Éxitos","Carlos Y Jose",1984-01-01,165480,67,false,22urf34ngbd7tdlq4o2x56vtq,2024-09-08T14:06:16Z,"norteño,corrido,cumbia norteña,música mexicana,ranchera","Universal Music Mexico",0.735,0.605,7,-5.656,1,0.0344,0.547,0.00366,0.196,0.851,112.352,4
spotify:track:0PaJt0W8xP4VpnVBMWvOvI,"Una Pagina Mas","4 Decadas 20 Boleros","Los Cadetes De Linares",2012-04-24,159059,67,false,22urf34ngbd7tdlq4o2x56vtq,2024-09-08T14:06:27Z,"norteño,corrido,bolero,banda,grupera,ranchera,música mexicana","Zamic",0.611,0.632,8,-4.777,1,0.0302,0.458,0,0.0991,0.783,93.915,4
spotify:track:0lOCeRlDcp66rN0chuRIoU,"Una Enorme Distancia","Hay pa' Toro","El Fantasma",2017-05-29,110825,39,false,22urf34ngbd7tdlq4o2x56vtq,2024-09-08T14:06:58Z,"corrido,banda,norteño,corridos bélicos,sierreño,música mexicana","Afinartemusic",0.866,0.39,8,-9.55,1,0.156,0.528,0.0000105,0.218,0.796,109.852,4
spotify:track:14FxAzqvDRQM8Eppk8AChm,"Ya No Te Voy A Rogar","Hombres Como Yo","Gerardo Coronel",2018-11-12,203439,19,false,22urf34ngbd7tdlq4o2x56vtq,2024-09-08T14:07:07Z,"banda,sierreño,norteño,corrido,sad sierreño","Unión Music, Inc.",0.632,0.583,0,-4.498,1,0.0359,0.469,0.00000452,0.565,0.496,139.849,3
spotify:track:4gkEzBl4X0lZVLGGqVjyNS,"La Lámpara","Éxitos Rancheros","Chelo",2004-02-20,159928,54,false,22urf34ngbd7tdlq4o2x56vtq,2024-09-08T14:07:28Z,"mariachi,ranchera,música mexicana","Musart-Balboa",0,0.185,10,-11.037,1,0,0.503,0,0.0602,0,0,0
spotify:track:51dNexiESqcJLsGLrmg1Nv,"Cómo Te Voy A Olvidar","Inolvidables","Los Ángeles Azules",1996-01-01,267826,75,false,22urf34ngbd7tdlq4o2x56vtq,2024-09-21T03:35:53Z,"cumbia,cumbia sonidera,salsa","Universal Music Mexico",0.672,0.453,11,-7.896,0,0.0557,0.269,0.00000244,0.138,0.674,83.123,4
