Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:58PSYdY0GFg0LFb2PxYk4T,"Mannish Boy","King Of The Electric Blues","Muddy Waters",1977,321133,66,false,,2024-03-25T18:04:54Z,"blues,classic blues,blues rock,soul blues,jazz blues,country blues","Epic/Legacy",0.598,0.735,2,-10.882,1,0.0973,0.44,0.000215,0.681,0.615,111.129,3
spotify:track:4iKp3icJChjTFQBYbydH43,"I Can't Quit You Baby","I Am The Blues","Willie Dixon",1970,400760,40,false,,2024-03-25T18:04:54Z,"blues,classic blues","Legacy/Columbia",0.459,0.248,7,-16.475,1,0.0365,0.437,0.106,0.271,0.418,84.969,4
spotify:track:4KMXlzvtC8xjLseDqDjpeU,"My Babe","The Essential Little Walter","Little Walter",1993-06-08,162040,60,false,,2024-03-25T18:04:54Z,"blues,classic blues","Geffen",0.676,0.334,5,-10.572,1,0.0508,0.862,0,0.32,0.867,158,4
spotify:track:760clbeDBWmBsBLbszWuNZ,"I'm A Man","Bo Diddley","Bo Diddley",1958-01-01,164546,58,false,,2024-03-25T18:04:54Z,"blues,classic blues,rock and roll,rockabilly,roots rock","Geffen",0.513,0.546,0,-15.672,1,0.0391,0.333,0,0.17,0.834,85.527,4
spotify:track:1cRTAPP2FG9h2WiYMOIVIK,"The Sky Is Crying","Shake Your Money Maker: The Best Of The Fire Sessions","Elmore James",2001-04-03,166400,44,false,,2024-03-25T18:04:54Z,"blues,classic blues,blues rock","RCA/Legacy",0.294,0.611,2,-6.268,1,0.0348,0.0226,0.435,0.114,0.567,178.191,3
spotify:track:2HUZVffVPXvqnrml0gXggp,"Smokestack Lightnin'","Moanin' In The Moonlight","Howlin' Wolf",1958-03-01,188400,64,false,,2024-03-25T18:04:54Z,"blues,classic blues,blues rock","Geffen",0.661,0.342,9,-16.361,0,0.043,0.844,0.000128,0.26,0.588,146.118,4
spotify:track:1RhjxMin24HN2YfzJJAu1k,"Sitting On Top Of The World","Living Chicago Blues Vol. 1","Eddie Shaw",1978-09-01,222893,48,false,,2024-03-25T18:04:54Z,"blues,classic blues","Alligator Records",0.489,0.398,0,-13.006,1,0.0479,0.461,0.208,0.126,0.621,180.528,3
spotify:track:0VQqkF65MjElD99dsky0hi,"Kold Actions","Hot Wire 81 (feat. Richard Kirch Sylvester Boines Jimmy Schutte) [Blues Power]","Jimmy Dawkins",2014-01-01,437573,41,false,,2024-03-25T18:04:54Z,"blues,classic blues,modern blues,blues rock","Isabel Records",0.62,0.0827,0,-20.88,1,0.0625,0.368,0.051,0.0621,0.424,145.108,3
spotify:track:7lbC5pd1ahrDiIf9gLUhxx,"They call me the snake","They call me the snake","Luther Snake Boy Johnson",1989,337600,38,false,,2024-03-25T18:04:54Z,"blues,classic blues","Last call records",0.6,0.319,4,-12.587,1,0.143,0.739,0.102,0.289,0.41,137.954,3
spotify:track:4t9IqVoxJN5F9aWj1YYlQ1,"Call My Wife","Come Back Baby","Linsey Alexander",2014-08-19,287640,38,false,,2024-03-25T18:04:54Z,"blues,modern blues,classic blues,blues rock","Delmark",0.667,0.757,5,-5.88,1,0.0465,0.174,0.0393,0.0831,0.528,114.78,4
spotify:track:3KSchPNSklO5McIqRH3qYX,"I'm Your Hoochie Coochie Man","King Of The Electric Blues","Muddy Waters",1977,238533,57,false,,2024-03-25T18:04:54Z,"blues,classic blues,blues rock,soul blues,jazz blues,country blues","Epic/Legacy",0.542,0.588,2,-9.268,1,0.0665,0.67,0.158,0.241,0.881,113.948,3
