Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3U8Fx7zNTQrctytkj6Gqgd,"Carnival of the Animals: The Swan","Saint-Saëns: Carnival of the Animals: The Swan","Camille Saint-Saëns,Isata Kanneh-Mason,Jeneba Kanneh-Mason,Sheku Kanneh-Mason",2020-09-25,150146,68,false,,2025-07-04T14:48:16Z,"classical","Decca Music Group Ltd.",0.213,0.0656,7,-24.81,1,0.0467,0.992,0.969,0.0699,0.0384,65.023,3
spotify:track:5NGtFXVpXSvwunEIGeviY3,"Gymnopédie No. 1","Erik Satie & Friends","Erik Satie,Philippe Entremont",2016-04-01,205866,70,false,,2025-07-04T14:48:16Z,"classical,classical piano","Sony Classical",0.468,0.0127,7,-36.856,1,0.123,0.994,0.937,0.094,0.356,72.776,3
spotify:track:0ftAOThcYwpSDapJhDOy7o,"Piano Sonata No. 12 in F Major K. 332: II. Adagio","Mozart: Piano Sonatas K.309 K.332 & K.570","Wolfgang Amadeus Mozart,Maria João Pires",1991-01-01,284000,58,false,,2025-07-04T14:48:16Z,"classical,opera,requiem,classical piano,chamber music","Deutsche Grammophon (DG)",0.522,0.0308,5,-26.86,1,0.0641,0.995,0.915,0.0805,0.313,72.551,4
spotify:track:6lWeNiZ3cLcXbVecSlTrN4,"Kinderszenen Op. 15: I. Von fremden Ländern und Menschen","Schumann: Scenes from Childhood; Waldszenen – Janáček: On the Overgrown Path Book 1","Robert Schumann,Marc-André Hamelin",2014-06-01,118706,37,false,,2025-07-04T14:48:16Z,"classical piano,classical,chamber music,minimalism","Hyperion",0.364,0.00159,7,-38.255,1,0.0447,0.996,0.734,0.0868,0.163,69.501,3
spotify:track:5rnS97KlPFKa4isdEAOsOV,"Thaïs DO 24: Méditation - Arr. for Piano Solo by Jules Massenet","Massenet: Thaïs DO 24: Méditation (Arr. for Piano Solo by Jules Massenet)","Jules Massenet,Vadim Chaimovich",2024-03-22,317000,40,false,,2025-07-04T14:48:16Z,"classical,classical piano","Halidon",0.35,0.018,2,-26.298,1,0.0377,0.98,0.899,0.0892,0.0677,70.839,3
spotify:track:49cQcHJqOsyBRSwxLTWoP5,"Adagio of Spartacus and Phrygia (Transcr. E. Khachaturian for Solo Piano) - Excerpt","Khachaturian: Adagio of Spartacus and Phrygia (Transcr. E. Khachaturian for Solo Piano) [Excerpt]","Aram Khachaturian,Jean-Yves Thibaudet",2024-11-22,107973,50,false,,2025-07-04T14:48:16Z,"classical,classical piano","Decca Music Group Ltd.",0.433,0.0338,5,-23.571,0,0.0368,0.994,0.942,0.0844,0.0334,66.871,5
spotify:track:0Qqc8N5GFGSbWFrFQOO1Jy,"Mozart: Piano Concerto No. 21 in C Major K. 467: II. Andante","Mozart: Piano Concertos Nos. 21 & 22","Wolfgang Amadeus Mozart,Jonathan Biss,Orpheus Chamber Orchestra",2008-09-15,394160,57,false,,2025-07-04T14:48:16Z,"classical,opera,requiem,classical piano,chamber music","Warner Classics",0.154,0.0313,5,-28.734,1,0.0363,0.978,0.904,0.0886,0.107,183.005,3
spotify:track:5s8B58Hj2GlkAoo5V658bU,"Die Nacht D. deest (Arr. Lechner/Márquez for Cello & Guitar)","Schubert: Die Nacht (Arr. for Cello and Guitar by Anja Lechner and Pablo Márquez)","Franz Schubert,Anja Lechner,Pablo Marquez",2018-10-05,143266,55,false,,2025-07-04T14:48:16Z,"classical,classical piano,chamber music","ECM New Series",0.163,0.0366,7,-27.021,1,0.0451,0.98,0.912,0.0908,0.17,84.642,3
spotify:track:3xt4M4CIIyXs4qDrDPVVAQ,"Bach - 3 chorales P. 167: No. 3. Andante (after J.S. Bach's Wachet auf ruft uns die Stimme BWV 645)","Bach: Orchestral transcriptions by Respighi & Elgar","Ottorino Respighi,Seattle Symphony Orchestra,Gerard Schwarz",2012-03-06,308440,50,false,,2025-07-04T14:48:16Z,"classical piano,classical,neoclassical,orchestra","Naxos",0.162,0.012,3,-31.823,1,0.0427,0.924,0.835,0.0905,0.0923,110.305,4
spotify:track:2tCmfrW1hVoD9MWndcuXif,"la fine","non è la fine","Yiruma",2023-05-12,191000,41,false,,2025-07-04T14:48:16Z,"neoclassical","Universal Music Ltd.",0.539,0.0172,7,-26.162,1,0.0494,0.983,0.885,0.0637,0.0839,119.216,4
