Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1eunv1DeEi29UfAcVEoLTt,"POR SUS BESOS","POR SUS BESOS","Tito Double P",2025-07-11,186142,88,true,12139429407,2025-07-11T05:01:19Z,"corrido,corridos tumbados,corridos bélicos,electro corridos,dembow belico,música mexicana","Double P Records",0.825,0.752,5,-5.308,0,0.035,0.462,0.0000156,0.226,0.632,112.943,3
spotify:track:6eLQXa6uk2EW8drsiKbABZ,"TU SANCHO","111XPANTIA","Fuerza Regida",2025-05-02,177994,92,true,12139429407,2025-05-11T17:11:06Z,"corrido,corridos tumbados,corridos bélicos,música mexicana,sierreño,banda,electro corridos,sad sierreño,dembow belico","Rancho Humilde/Street Mob Records/Sony Music Latin",0.689,0.84,8,-6.423,1,0.0457,0.576,0,0.126,0.631,120.012,3
spotify:track:56bPsRfOKla3bGGmVz1uk4,"Frecuencia","Redención (Deluxe)","Los Dareyes De La Sierra",2025-06-05,190431,90,true,12139429407,2025-06-23T16:54:31Z,"corrido,corridos bélicos,corridos tumbados,sierreño,electro corridos,dembow belico,banda,música mexicana","Double P Records",0.697,0.847,6,-4.899,0,0.139,0.417,0,0.276,0.787,89.001,4
spotify:track:7585wxMp2e3IhBq3tJAXgw,"SUIZA","ONDEADO$","Calle 24",2024-12-12,114913,89,true,12139429407,2025-05-14T01:35:19Z,"corrido,corridos tumbados,corridos bélicos,electro corridos,sad sierreño","WEA Latina",0.69,0.66,1,-8.256,0,0.0775,0.634,0.000793,0.206,0.588,115.987,4
spotify:track:2qo9LSOvqq5yFxETD8XMaj,"CORAZÓN PARTÍO","CORAZÓN PARTÍO","Tito Double P",2025-06-26,186442,86,false,12139429407,2025-07-09T16:59:32Z,"corrido,corridos tumbados,corridos bélicos,electro corridos,dembow belico,música mexicana","Double P Records",0.685,0.466,3,-8.946,1,0.156,0.412,0,0.132,0.568,74.123,4
spotify:track:0N6h5RnzCNJG3JfROXQIMQ,"Perlas Negras","Porque La Demora","Natanael Cano,Gabito Ballesteros",2025-07-01,203357,87,false,12139429407,2025-07-19T20:30:58Z,"corridos tumbados,corrido,corridos bélicos,sad sierreño,sierreño,electro corridos,música mexicana,banda","WEA Latina",0.769,0.709,8,-4.53,1,0.0442,0.317,0,0.101,0.611,100.012,4
spotify:track:4oB8Xd7gMlUEtWoD8bmCXW,"Morena","Mi Vida Mi Muerte","Neton Vega,Peso Pluma",2025-02-14,193728,90,false,12139429407,2025-02-14T18:47:06Z,"corrido,corridos tumbados,corridos bélicos,electro corridos,dembow belico,música mexicana,sad sierreño,banda","Josa Records",0.697,0.776,4,-7.409,0,0.0308,0.379,0.00148,0.341,0.189,118.007,3
spotify:track:2q0wKlSmIWLdpCwwKjLPxZ,"Presidente","Presidente","Gabito Ballesteros,Natanael Cano,Luis R Conriquez,Neton Vega",2024-10-21,181064,2,true,12139429407,2024-10-22T02:17:33Z,"corrido,corridos tumbados,corridos bélicos,música mexicana,sad sierreño,electro corridos,banda,sierreño,dembow belico","Los CT Records",0.721,0.821,11,-5.695,1,0.0355,0.178,0,0.0934,0.38,104.044,1
spotify:track:3jS9G4KmuOwuawj3k4Smpc,"Vita Fer","Redención","Los Dareyes De La Sierra,Tito Double P",2025-05-08,184743,84,true,12139429407,2025-07-09T16:59:54Z,"corrido,corridos bélicos,corridos tumbados,sierreño,electro corridos,dembow belico,banda,música mexicana","Double P Records",0.769,0.81,3,-3.567,0,0.0623,0.351,0,0.111,0.753,125.02,3
spotify:track:3hpm0fTeSqlhJbnqAgaLZs,"Marlboro Rojo","111XPANTIA","Fuerza Regida",2025-05-02,184173,91,true,12139429407,2025-05-16T04:07:01Z,"corrido,corridos tumbados,corridos bélicos,música mexicana,sierreño,banda,electro corridos,sad sierreño,dembow belico","Rancho Humilde/Street Mob Records/Sony Music Latin",0.773,0.645,4,-6.376,0,0.0349,0.342,0.00000338,0.32,0.923,114.996,1
