Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7FmQoo7sjlVhgGJv28huVW,"Chan chan","Antologia","Compay Segundo",1996-05-31,261133,45,false,1159772919,2020-05-10T16:55:11Z,"son cubano,latin jazz,bolero,mambo,latin folk","DRO/EastWest Spain",0.493,0.517,6,-7.862,1,0.0379,0.195,0.000781,0.297,0.552,88.011,4
spotify:track:3wyP6KLzz8u2KnV7JrNcUL,"Amor Amor Amor","Classic Years","Xavier Cugat",2009-09-22,205680,0,false,1159772919,2020-05-10T16:57:12Z,"exotica,mambo,latin jazz,orchestra,cha cha cha,big band","Prestige Elite",0.404,0.14,9,-19.389,0,0.0382,0.982,0.0468,0.0933,0.451,137.69,4
spotify:track:7tIzEqfD8SONXtdI5KE9uk,"Me gustas tu","Once Upon a Time in Mexico","Manu Chao",2003-01-01,229475,0,false,1159772919,2020-05-10T17:35:10Z,"latin alternative","Milan Records",0.63,0.717,11,-9.249,0,0.066,0.752,0.683,0.148,0.957,176.035,4
spotify:track:2rU1XsNCYWsuCjAf75ErPS,"Sodade - Single Version","Best Of","Cesária Evora",1998-10-15,221253,0,false,1159772919,2020-05-10T17:36:57Z,"fado","RCA Records Label",0.502,0.538,8,-9.343,1,0.0339,0.875,0.000801,0.188,0.337,165.129,4
spotify:track:7L5JYtJeuWf9ELDeGPgIYf,"No Llores","Lo Mejor De - Mike Laure","Mike Laure",1991-12-19,160449,0,false,1159772919,2020-05-10T17:41:05Z,"cumbia,tropical music,bolero,cha cha cha,mambo,cumbia sonidera","Musart - Balboa",0.763,0.461,5,-9.235,0,0.037,0.684,0,0.106,0.936,126.553,4
spotify:track:5cRkK755yOmkzz2q2DBH1N,"Murmullo","Buena Vista Social Club","Buena Vista Social Club",1997-09-16,231419,0,false,1159772919,2020-05-10T17:42:03Z,"son cubano,latin jazz,latin,bolero","World Circuit",0.369,0.199,4,-21.108,1,0.0321,0.92,0.577,0.0986,0.418,170.841,4
spotify:track:3ZWvmZvCiEY1UuZq4iovgF,"A Day In The Life Of A Fool","My Way (Expanded Edition)","Frank Sinatra",1969-03,185333,38,false,1159772919,2020-05-26T09:08:56Z,"christmas,big band,adult standards,swing music,vocal jazz,jazz","FRANK SINATRA DIGITAL REPRISE",0.348,0.186,7,-16.408,0,0.028,0.739,0.0646,0.102,0.207,79.196,4
spotify:track:2KNMqqNd3sLfeN4ukKduRT,"Moon River","Days Of Wine And Roses Moon River And Other Academy Award Winners","Frank Sinatra",1964,199133,59,false,1159772919,2020-07-26T09:27:24Z,"christmas,big band,adult standards,swing music,vocal jazz,jazz","FRANK SINATRA DIGITAL REPRISE",0.171,0.0632,0,-20.776,1,0.0327,0.945,0.0000271,0.121,0.168,81.406,3
spotify:track:6e65fH1wClamA2QPI5HUi3,"Prickly Pear","Knee-Deep In the North Sea","Portico Quartet",2007,341880,50,false,1159772919,2020-08-01T10:48:50Z,"nu jazz","Real World Records",0.411,0.247,3,-14.344,1,0.0331,0.966,0.94,0.164,0.265,164.005,4
spotify:track:6cTHDAnKgDOMP1gL8irmHu,"I've Got You Under My Skin - Studio Rio Version","Studio Rio Presents: The Brazil Connection","Mel Tormé,Studio Rio",2014-05-12,190520,43,false,1159772919,2020-08-01T11:09:16Z,"vocal jazz,adult standards,big band,christmas,bossa nova","Legacy Recordings",0.652,0.478,2,-8.374,1,0.0324,0.776,0.0000176,0.11,0.416,124.019,4
