Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5zaUZb6CauvOv3ouYNHuG4,"Thursday Night","Thursday Night in the Caley","Blazin' Fiddles",2011,286640,34,false,1a74b63i0zf75qotyz7k0d8ew,2025-06-18T15:38:59Z,"celtic,folk","Blazin’ Fiddles",0.463,0.609,0,-6.837,1,0.0538,0.753,0.000996,0.125,0.907,130.49,4
spotify:track:2ghVPdpaI8zH7VvRLENJVn,"Oh Captain","Out of Sight","Jake Xerxes Fussell",2019-06-07,287445,19,false,1a74b63i0zf75qotyz7k0d8ew,2025-06-18T15:39:29Z,"americana","Paradise of Bachelors",0.658,0.424,4,-12.372,1,0.0295,0.0469,0.178,0.155,0.661,108.474,4
spotify:track:2zzvfYGtAa5syYdeET5RXp,"Muddy Water","Hurry Home","The Deslondes,Riley Downing",2017-06-23,216880,50,false,1a74b63i0zf75qotyz7k0d8ew,2025-06-18T15:39:38Z,"americana,alt country","New West Records",0.509,0.341,9,-8.932,1,0.0255,0.863,0.0203,0.129,0.474,81.514,4
spotify:track:1k3xocJBCoxeIylMUVl9Sy,"Girl Called Alex","Wakin On A Pretty Daze","Kurt Vile",2013-04-08,379493,40,false,1a74b63i0zf75qotyz7k0d8ew,2025-06-18T15:39:52Z,"","Matador",0.174,0.749,7,-9.528,0,0.0595,0.12,0.82,0.139,0.271,84.83,4
spotify:track:0bRXwKfigvpKZUurwqAlEh,"Lovely Day","Menagerie","Bill Withers",1977-10-29,254560,83,false,1a74b63i0zf75qotyz7k0d8ew,2025-06-18T15:40:07Z,"soul,classic soul,motown","Columbia/Legacy",0.692,0.651,9,-8.267,1,0.0324,0.292,0.00241,0.105,0.706,97.923,4
spotify:track:4CDF9sHXsSNSNUGOgvFI3f,"Without A Leg To Stand On","Cunningham Bird","Andrew Bird,Madison Cunningham",2024-10-18,252960,39,false,1a74b63i0zf75qotyz7k0d8ew,2025-06-18T15:40:24Z,"baroque pop,indie folk","Loma Vista Recordings",0.575,0.492,10,-13.163,1,0.0659,0.799,0.00641,0.11,0.656,76.969,4
spotify:track:0NBKvnJAAG865ENj9bOhvD,"I Ain't Living Long Like This","The Essential Waylon Jennings","Waylon Jennings",2007-05-01,286120,52,false,1a74b63i0zf75qotyz7k0d8ew,2025-06-18T15:40:31Z,"outlaw country,classic country,country,honky tonk,traditional country","RLG/Legacy",0.622,0.749,9,-10.201,1,0.0301,0.178,0.603,0.111,0.78,145.018,4
spotify:track:5nVE45ithgyVocZp5XLAk6,"The Bug Collector","I Need to Start a Garden","Haley Heynderickx",2018-03-02,228459,69,true,1a74b63i0zf75qotyz7k0d8ew,2025-06-18T15:40:41Z,"","Mama Bird Recording Co.",0.538,0.419,10,-9.705,1,0.0353,0.777,0.329,0.0967,0.529,99.622,4
spotify:track:3x9BHDNsyg50xSEzmLMyUd,"Ouda","Kawahel","Hamid Al Shaeri",1987-12-31,278374,57,false,1a74b63i0zf75qotyz7k0d8ew,2025-06-18T15:40:46Z,"egyptian pop","Global",0.661,0.416,6,-10.337,0,0.0324,0.771,0.00000625,0.129,0.66,106.217,4
spotify:track:16nJl8NnriCJxraco5Zssm,"Better Git It in Your Soul","Mingus Ah Um","Charles Mingus",1959,440840,48,false,1a74b63i0zf75qotyz7k0d8ew,2025-06-18T15:41:05Z,"jazz,hard bop,bebop,free jazz,cool jazz","Columbia/Legacy",0.457,0.548,5,-12.486,0,0.0551,0.111,0.00016,0.103,0.76,88.8,4
