Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3t4qyMVnN9o0ZJhsUaa465,"Avalanche","Songs of Love and Hate","Leonard Cohen",1971-03-19,302013,41,false,,1970-01-01T00:00:00Z,"singer-songwriter","Columbia",0.386,0.28,5,-16.539,0,0.035,0.872,0.0152,0.265,0.176,91.291,4
spotify:track:2WictPRLvPfwd9bgjHt9K3,"Jockey Full Of Bourbon - 2023 Remaster","Rain Dogs (2023 Remaster)","Tom Waits",1985,166573,50,false,,1970-01-01T00:00:00Z,"singer-songwriter,southern gothic","Island Records",0.674,0.398,11,-20.218,1,0.0605,0.905,0.807,0.153,0.96,83.24,4
spotify:track:0VkqI10fZweP0EEhBZjdOB,"How Could I Lie","Don't Act Like You Don't Care","Luke Temple",2011-06-09,227120,14,false,,1970-01-01T00:00:00Z,"baroque pop","Western Vinyl",0.672,0.643,7,-7.622,1,0.0295,0.615,0.00343,0.209,0.909,117.914,4
spotify:track:6ofam9RHTG7UBUa6uO2MjP,"May You Never","Solid Air","John Martyn",1973,220493,51,false,,1970-01-01T00:00:00Z,"folk,folk rock","Universal-Island Records Ltd.",0.673,0.168,4,-15.333,1,0.0369,0.891,0.79,0.11,0.726,124.825,4
spotify:track:6Mwi3ikn6RQ96mRBnmuXif,"Steady Rain","Preludes","Warren Zevon",2007-05-01,259853,46,false,,1970-01-01T00:00:00Z,"singer-songwriter","New West Records",0.522,0.416,7,-10.143,1,0.0378,0.698,0.231,0.21,0.414,137.596,4
spotify:track:6fJSEk0GDtPOk3gFxcnbUy,"Her Eyes Are a Blue Million Miles","Clear Spot","Captain Beefheart & His Magic Band",1972-09-11,177506,49,false,,1970-01-01T00:00:00Z,"proto-punk,psychedelic rock,art rock,acid rock,avant-garde","Rhino/Warner Records",0.786,0.357,4,-15.838,0,0.0472,0.416,0.00119,0.0756,0.712,88.969,4
spotify:track:4wACv3JAUdAzmRdGat6ZuK,"It Hurts Me Too","It's So Hard To Tell Who's Going To Love You The Best","Karen Dalton",1969-01-01,187280,46,false,,1970-01-01T00:00:00Z,"folk,ambient folk","EMI Catalogue",0.429,0.0581,9,-22.046,1,0.0374,0.935,0.62,0.11,0.281,180.659,3
spotify:track:0ju3K3qDFdcxIewXhU716y,"I Want to Be Alone (Dialogue) - 2001 Remaster","Jackson C. Frank (2001 Remaster)","Jackson C. Frank",2001-11-19,198146,44,false,,1970-01-01T00:00:00Z,"folk","Transatlantic",0.545,0.154,8,-16.334,1,0.0304,0.939,0.2,0.107,0.192,103.228,4
spotify:track:2scagq6TX4bKXQ5tXPXiqR,"Goin' Out West - 2023 Remaster","Bone Machine (2023 Remaster)","Tom Waits",1992,199360,50,false,,1970-01-01T00:00:00Z,"singer-songwriter,southern gothic","Island Records",0.721,0.584,8,-13.753,1,0.0986,0.75,0.402,0.209,0.54,129.464,4
spotify:track:2q5vF4iyk4JtNa4T3aZfNk,"The Ballad Of Hollis Brown","Let It All Out","Nina Simone",1966-01-01,295280,28,false,,1970-01-01T00:00:00Z,"vocal jazz,jazz blues,soul,soul jazz,jazz,blues","Verve Reissues",0.614,0.465,7,-8.389,1,0.0313,0.54,0,0.12,0.603,122.546,4
spotify:track:4ffP18s3nIHLjpUqYmU3Db,"Homewrecker","The Convincer","Nick Lowe",2001-09-11,188000,38,false,,1970-01-01T00:00:00Z,"power pop","Yep Roc Records",0.51,0.205,7,-14.408,1,0.052,0.79,0.015,0.258,0.289,127.36,4
spotify:track:3Z07xWBARpYDQjBbewuLeX,"Henry In Forever Phases","Both-And","Luke Temple",2019-08-16,237034,21,false,,1970-01-01T00:00:00Z,"baroque pop","muffin records",0.698,0.439,8,-14.205,1,0.055,0.603,0.625,0.104,0.682,166.387,4
