Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:62wbmdCC71yZguaTOfF3PR,"Life on Earth","Alive in the Wilderness","Endless Field",2020-06-12,272822,3,false,,1970-01-01T00:00:00Z,"","Biophilia Records",0.274,0.282,7,-16.378,1,0.0376,0.806,0.845,0.364,0.161,181.511,3
spotify:track:4U1o0eRyJ1j5qPPwleqWHS,"Tinge","Tinge","Lyle Brewer",2024-06-28,180810,19,false,,1970-01-01T00:00:00Z,"","Lyle Brewer",0.535,0.027,2,-19.986,1,0.0736,0.989,0.812,0.111,0.113,66.62,4
spotify:track:7c3sdYu2IEpSNLcaXQ7cgA,"Vernal","Vernal","Łukasz Borowicki",2025-05-01,228882,22,false,,1970-01-01T00:00:00Z,"","Łukasz Borowicki",0.476,0.128,0,-14.686,0,0.0359,0.966,0.928,0.0966,0.164,84.37,4
spotify:track:5yvSpIhQ8MHBTWrtYskusi,"how to catch a dragonfly","where flowers grow","dalawcooper",2025-07-04,155689,21,false,,1970-01-01T00:00:00Z,"","dalawcooper",0.525,0.244,2,-12.871,1,0.0487,0.972,0.934,0.115,0.127,91.048,3
spotify:track:0OdYvA2SRNKFn12pDuDRhK,"Gondwana","Gorgo","Enzo Pietropaoli,Adriano Viterbini",2024-11-08,223200,21,false,,1970-01-01T00:00:00Z,"","Parco Della Musica Records",0.424,0.212,7,-22.203,1,0.0366,0.949,0.954,0.112,0.495,111.141,4
spotify:track:4rX2SyEhZJF3nwzXKFcMsw,"Unending Season","Endless Field","Endless Field,Jesse Lewis,Ike Sturm",2017-06-23,294844,4,false,,1970-01-01T00:00:00Z,"","Biophilia Records",0.47,0.375,1,-12.807,1,0.0331,0.935,0.919,0.109,0.194,152.87,3
spotify:track:3Y6hoP93HA59gIhwlRdOuu,"Girls With Radical Haircuts","Løft Mig Op Så Jeg Kan Nå","I Think You're Awesome",2014-03-18,287000,18,false,,1970-01-01T00:00:00Z,"","hank",0.398,0.174,0,-18,1,0.0463,0.941,0.923,0.733,0.107,92.995,4
spotify:track:5qKTdGinSJ6uvynKLgRfcN,"En Fortid Forbi","Strømmer","Hvalfugl",2023-09-01,231634,21,false,,1970-01-01T00:00:00Z,"","Hvalfugl Music",0.489,0.117,3,-19.188,1,0.037,0.949,0.9,0.11,0.136,102.659,3
spotify:track:1Nqlm4xpLKU0btAKEVfMYc,"Clouds Over The Lake","Clouds Over The Lake","Seven Wheels,Łukasz Rogacki",2022-12-15,172750,22,false,,1970-01-01T00:00:00Z,"","Loft Records",0.506,0.0602,0,-22.468,1,0.0366,0.988,0.869,0.113,0.232,160.137,3
spotify:track:5yX8IEIHlLqNrnNN0zelaA,"Crossroads","Nomad","Dan Brown",2023-11-10,172840,17,false,,1970-01-01T00:00:00Z,"","Greenside Records",0.498,0.228,2,-18.056,1,0.0296,0.934,0.941,0.102,0.0949,144.954,3
spotify:track:5TXW9K8scmkiFS65bKyQxC,"White Pond Sun","Alive in the Wilderness","Endless Field",2020-06-12,281282,0,false,,1970-01-01T00:00:00Z,"","Biophilia Records",0.539,0.268,7,-15.94,1,0.032,0.812,0.796,0.733,0.378,130.919,4
spotify:track:459wohT0pKYY9MsfOVgIDm,"One Rainy Wish","May This Be Love (Acoustic Guitar Takes on Jimi Hendrix)","Thomas Naim",2025-03-07,196790,18,false,,1970-01-01T00:00:00Z,"","Rootless Blues",0.488,0.201,11,-13.923,0,0.0344,0.952,0.867,0.103,0.0696,140.856,3
spotify:track:01mAj4JNuy6nBPsJeQwtuX,"Divine Forgiveness","Walking on Water","Susie Ibarra,Jennifer Choi,Yves Dharamraj,Claudia Acuna,Jake Landau,Yuka Honda",2021-04-23,115705,10,false,,1970-01-01T00:00:00Z,"free jazz,avant-garde,latin jazz,vocal jazz","Innova",0.221,0.0593,11,-22.047,0,0.0375,0.869,0.898,0.183,0.158,163.997,4
spotify:track:26GL0fkvhzwn9GtsCycZFS,"Methe Criolla","Épisode (Música para Cine)","Luciano Supervielle",2021-11-05,121994,13,false,,1970-01-01T00:00:00Z,"tango,candombe","Little Butterfly Records",0.529,0.169,5,-20.984,1,0.0372,0.973,0.967,0.132,0.0541,119.95,4
spotify:track:4tEMC8s1fpZrlen3fdrPSy,"dom plays the intro","To Keep","Dominique Adams",2025-07-18,71920,19,false,,1970-01-01T00:00:00Z,"","Birthday Cake Records",0.316,0.115,6,-19.069,1,0.048,0.762,0.81,0.112,0.211,84.608,4
spotify:track:0qoxosaLZmzLcIIJqbt9sK,"Supermoon","Endless Field","Endless Field,Jesse Lewis,Ike Sturm,Donny McCaslin",2017-06-23,238407,4,false,,1970-01-01T00:00:00Z,"jazz,jazz fusion,nu jazz","Biophilia Records",0.281,0.465,9,-8.818,1,0.0426,0.832,0.884,0.0928,0.116,175.843,3
spotify:track:39jh4XAfiJ24zZ8Xh3dJ3d,"Off the Cuff","All the Difference","Runar Blesvik",2025-01-10,206666,17,false,,1970-01-01T00:00:00Z,"neoclassical","Fluttery Records",0.589,0.0575,0,-24.145,0,0.0426,0.982,0.929,0.0969,0.519,179.937,4
spotify:track:43j8HZYqU5XEn2a4woyfBk,"Black Pearls","liv","Made in Wood",2025-06-06,216798,12,false,,1970-01-01T00:00:00Z,"","Prisma Music",0.546,0.039,1,-23.965,1,0.0383,0.986,0.937,0.108,0.118,82.043,4
spotify:track:0WkjzrfwsAu6yw3SUZst0U,"Spighe","Gorgo","Enzo Pietropaoli,Adriano Viterbini",2024-11-08,205933,19,false,,1970-01-01T00:00:00Z,"","Parco Della Musica Records",0.622,0.252,2,-18.646,1,0.0483,0.799,0.854,0.0889,0.56,103.143,4
spotify:track:2KCpOYBd4NJD5qmd0a13tn,"For All We Know IV","For All We Know (Versions)","The Vernon Spring",2021-04-21,214280,21,false,,1970-01-01T00:00:00Z,"","Lima Limo Records",0.426,0.0318,5,-27.608,0,0.0385,0.993,0.947,0.146,0.283,46.074,4
spotify:track:5s8aRbXqoZlG2iwaJMAMsk,"Dust","Alive in the Wilderness","Endless Field",2020-06-12,119293,1,false,,1970-01-01T00:00:00Z,"","Biophilia Records",0.472,0.297,5,-19.122,0,0.0724,0.416,0.905,0.084,0.41,174.806,4
spotify:track:1HEl9lopJlIeNOMXlt8Wzf,"Moglane","Moglane","Leonardo Baldassarri",2023-03-08,122190,15,false,,1970-01-01T00:00:00Z,"indie electronic","Leonardo Baldassarri",0.234,0.0248,11,-24.181,0,0.0384,0.981,0.906,0.108,0.0914,99.875,3
spotify:track:2f27HUtGnLyQ2hDsnYPBxA,"London","Headspace","Tom Pearo",2017-11-02,196426,16,false,,1970-01-01T00:00:00Z,"","Tom Pearo",0.624,0.124,2,-15.937,0,0.032,0.945,0.895,0.106,0.0665,105.216,4
spotify:track:0Jem6lKxolVPv94zskC1jD,"Meridian","Dogwood Demos","Lone Mesa",2024-05-31,166363,11,false,,1970-01-01T00:00:00Z,"","Lone Mesa",0.488,0.247,5,-18.188,1,0.0315,0.85,0.863,0.32,0.157,102.687,4
spotify:track:1r9eXMfBMevLRwN8mWKBlT,"Teenage Dirtbag","Lullabies for Millenials","Rebecca Mardal",2025-07-04,217928,32,false,,1970-01-01T00:00:00Z,"lo-fi,lo-fi beats","Sky Valley Records",0.527,0.00854,4,-31.436,1,0.0435,0.995,0.95,0.107,0.11,129.947,4
spotify:track:2onwGkRssOUGNFfLdIvxef,"Ember","Endless Field","Endless Field,Jesse Lewis,Ike Sturm",2017-06-23,266629,3,false,,1970-01-01T00:00:00Z,"","Biophilia Records",0.439,0.447,2,-16.616,0,0.0323,0.944,0.874,0.108,0.225,85.73,4
spotify:track:3l4tP8Js86UODc4oQ48eFy,"Gambale","Lavendel","Argo Vals,Kristo Käo,Villu Vihermäe",2025-05-02,278411,13,false,,1970-01-01T00:00:00Z,"djent","7d Media",0.377,0.191,2,-18.706,1,0.0448,0.983,0.903,0.0834,0.275,135.581,4
spotify:track:1sDYzDwbciIDCDliE6Yqu2,"Bivhilu","Darya","Darya",2024-03-28,144788,20,false,,1970-01-01T00:00:00Z,"","Kame'a",0.325,0.157,9,-22.794,0,0.0485,0.975,0.949,0.0986,0.0998,201.618,4
spotify:track:6o2XS9RqlGFvxGYplQy4f7,"the rise and fall of pipokuhn","Parallels","Joe Sanders",2024-10-11,181422,20,false,,1970-01-01T00:00:00Z,"jazz,spoken word","Whirlwind Recordings",0.199,0.0891,2,-22.403,1,0.0337,0.702,0.904,0.11,0.0841,67.978,5
spotify:track:6LDdd5dhWlAtkELShjvD6l,"Mellow","Mellow","Olexy",2025-05-16,195626,11,false,,1970-01-01T00:00:00Z,"","lesfreemusic",0.451,0.146,2,-17.125,1,0.0353,0.925,0.941,0.107,0.0969,144.728,4
spotify:track:6De0yyUlT8w5iB17cZo6Og,"Water","Alive in the Wilderness","Endless Field",2020-06-12,121487,0,false,,1970-01-01T00:00:00Z,"","Biophilia Records",0.221,0.249,5,-20.821,1,0.0417,0.777,0.913,0.179,0.214,97.545,3
spotify:track:1H5TkXzEDZrtOVsJtMt9ag,"Showers on Ascension Day","Banish Air From Air","Ben Walker",2023-02-24,231333,17,false,,1970-01-01T00:00:00Z,"traditional folk,folk","Folkroom Records",0.167,0.172,2,-22.006,0,0.0395,0.921,0.861,0.0905,0.247,165.462,4
spotify:track:3nDTEl7PbPZW0HarWAIxJK,"Where the Heck Are You? (Instrumental)","Where the Heck Are You? (Instrumental)","Natalie Thompson",2022-09-16,150577,23,false,,1970-01-01T00:00:00Z,"","Natalie Thompson Musical Galaxy",0.523,0.125,1,-17.303,1,0.0769,0.96,0.886,0.111,0.213,120.707,4
spotify:track:23rZe4VIGlxIxOgHVZf7Vf,"From The East","Letters - The Hub Session","Fabio Mazzini,Giovanni Tamburini",2024-12-06,175360,16,false,,1970-01-01T00:00:00Z,"","Raighes Factory",0.26,0.106,0,-18.623,0,0.0375,0.929,0.938,0.0849,0.192,153.445,4
spotify:track:69DfpCkDqGQBPjG76t5zTj,"Ghost in the Radio","Star Trucker (Original Soundtrack)","Ross Stack",2025-02-27,117973,12,false,,1970-01-01T00:00:00Z,"","Laced Records",0.298,0.338,10,-17.281,1,0.0439,0.848,0.913,0.112,0.0765,68.275,4
spotify:track:56njPoHesBSNFDAq3i1G1b,"Airglow","Endless Field","Endless Field,Jesse Lewis,Ike Sturm,Ingrid Jensen",2017-06-23,280298,3,false,,1970-01-01T00:00:00Z,"big band,jazz","Biophilia Records",0.483,0.404,3,-10.041,1,0.0301,0.575,0.915,0.191,0.247,134.042,4
spotify:track:3maFAiD2I8K4aUew2h6oqv,"Für Flopsen","TON Petit +","Anton Goudsmit",2024-09-06,241873,22,false,,1970-01-01T00:00:00Z,"","Dox Records",0.357,0.0885,0,-15.563,0,0.034,0.983,0.882,0.0922,0.037,107.053,4
spotify:track:39LoeIUz9DA4QTQwPtABA1,"Waltzer","In Clover","David Ian Roberts",2022-07-22,159986,16,false,,1970-01-01T00:00:00Z,"","Cambrian Records",0.343,0.517,11,-12.37,1,0.0342,0.826,0.81,0.111,0.165,107.733,3
spotify:track:0gU2mhCIJT6crX78vYvyos,"Mot Kvelden","Wandering Mind Drifting Weather","Julia Gjertsen,Gustav Davidsson",2025-07-18,177160,9,false,,1970-01-01T00:00:00Z,"neoclassical","Whitelabrecs",0.318,0.0781,7,-22.264,0,0.0349,0.979,0.918,0.1,0.284,137.36,3
spotify:track:278fvI6I21fhDP5ES8RuXS,"Tom tom","Intuitions","Nicolas Parent,Pierre Durand",2023-03-31,291400,16,false,,1970-01-01T00:00:00Z,"","L'intemporel",0.332,0.105,9,-21.066,0,0.0377,0.981,0.914,0.111,0.0386,86.686,4
spotify:track:5DUUMQ2ouFtX479U86SE3G,"Walk At Dawn","Shimmer","Michelle Qureshi",2024-09-20,168911,12,false,,1970-01-01T00:00:00Z,"new age","Michelle Qureshi, Music as Metaphor",0.38,0.163,10,-15.422,1,0.0375,0.945,0.858,0.163,0.152,109.837,3
spotify:track:1cJZ2kxQPccreMbOfxCHNd,"Tenth Time","Ask the Question","Chris Boerner,Sam Fribush,Matt McCaughan,Cameron Ralston,Matt Douglas",2025-05-30,255220,11,false,,1970-01-01T00:00:00Z,"jazz funk,avant-garde,minimalism","Chris Boerner Music",0.544,0.177,4,-15.886,0,0.0392,0.928,0.94,0.107,0.221,81.908,4
spotify:track:0PNhAeQOKjiYPBZrF3eRAp,"A Ball of Fur (Quilts and Cats of Calico Original Video Game Soundtrack)","A Ball of Fur (Quilts and Cats of Calico Original Video Game Soundtrack)","Paweł Górniak",2024-03-14,183000,12,false,,1970-01-01T00:00:00Z,"","Monster Couch",0.34,0.292,0,-14.098,1,0.0342,0.783,0.839,0.111,0.0592,139.037,4
spotify:track:2gTQqv7uWRnJIv9ts7vLR2,"aletheia","aletheia","Sebastian Jautschus",2025-07-11,219813,34,false,,1970-01-01T00:00:00Z,"","Sky Valley Records",0.606,0.113,11,-23.907,0,0.0351,0.981,0.92,0.104,0.0493,106.988,4
spotify:track:5sGpspFbUE6mY6hi48fQzM,"Creature","Alive in the Wilderness","Endless Field",2020-06-12,76450,0,false,,1970-01-01T00:00:00Z,"","Biophilia Records",0.642,0.127,0,-22.071,1,0.0707,0.662,0.89,0.214,0.259,91.669,4
spotify:track:5aNn8J0fm28eEtPgZuQL3a,"Vals I Vallonien","Som En Faldskærm","Hvalfugl",2019-03-08,197093,18,false,,1970-01-01T00:00:00Z,"","Hvalfugl Music",0.374,0.0713,7,-18.233,0,0.0346,0.939,0.922,0.115,0.225,68.506,4
spotify:track:2YzzVgaUcAABVQSCRcwBjz,"Phraxos","Phraxos","Absence of Field",2025-07-11,168750,25,false,,1970-01-01T00:00:00Z,"post-rock,space rock","Florecilla Records",0.456,0.38,7,-14.069,0,0.0332,0.792,0.893,0.0839,0.239,79.962,4
spotify:track:0ZPr52WBq9bexAMCU1yb9i,"Time Is Running Out","Time Is Running Out","Tharva Ronn",2020-06-08,147500,10,false,,1970-01-01T00:00:00Z,"","Tharva Ronn",0.61,0.205,1,-15.942,0,0.0448,0.978,0.923,0.109,0.505,148.609,4
spotify:track:6ORmEXJxbuU5TwB0asvSVa,"Timelessness 1","Timelessness 1","Daniel Diaz",2025-05-01,180000,15,false,,1970-01-01T00:00:00Z,"minimalism","DedeLand Records",0.565,0.254,11,-17.824,0,0.0329,0.912,0.95,0.0924,0.0577,120.015,4
spotify:track:0oNneuQuAryfWcOX2zUmW8,"Jaqueline - guitar","Jaqueline (guitar)","Carolina Barenbaum",2025-05-02,150434,28,false,,1970-01-01T00:00:00Z,"","Florecilla Records",0.51,0.0152,4,-19.165,1,0.208,0.989,0.697,0.092,0.346,205.614,4
