Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6QjBfe7hHr7JdQP3B0l5lS,"Nice","Nice","Habibi",2021-09-16,145339,27,false,murielkruize,2023-09-13T14:33:32Z,"","Kill Rock Stars",0.753,0.463,9,-6.677,1,0.0313,0.138,0.00000103,0.111,0.826,130.938,4
spotify:track:1yYpw3DuEPBO6Cv7ejBwsq,"Hey You","Smooth Big Cat","DOPE LEMON",2019-07-12,278386,0,false,murielkruize,2024-01-14T22:40:13Z,"","BMG Rights Management (Australia) Pty Ltd.",0.771,0.425,9,-12.039,1,0.0277,0.259,0.46,0.106,0.84,102.613,4
spotify:track:6sbDZGB1SJZffGaTcG0UHb,"On The Road","On The Road","Habibi",2024-03-05,256773,15,false,murielkruize,2024-03-15T15:46:49Z,"","Kill Rock Stars",0.576,0.877,7,-7.615,1,0.0523,0.000137,0.153,0.33,0.504,124.981,4
spotify:track:2dU3A6WddAjwmDWP7546Tu,"Do You Want Me Now","Do You Want Me Now","Habibi",2024-04-02,177977,8,false,murielkruize,2024-04-05T11:11:04Z,"","Kill Rock Stars",0.529,0.647,0,-5.563,1,0.0735,0.00319,0.00502,0.0914,0.757,75.573,4
spotify:track:09RRATAFUdKZ6NvoYAo14P,"Lost Memories","Lost Memories","Vanessa Worm",2022-11-27,323423,4,false,murielkruize,2024-04-09T13:34:20Z,"","Vanessa Worm",0.691,0.754,10,-11.365,0,0.0347,0.0627,0.725,0.144,0.342,129.986,4
spotify:track:0zHTtxEVQhE643OzB3XI1U,"La fête noire","Léviathan","Flavien Berger",2015-04-20,364333,49,false,murielkruize,2024-04-24T11:21:12Z,"french indie pop,french pop,french house","Pan European Recording",0.616,0.577,4,-9.323,1,0.0365,0.622,0.364,0.635,0.0979,81.504,4
spotify:track:0khHA65uKHItjWKdxWeXFs,"In the City","Anika","Anika",2010-11-02,151978,0,false,murielkruize,2024-04-26T18:44:05Z,"","Stones Throw Records",0.569,0.514,9,-9.805,1,0.0282,0.000595,0.0000781,0.239,0.411,111.689,4
spotify:track:14s8kBLbC4IcugUG8kaByR,"I Don't Want to Die in Den Haag","Stop Making Sense and Start Making Success Vol. 3","Lasse Passage",2015-04-22,207720,2,false,murielkruize,2024-05-26T10:26:59Z,"","LP Records",0.669,0.532,6,-9.148,1,0.22,0.2,0.000248,0.237,0.578,143.652,4
spotify:track:5fj76kVAnqRKKhAw5d06jj,"Kiss Off","Violent Femmes","Violent Femmes",1983-01-01,176720,60,false,murielkruize,2024-05-30T13:29:36Z,"folk punk","Craft Recordings",0.661,0.662,4,-8.88,0,0.0931,0.255,0,0.131,0.825,87.119,4
spotify:track:5QQvm7aLiycJ5Qi4yR9Y8C,"Losing Control","Dreamachine","Habibi",2024-05-31,330038,18,false,murielkruize,2024-06-11T14:45:06Z,"","Kill Rock Stars",0.719,0.812,8,-6.13,1,0.054,0.00601,0.252,0.0954,0.913,134.949,3
spotify:track:6mXSg8hjQpxfl1sVpOvo4c,"How Long (Betcha' Got A Chick On The Side)","Steppin'","The Pointer Sisters",1975-01-01,440960,27,false,murielkruize,2024-06-12T16:13:36Z,"disco","Hip-O Select",0.484,0.915,1,-7.582,1,0.166,0.302,0.00184,0.585,0.861,91.049,4
spotify:track:2q6YXRcGHRM25TPrNfhRfH,"A Clean Break (Let's Work) - Live at WCOZ Massachusetts; 2004 Remaster","The Name of This Band Is Talking Heads (Expanded 2004 Remaster)","Talking Heads",1982-03-24,305000,40,false,murielkruize,2024-06-16T10:54:35Z,"new wave,post-punk","Rhino/Warner Records",0.788,0.799,5,-5.699,1,0.0388,0.0504,0.00326,0.887,0.898,130.361,4
spotify:track:4hWAIH8ZIjcA2cEhGjr7jc,"LAW OF AVERAGES","Vince Staples","Vince Staples",2021-07-09,139050,49,true,murielkruize,2024-06-16T11:08:03Z,"","Blacksmith Recordings/Motown Records",0.544,0.446,4,-11.074,0,0.426,0.391,0,0.157,0.478,135.11,4
spotify:track:2SBt41LTnZcKlcnknUgcvF,"MHM","Vince Staples","Vince Staples",2021-07-09,131704,43,true,murielkruize,2024-06-16T11:11:03Z,"","Blacksmith Recordings/Motown Records",0.846,0.533,1,-9.246,1,0.191,0.103,0.02,0.0827,0.807,155.972,4
spotify:track:5d49VQmgGbv0xrYiSrDOk4,"Short Dick Man","Produced By 20 Fingers","Gillette,20 Fingers",1995-10-24,201266,53,true,murielkruize,2024-06-16T11:27:21Z,"eurodance","RCA/Legacy",0.91,0.818,4,-7.438,0,0.0638,0.00439,0.0292,0.0378,0.809,127.051,4
spotify:track:5b10YgbraRyefVi5DcvacM,"The Price Of Smokes","Get Fucked","The Chats",2022-08-19,222360,50,true,murielkruize,2024-06-16T11:27:50Z,"punk","The Chats",0.316,0.948,2,-5.254,1,0.164,0.00156,0.00223,0.103,0.517,198.117,4
spotify:track:1ea97AUSazu2QZw9BnHJqK,"Gucci Gucci","Somethin 'Bout Kreay","Kreayshawn",2012-09-14,187840,58,false,murielkruize,2024-06-16T11:29:01Z,"","Columbia",0.712,0.924,10,-2.802,0,0.0683,0.165,0.0000177,0.906,0.901,77.508,4
spotify:track:5KUNwkaNf8l5A9sXZhiCgI,"Rapp Snitch Knishes","MM..FOOD","MF DOOM,Mr. Fantastik",2004-11-16,172893,76,true,murielkruize,2024-06-16T11:29:18Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop","Rhymesayers",0.728,0.832,7,-6.827,1,0.267,0.327,0,0.504,0.825,95.051,4
spotify:track:3b4rUNexSvVmklPoKY7qpH,"Tokyo Story","Between Isekai and Slice of Life ～異世界と日常の間に～","Miho Hatori",2021-01-22,261680,33,false,murielkruize,2024-06-16T11:47:30Z,"","Virgin Music Label And Artist Services (S&D)",0.798,0.656,10,-7.53,0,0.0888,0.0335,0.656,0.088,0.923,102.999,4
spotify:track:372SsSoyYYRptlgurA8PEL,"Dominicana","De Chamaquito Siempre Cabezu","Chucky73",2020-10-30,145241,45,true,murielkruize,2024-06-16T11:54:03Z,"dembow,trap latino","Sie7etr3 The Label, Inc.",0.868,0.717,2,-5.574,1,0.116,0.144,0.00000652,0.0878,0.553,109.953,4
spotify:track:086THPnabbu1zfDjRsxpoN,"MONEY ON THE DASH - SPED UP","MONEY ON THE DASH","Elley Duhé,Whethan",2023-01-20,116465,77,false,murielkruize,2024-06-16T11:56:56Z,"","Not Fit For Society/Good Luck Have Fun Records",0.777,0.816,2,-7.01,0,0.189,0.0324,0.0000794,0.138,0.516,150.09,4
spotify:track:0D4HYAqL11p6cXeT09xPA8,"SLOW DOWN","BACKSTAB","SLOE JACK",2022-10-12,120827,0,true,murielkruize,2024-06-16T11:57:02Z,"","Dream Artists",0.811,0.752,0,-5.735,1,0.0449,0.00911,0.00000214,0.0949,0.634,144.936,4
spotify:track:33W4pwS5tgddpY1ZNECGY0,"For Them Bustas","Still Comin' Real","Shawty Pimp,MC Spade",2019-06-11,177586,32,true,murielkruize,2024-06-16T11:57:37Z,"horrorcore,southern hip hop,phonk","Major Revenue Records LLC/Big Pimpin Productions",0.804,0.494,11,-9.243,0,0.376,0.119,0,0.354,0.758,80.952,4
spotify:track:0uq2cBrdJ9iHEkFHuyWPPG,"Big Stepper","Big Stepper","BigXthaPlug",2021-07-07,130774,67,true,murielkruize,2024-06-16T11:57:39Z,"southern hip hop","BigXthaPlug",0.853,0.687,2,-10.646,1,0.369,0.0113,0.0000284,0.0772,0.799,120.04,4
spotify:track:1GP15Zotdl34Qhlujz4i1l,"MASTA - Joe Sonar Remix","MASTA (Joe Sonar Remix)","Tim Lyre,Jords,Joe Sonar",2024-02-02,156850,24,true,murielkruize,2024-06-16T12:02:09Z,"alté,afro r&b,afro soul,afrobeats,uk garage","Outer South",0.753,0.652,10,-7.33,0,0.26,0.0926,0.000213,0.312,0.919,127.156,4
spotify:track:2q0VexHJirnUPnEOhr2DxK,"Biking","Biking","Frank Ocean,JAY-Z,Tyler The Creator",2017-04-10,277520,69,true,murielkruize,2024-06-16T12:10:25Z,"hip hop,east coast hip hop,rap","Blonded",0.673,0.463,2,-7.247,1,0.191,0.681,0.0000049,0.0907,0.268,147.981,4
spotify:track:7qfur8OfEOABgenV3Wf0JK,"Break the Law","GO:OD AM","Mac Miller",2015-09-18,195840,54,true,murielkruize,2024-06-16T12:10:54Z,"","Warner Records",0.464,0.775,10,-5.374,0,0.263,0.193,0,0.155,0.438,148.442,4
spotify:track:7rV9dxQph8QTjjVabf5Ymc,"I'm Not Real","Watching Movies With The Sound Off (Deluxe Edition)","Mac Miller,Earl Sweatshirt,Vinny Radio",2013-01-01,203400,0,true,murielkruize,2024-06-16T12:11:12Z,"experimental hip hop,alternative hip hop","Universal Music Group International",0.498,0.686,1,-5.681,1,0.2,0.349,0,0.545,0.777,152.243,4
spotify:track:4OZIdnoF4TaXk9gQVyFvJv,"Come on Wit Me - Mix","Still Comin' Real","Shawty Pimp",2019-06-11,258763,22,true,murielkruize,2024-06-16T12:34:58Z,"horrorcore,southern hip hop,phonk","Major Revenue Records LLC/Big Pimpin Productions",0.935,0.613,10,-13.041,0,0.147,0.00187,0.0000739,0.175,0.861,133.735,4
spotify:track:21f4TjwWXbnqg8d5R6oq8Y,"BerwynGesaffNeighbours","USB","Fred again..,BERWYN",2024-04-09,123607,2,true,murielkruize,2024-06-16T12:50:47Z,"stutter house,house,uk r&b","Atlantic Records UK",0.523,0.635,2,-9.001,1,0.19,0.275,0.411,0.198,0.265,101.62,4
spotify:track:2YSoNOoqaDk19JrEmTbKCG,"We a Run E Grung - Remix","We a Run E Grung (Remix)","Nadg,Seanizzle",2023-01-05,108975,45,true,murielkruize,2024-06-16T12:55:01Z,"dancehall,soca,riddim,ragga,reggae","MNRK Music",0.673,0.641,6,-8.086,0,0.443,0.0839,0,0.0936,0.813,96.349,4
spotify:track:59rtiYOPgMEDf3yPEfU2la,"Still Tippin' (feat. Slim Thug and Paul Wall)","Who Is Mike Jones?","Mike Jones,Paul Wall,Slim Thug",2005-04-19,271053,69,true,murielkruize,2024-06-16T13:04:45Z,"southern hip hop,crunk","Warner Records",0.86,0.861,6,-7.131,0,0.307,0.0361,0.0000407,0.113,0.79,143.184,4
