Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:27sBcXtgTBSJRdUxei1a7J,"Sexy Villain","Juno","Remi Wolf",2021-10-15,188500,63,true,12139169220,2024-08-30T21:58:15Z,"","Island Records",0.766,0.539,7,-4.927,1,0.0479,0.402,0,0.104,0.888,120.175,4
spotify:track:2ezQq2qWhGO6J6q5JwC50d,"All Of The Time","Loving In Stereo","Jungle",2021-08-13,182040,66,false,12139169220,2024-08-30T21:58:40Z,"","Caiola Records",0.694,0.874,5,-5.988,0,0.0413,0.0367,0.0963,0.955,0.877,130.007,4
spotify:track:394hVs6PgP6vboOjN2j90f,"Improviso","Projeto Memoria Brasileira : Viva Garoto","Garoto",2013-05-31,169533,33,false,12139169220,2024-08-30T21:59:05Z,"bossa nova,brazilian jazz","Nucleo Contemporaneo",0.502,0.102,5,-18.747,1,0.0483,0.991,0.951,0.116,0.39,72.55,4
spotify:track:37xM5UFUHSVBISEJWTYwvn,"Dreams","Dreams","RUBII",2024-06-07,141220,64,false,12139169220,2024-08-30T21:59:16Z,"","RUBII",0.756,0.322,4,-14.545,0,0.07,0.228,0.388,0.0872,0.6,136.003,4
spotify:track:0l2k4tdemioYYKIDtEv21c,"By The Time I Get To Phoenix","Dorothy's Harp","Dorothy Ashby",1969-01-01,210186,47,false,12139169220,2024-08-30T22:00:11Z,"exotica","Verve Reissues",0.596,0.688,0,-9.328,0,0.0418,0.458,0.807,0.0701,0.718,101.638,4
spotify:track:5EJ8VZyrK31Sro2qcNhkv3,"Cantar das Kandakinhas","Soprem Bons Ventos","Pedro Ricardo",2023-02-17,125303,29,false,12139169220,2024-08-30T22:00:18Z,"","Soundway Records Ltd",0.719,0.378,11,-13.932,0,0.0904,0.722,0.743,0.118,0.549,77,4
spotify:track:4KmAGKJbeY2DUiLInlet53,"Good Hearted Woman","Good Hearted Woman","Waylon Jennings",1972-02-01,181440,64,false,12139169220,2024-08-30T22:01:53Z,"outlaw country,classic country,country,honky tonk,traditional country","RLG/Legacy",0.484,0.413,2,-14.422,1,0.0394,0.633,0.0442,0.375,0.766,106.72,4
spotify:track:56g62QRl9wNTJRn5idyMsp,"Kim Ne Derse Desin","Kim Ne Derse Desin","Ajda Pekkan",2014-01-20,162168,53,false,12139169220,2024-08-30T22:02:05Z,"turkish pop,t-pop","Odeon Müzik Yapımcılık",0.514,0.651,0,-9.911,0,0.0725,0.18,0,0.188,0.668,127.418,4
spotify:track:7E4qUlNYocWix5FKBdw5CN,"OH! TENGO SUERTE","SEYCHELLES","Masayoshi Takanaka",1976,252666,64,false,12139169220,2024-08-30T22:02:28Z,"jazz fusion,city pop,jazz funk","Universal Music LLC",0.519,0.744,2,-9.487,1,0.0432,0.68,0.0526,0.123,0.408,93.555,4
spotify:track:3hxIUxnT27p5WcmjGUXNwx,"Shut up My Moms Calling","Shut up My Moms Calling","Hotel Ugly",2020-02-10,164571,87,false,12139169220,2024-08-30T22:02:55Z,"","Hotel Ugly, under exclusive license to Amuseio AB",0.485,0.409,9,-10.711,0,0.101,0.325,0,0.103,0.376,138.419,4
spotify:track:6RbET5CDW2G0u97yHe6SQA,"Sunshine Sometimes","Bird Songs of a Killjoy","Bedouine",2019-06-21,262074,33,false,12139169220,2024-08-30T22:03:09Z,"","Spacebomb",0.527,0.181,9,-17.559,1,0.047,0.899,0.0318,0.112,0.134,88.784,4
