Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0ofHAoxe9vBkTCp2UQIavz,"Dreams - 2004 Remaster","Rumours (Super Deluxe)","Fleetwood Mac",1977-02-04,257800,92,false,121736437,2025-03-25T16:11:55Z,"classic rock,yacht rock,soft rock","Rhino/Warner Records",0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4
spotify:track:4E3pn4V6cDAMRe6hXjQcXe,"How Do I Let a Good Man Down?","Naturally","Sharon Jones & The Dap-Kings",2005-01-25,182826,54,false,121736437,2024-12-04T21:07:53Z,"retro soul,soul,funk","Daptone Records",0.654,0.965,7,-3.85,1,0.0559,0.226,0.324,0.0826,0.848,122.908,4
spotify:track:5siwoDxCGDYnmfWV5SlUpE,"Bamboleo","Gipsy Kings","Gipsy Kings",1988-11-08,203173,57,false,1a74b63i0zf75qotyz7k0d8ew,2024-12-05T01:03:36Z,"flamenco","Nonesuch",0.671,0.884,6,-9.267,0,0.0586,0.414,0.00015,0.0701,0.933,119.574,4
spotify:track:73heg6N1M8OUS5dK8D5aEv,"Let's Boogaloo","Two Too Much!","Willie Rosario and His Orchestra,Frank Figueroa",1968-01-01,216360,41,false,121736437,2025-03-13T01:28:55Z,"latin jazz,cha cha cha,salsa,mambo,bolero,son cubano","Fania",0.766,0.554,5,-8.863,1,0.0471,0.525,0.000383,0.314,0.818,140.852,4
spotify:track:6SXpeLiRALz6OlaaTLGEqj,"Grits Ain't Groceries (All Around The World)","Rockin' The Blues","Little Milton",1995-10-10,161160,32,false,121736437,2024-12-04T18:53:07Z,"blues,soul blues,northern soul,classic blues","Geffen",0.69,0.682,4,-8.491,1,0.115,0.375,0,0.119,0.783,121.269,4
spotify:track:2PzU4IB8Dr6mxV3lHuaG34,"(I Can't Get No) Satisfaction - Mono","Out Of Our Heads","The Rolling Stones",1965-07-30,222813,80,false,121736437,2024-12-04T19:00:32Z,"classic rock,rock","ABKCO Music and Records, Inc.",0.723,0.863,2,-7.89,1,0.0338,0.0383,0.0317,0.128,0.931,136.302,4
spotify:track:1ipcb9qXpSHWhSUvdxJhsx,"Forever and Ever Amen","Always & Forever","Randy Travis",1987-05-04,212640,79,false,121736437,2024-12-04T20:15:47Z,"christian country,classic country,country,traditional country","Warner Records/Maverick",0.677,0.724,2,-8.992,1,0.0245,0.143,0.000101,0.158,0.697,90.392,4
spotify:track:5UvE5QlINnvEc7aFO14DVL,"Great Balls Of Fire - 1964 Version","The Golden Rock Hits Of Jerry Lee Lewis","Jerry Lee Lewis",1964-05-13,109706,58,false,121736437,2024-12-04T19:07:05Z,"rockabilly,rock and roll,boogie-woogie","Mercury Nashville",0.4,0.818,0,-11.238,1,0.08,0.458,0.00000325,0.132,0.936,166.287,4
spotify:track:16dz1n3ctolQbuZPtvHVqH,"Love Man","Love Man","Otis Redding",1969,139493,60,false,121736437,2024-12-04T18:58:34Z,"soul,motown,classic soul,soul blues","Rhino",0.588,0.611,11,-9.088,1,0.0311,0.197,0.0000879,0.0518,0.937,149.141,4
spotify:track:0Z3xhSOhrawLV81YdiDiiJ,"Venus","At Home","Shocking Blue",1969,187533,67,false,121736437,2024-12-04T18:59:16Z,"nederpop","Red Bullet",0.691,0.762,11,-6.47,0,0.0367,0.462,0.0286,0.0804,0.957,128.111,4
