Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3Q6VfeIZ1bTjWiNe2Or4LQ,"Spud Infinity","Dragon New Warm Mountain I Believe In You","Big Thief",2022-02-11,334802,50,false,1a74b63i0zf75qotyz7k0d8ew,2022-12-26T16:26:28Z,"","4AD",0.562,0.633,10,-6.228,1,0.0331,0.157,0.000419,0.16,0.562,132.122,4
spotify:track:0H8ukN2MIW2iNvqJP1kb4O,"Everything Is Free","Time (The Revelator)","Gillian Welch",2001-07-31,288000,24,false,1a74b63i0zf75qotyz7k0d8ew,2022-12-26T16:26:40Z,"americana,bluegrass,alt country,folk,southern gothic","Acony Records",0.686,0.143,0,-14.701,1,0.042,0.94,0.0000765,0.0792,0.351,101.651,4
spotify:track:3gHuSos0RaIow1j3LGS5qt,"I Want To Sing That Rock And Roll","Time (The Revelator)","Gillian Welch",2001-07-31,171440,11,false,1a74b63i0zf75qotyz7k0d8ew,2022-12-26T16:26:49Z,"americana,bluegrass,alt country,folk,southern gothic","Acony Records",0.505,0.345,3,-10.472,1,0.0331,0.671,0,0.712,0.438,99.985,4
spotify:track:0gKiONJeEtwb3hps4sUgyn,"Changes","The Spirit Moves","Langhorne Slim,The Law",2015-08-07,161906,1,false,1a74b63i0zf75qotyz7k0d8ew,2022-12-26T16:26:55Z,"anti-folk,indie folk,americana","Dualtone Music Group, Inc.",0.668,0.367,11,-11.002,1,0.0285,0.891,0.00521,0.103,0.342,110.21,4
spotify:track:2Ao6tuwPEgKbTRhNw5DUZ1,"Cynicism","Ruth","Nana Grizol",2010,148226,40,false,1a74b63i0zf75qotyz7k0d8ew,2022-12-26T16:27:06Z,"folk punk,anti-folk","Orange Twin",0.364,0.0946,4,-16.25,1,0.0307,0.888,0.000765,0.102,0.22,101.085,4
spotify:track:3pbGwayUUdbPu0JRRQsoz1,"Free Translator","The Way Out","The Books",2010-07-20,230120,26,false,1a74b63i0zf75qotyz7k0d8ew,2022-12-26T16:27:12Z,"","Temporary Residence Ltd.",0.527,0.249,7,-14.781,1,0.0499,0.94,0.0447,0.293,0.256,95.245,4
spotify:track:42yexCY4dCftowtAZXuAIj,"' Cello Song","Five Leaves Left","Nick Drake",1969-07-03,284986,52,false,1a74b63i0zf75qotyz7k0d8ew,2022-12-26T16:28:31Z,"folk,singer-songwriter","Universal-Island Records Ltd.",0.507,0.39,3,-17.218,1,0.0326,0.657,0.859,0.0613,0.52,118.805,4
spotify:track:7bzzC7QIfflM9eEj2aqaYX,"Blue Ridge Mountains","Fleet Foxes","Fleet Foxes",2008-06-03,265773,63,false,1a74b63i0zf75qotyz7k0d8ew,2022-12-26T16:39:06Z,"indie folk,folk,indie","Sub Pop Records",0.533,0.426,8,-8.505,0,0.0273,0.708,0.000488,0.101,0.274,97.905,4
spotify:track:7iV2w73aB3oL7UWgEAWuiN,"Four Winds","Cassadaga","Bright Eyes",2007-04-10,256262,46,false,1a74b63i0zf75qotyz7k0d8ew,2022-12-26T20:04:37Z,"indie folk","Dead Oceans",0.497,0.879,10,-5.531,1,0.0516,0.216,0.0000166,0.32,0.563,131.82,4
spotify:track:2lBEWXP11gpEySIXgA5ALH,"Fire","Saint Cloud","Waxahatchee",2020-03-27,217373,54,false,1a74b63i0zf75qotyz7k0d8ew,2022-12-26T20:04:47Z,"alt country","Merge Records",0.5,0.451,7,-11.81,1,0.0529,0.674,0.00000693,0.138,0.186,84.566,4
