Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0qnfAVtzFPY0pOGYpTkZeY,"I Gotta Try","If That's What It Takes","Michael McDonald",1982-08-03,235333,57,false,22urf34ngbd7tdlq4o2x56vtq,2025-06-16T12:42:06Z,"yacht rock","Reprise",0.808,0.417,9,-15.226,0,0.0316,0.103,0,0.0609,0.887,114.558,4
spotify:track:4qM461TqtpnP4GLRIXwEnW,"Sussudio - 2016 Remaster","No Jacket Required (2016 Remaster)","Phil Collins",1985-01-25,263106,70,false,22urf34ngbd7tdlq4o2x56vtq,2025-06-16T12:42:43Z,"soft rock","Rhino",0.714,0.935,5,-5.195,1,0.0849,0.0529,0.0934,0.0515,0.725,121.232,4
spotify:track:4uHyvtUOobhBa3DIjLvrit,"The Eagle And The Hawk","Take Me Home: A Tribute To John Denver","Bonnie Prince Billy",2004-01-14,106040,11,false,22urf34ngbd7tdlq4o2x56vtq,2025-06-18T15:24:32Z,"alt country,indie folk","Badman Recording Co",0.485,0.139,10,-16.568,0,0.154,0.944,0,0.115,0.0868,80.497,3
spotify:track:2aYpumLkLnPSL8eqScnM6h,"Eugene","The Evening Call","Greg Brown",2006-08-08,358266,16,true,22urf34ngbd7tdlq4o2x56vtq,2025-06-18T15:24:47Z,"americana,folk,alt country","Red House Records",0.545,0.332,2,-13.709,1,0.178,0.417,0,0.0722,0.41,96.725,4
spotify:track:0d7udUxBzpZ2EtmfjqmLQt,"Sweet Misery","Less Than The Song","Hoyt Axton",1972-01-01,204013,10,false,22urf34ngbd7tdlq4o2x56vtq,2025-06-18T15:24:56Z,"","A&M",0.554,0.153,11,-15.713,0,0.0304,0.782,0.000858,0.103,0.427,86.023,4
spotify:track:3GlYv2EDC7EBoslv2dOE0G,"Hold On","Mule Variations (Remastered)","Tom Waits",1999-04-27,333626,50,false,22urf34ngbd7tdlq4o2x56vtq,2025-06-18T15:25:08Z,"singer-songwriter,southern gothic","Anti/Epitaph",0.454,0.247,2,-13.797,1,0.0402,0.883,0.000195,0.257,0.654,149.603,4
spotify:track:1MbqOV4uT2Rrxxyk1ZvCTT,"Old Shoes (& Picture Postcards)","Closing Time (Remastered)","Tom Waits",1973-03-06,219840,41,false,22urf34ngbd7tdlq4o2x56vtq,2025-06-18T15:27:24Z,"singer-songwriter,southern gothic","Anti/Epitaph",0.597,0.555,7,-10.058,1,0.0408,0.446,0.00131,0.0845,0.489,120.194,3
spotify:track:6Z9qv00Qijz9m7YcTrYW9C,"Ditty Wah Ditty","Paradise and Lunch","Ry Cooder",1974,342066,22,false,22urf34ngbd7tdlq4o2x56vtq,2025-06-18T15:27:37Z,"blues,country blues,americana,country rock,roots rock","Warner Records",0.502,0.187,0,-20.462,1,0.0365,0.794,0.0183,0.0821,0.77,172.438,4
spotify:track:32nQWPvNojUieNp6N9tSAX,"Everybody Knows","Everybody Knows","Sharon Robinson",2008-01-01,326533,40,false,22urf34ngbd7tdlq4o2x56vtq,2025-06-18T15:28:22Z,"","Sharon Robinson Songs",0.728,0.185,1,-14.011,1,0.0414,0.838,0.00253,0.101,0.32,133.995,4
spotify:track:1RD1aLv53mgjA5MMNWhaNt,"What About Me? - Remastered","Classic Masters","Quicksilver Messenger Service",2007-01-01,401720,23,false,22urf34ngbd7tdlq4o2x56vtq,2025-06-18T15:30:15Z,"acid rock,psychedelic rock","Capitol Records",0.387,0.867,2,-3.876,0,0.0933,0.764,0,0.218,0.549,116.897,4
spotify:track:5SevmBPHYzzyEtBQa2UK8K,"Time Spent in Los Angeles (for Altadena)","Time Spent in Los Angeles (for Altadena)","Dawes,Andrew Bird,Alan Hampton",2025-04-03,252651,38,false,22urf34ngbd7tdlq4o2x56vtq,2025-06-18T15:30:26Z,"americana,alt country,baroque pop,indie folk","Dead Ringers",0.677,0.259,7,-12.944,1,0.0425,0.725,0.0228,0.248,0.387,101.084,4
spotify:track:5MCM2YPIxYTt82Ub6j4HBZ,"American Dreaming","American Dreaming","Sierra Ferrell",2024-03-19,257297,45,false,22urf34ngbd7tdlq4o2x56vtq,2025-06-18T15:30:36Z,"americana,alt country,bluegrass","Rounder",0.56,0.361,0,-9.03,0,0.04,0.597,0,0.333,0.305,82.172,4
spotify:track:5PdIsdV4HHhy6MtSGLTMEO,"When I Was Younger","Keep Me on Your Mind/See You Free","Bonny Light Horseman,Eric D. Johnson,Josh Kaufman,Anaïs Mitchell",2024-06-07,197416,37,false,22urf34ngbd7tdlq4o2x56vtq,2025-06-18T15:30:48Z,"musicals","Jagjaguwar",0.514,0.39,0,-7.903,1,0.039,0.177,0.00926,0.0917,0.429,129.366,4
