Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6oCXDaFZYL7sHnowv6pdXb,"Spring Into Summer","Older (and Wiser)","Lizzy McAlpine",2024-10-04,262518,82,false,,2025-05-30T04:00:28Z,"","Indigo Blue/RCA Records",0.522,0.575,2,-7.294,1,0.0305,0.614,0.000248,0.103,0.234,91.713,4
spotify:track:4HGkMZR0hdU5YfuANzsCyF,"White Male Privilege","takeaways","Medium Build",2025-03-28,229372,56,false,,2025-05-30T04:00:28Z,"","Island Records",0.527,0.223,0,-9.326,1,0.0425,0.879,0.00000385,0.101,0.233,70.462,3
spotify:track:0SC0WzJk80snenOopsPzvM,"Earthstar","Earthstar Mountain","Hannah Cohen",2025-03-28,243455,43,false,,2025-05-30T04:00:28Z,"","Congrats Records",0.513,0.726,1,-8.566,0,0.0397,0.289,0.267,0.0778,0.492,152.012,4
spotify:track:7uWS4zoWMNU9fUPojMYilC,"There's A Rhythmn","SABLE fABLE","Bon Iver",2025-04-11,316301,65,false,,2025-05-30T04:00:28Z,"","Jagjaguwar",0.599,0.376,3,-8.921,1,0.0248,0.719,0.368,0.116,0.47,80.82,4
spotify:track:2dLVXnwdnstcHIRTJMgqsx,"Seed of a Seed","Seed of a Seed","Haley Heynderickx",2024-07-30,164000,57,false,,2025-05-30T04:00:28Z,"","Mama Bird Recording Co.",0.55,0.281,1,-11.215,1,0.057,0.72,0.0761,0.101,0.516,136.678,4
spotify:track:5BDqX0YK9TpLotRBvcR8MN,"I Wonder Why","Plastic Bouquet","Kacy & Clayton,Marlon Williams",2020-12-11,125840,45,false,,2025-05-30T04:00:28Z,"southern gothic","New West Records",0.38,0.559,7,-8.55,1,0.0317,0.591,0.00000274,0.149,0.472,78.507,4
spotify:track:3sTNIZ0hdHC2Lj1dp0IQRm,"Candle","Two Saviors","Buck Meek",2021-01-15,223713,40,false,,2025-05-30T04:00:28Z,"","Keeled Scales",0.618,0.352,4,-8.679,1,0.0304,0.676,0.0242,0.0887,0.398,80.34,4
spotify:track:2TQXJmPwCgmIXpAtz9dyCI,"Thirty","The Weather Station","The Weather Station",2017-10-06,220253,40,true,,2025-05-30T04:00:28Z,"indie folk","Paradise of Bachelors",0.398,0.553,0,-8.738,1,0.0538,0.672,0.0000396,0.245,0.539,163.718,4
spotify:track:3i7XRi2UyvGTdJawJRkVhd,"Certainty","Dragon New Warm Mountain I Believe In You","Big Thief",2022-02-11,187388,60,false,,2025-05-30T04:00:28Z,"","4AD",0.611,0.507,9,-8.521,1,0.0267,0.0208,0.012,0.222,0.401,76.578,4
spotify:track:3zGhR60NOVSgtzNEQNcHav,"Free Treasure","Bright Future","Adrianne Lenker",2024-03-22,215514,56,false,,2025-05-30T04:00:28Z,"","4AD",0.495,0.196,1,-9.992,1,0.0333,0.915,0,0.152,0.375,76.47,4
spotify:track:1beFyH38tUxVj7wG6bFxS3,"King of Fools","King of Fools","Twain",2022-02-23,201656,23,false,,2025-05-30T04:00:28Z,"","Keeled Scales",0.609,0.335,5,-14.815,1,0.0383,0.738,0.00564,0.122,0.711,146.249,4
spotify:track:3O9YCnmOoOCb2si78y4iy6,"World on a String","Here in the Pitch","Jessica Pratt",2024-05-03,189640,45,false,,2025-05-30T04:00:28Z,"ambient folk","Mexican Summer",0.459,0.213,2,-11.399,1,0.0355,0.922,0.00223,0.117,0.487,80.202,4
spotify:track:1T13ZqrqIEppYk5zEMh2Lc,"Debbie Darling","No Way To Relax When You Are On Fire","Dora Jar",2024-09-13,228093,45,false,,2025-05-30T04:00:28Z,"","Dora Jar PS/ Island",0.639,0.396,5,-8.433,1,0.0341,0.489,0.00029,0.126,0.185,130.033,4
spotify:track:73uJybGAhwGRD9MZYrOmTY,"Death with Dignity","Carrie & Lowell","Sufjan Stevens",2015-03-31,239508,64,false,,2025-05-30T04:00:28Z,"baroque pop","Asthmatic Kitty",0.514,0.16,4,-21.04,1,0.0383,0.986,0.0176,0.113,0.395,169.898,4
spotify:track:66Ew9TmVnxjg8HTjsFoSts,"I Can't Get My Head Around You","Drop Cherries","Billie Marten",2023-04-07,206427,49,false,,2025-05-30T04:00:28Z,"","Fiction Records",0.529,0.578,8,-7.853,1,0.0272,0.498,0.0467,0.108,0.627,145.783,4
spotify:track:0ZJWJbmKpkdhnc7cQeQMNR,"Pelican Canyon","Pelican Canyon","Du Blonde,Samuel T. Herring",2023-09-05,227160,31,false,,2025-05-30T04:00:28Z,"","Daemon T.V",0.379,0.3,7,-11.394,1,0.0396,0.874,0.0000186,0.0962,0.58,98.775,4
spotify:track:7C6hHmGVWw4SzewfvFU2Hc,"Sold My Soul","Nobody Lives Here Anymore","Cut Worms",2020-10-09,371976,41,false,,2025-05-30T04:00:28Z,"","Jagjaguwar",0.466,0.433,2,-9.489,1,0.0304,0.644,0.00000258,0.093,0.568,145.644,4
spotify:track:3WtJQ5BYAqHvS4rtnixiSO,"Held Down","Song For Our Daughter","Laura Marling",2020-04-10,247920,48,false,,2025-05-30T04:00:28Z,"singer-songwriter,southern gothic,folk,indie folk","Chrysalis Frontline",0.477,0.494,7,-7.871,1,0.0346,0.175,0.00000263,0.353,0.412,79.489,4
spotify:track:5whapFlXtB97RZg4CldtWB,"Wind On Tin","Sorceress","Jess Williamson",2020-05-15,186509,44,false,,2025-05-30T04:00:28Z,"southern gothic","Mexican Summer",0.57,0.46,9,-8.856,0,0.0283,0.398,0.203,0.128,0.274,109.933,4
spotify:track:0WYip0MXpOGYvNH2h7q8ng,"For Sale Sign (feat. Lizzy McAlpine)","For Sale Sign (feat. Lizzy McAlpine)","Tiny Habits,Lizzy McAlpine",2024-11-21,266666,52,false,,2025-05-30T04:00:28Z,"","Mom+Pop",0.428,0.463,10,-11.032,1,0.0288,0.772,0.00194,0.101,0.315,84.909,3
spotify:track:7ydJaSdC8Au68eYgspNznY,"Goodbye Mr. Blue","Chloë and the Next 20th Century","Father John Misty",2022-04-08,300240,56,false,,2025-05-30T04:00:28Z,"","Sub Pop Records",0.506,0.47,2,-8.787,1,0.0284,0.737,0.608,0.125,0.477,104.967,4
spotify:track:6Tv21RLLA1Dt6OtPNz8QDq,"All The Good Times","Big Time","Angel Olsen",2022-06-03,276826,47,false,,2025-05-30T04:00:28Z,"","Jagjaguwar",0.595,0.47,4,-8.722,1,0.0261,0.368,0.00136,0.0947,0.318,81.008,4
spotify:track:7oChm7YC5PS1NvEkRCgswG,"Manifest","My Finest Work Yet","Andrew Bird",2019-03-22,317413,53,false,,2025-05-30T04:00:28Z,"baroque pop,indie folk","Loma Vista Recordings",0.631,0.619,0,-6.403,0,0.025,0.321,0,0.0658,0.417,100.258,4
spotify:track:3Ugq8kEET6KgKBmZ3ttCNl,"RHODODENDRON","LIFE ON EARTH","Hurray For The Riff Raff",2022-02-18,214173,35,false,,2025-05-30T04:00:28Z,"americana,alt country","Nonesuch",0.706,0.733,5,-7.875,1,0.0494,0.732,0.028,0.0949,0.692,74.995,4
spotify:track:237ziShbG6KcoEMtwekVsM,"Moderation","Pompeii","Cate Le Bon",2022-02-04,244576,48,false,,2025-05-30T04:00:28Z,"art pop","Mexican Summer",0.653,0.499,2,-7.56,1,0.0259,0.705,0.0971,0.149,0.477,112.984,4
