Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6ZSf7RLIbwYsz9cz6KY6VA,"Bright Future In Sales","Welcome Interstate Managers","Fountains Of Wayne",2003-01-01,186493,42,true,amkraft16,2021-03-07T15:51:27Z,"power pop","S-Curve Records",0.574,0.879,9,-4.594,1,0.068,0.0721,0,0.0528,0.837,131.983,4
spotify:track:7ns9FS0wnvuGW26YBeRkJc,"Utopia Parkway","Utopia Parkway","Fountains Of Wayne",1999,187400,33,false,amkraft16,2021-03-07T15:52:03Z,"power pop","Atlantic Records",0.586,0.699,3,-5.082,1,0.0269,0.00411,0.00308,0.237,0.227,97.422,4
spotify:track:7e8utCy2JlSB8dRHKi49xM,"Fluorescent Adolescent","Favourite Worst Nightmare (Standard Version)","Arctic Monkeys",2007-04-24,173493,74,false,amkraft16,2021-03-07T15:53:10Z,"indie,garage rock","Domino/Warner Records",0.646,0.813,6,-5.29,0,0.0288,0.00178,0.0000226,0.144,0.821,112.115,4
spotify:track:1TYRcvY3JTYoLVhADPpDH5,"Red Light Indicates Doors Are Secured","Whatever People Say I Am That's What I'm Not","Arctic Monkeys",2006-02-21,143626,0,false,amkraft16,2021-03-07T15:54:09Z,"indie,garage rock","Domino Recording Co",0.622,0.846,11,-4.831,0,0.0311,0.00316,0,0.0989,0.914,110.683,4
spotify:track:4wSWZjWH7a5eVxskGxO13w,"The View From The Afternoon","Whatever People Say I Am That's What I'm Not","Arctic Monkeys",2006-02-21,222946,0,false,amkraft16,2021-03-07T15:54:26Z,"indie,garage rock","Domino Recording Co",0.387,0.922,9,-5.192,0,0.0674,0.00487,0,0.187,0.417,146.478,4
spotify:track:29EkMZmUNz1WsuzaMtVo1i,"I Bet You Look Good On The Dancefloor","Whatever People Say I Am That's What I'm Not","Arctic Monkeys",2006-02-21,173680,1,false,amkraft16,2021-03-07T15:54:29Z,"indie,garage rock","Domino Recording Co",0.535,0.948,6,-4.19,0,0.0356,0.00225,0,0.376,0.778,103.183,4
spotify:track:6zNf98mC8w5wh9V4XKShzj,"Times Square","Poison Season","Destroyer",2015-08-28,251360,0,false,amkraft16,2021-03-07T15:55:21Z,"art pop","Merge Records",0.37,0.907,0,-5.128,1,0.0382,0.00684,0.0634,0.122,0.784,163.436,4
spotify:track:4wajJ1o7jWIg62YqpkHC7S,"Weird Fishes / Arpeggi","In Rainbows","Radiohead",2007-12-28,318186,79,false,1a74b63i0zf75qotyz7k0d8ew,2021-03-07T21:01:10Z,"art rock,alternative rock","XL Recordings",0.531,0.61,11,-8.025,0,0.0387,0.772,0.756,0.0908,0.199,152.958,4
spotify:track:1uihOJbHkJJlDwUUOa0yqu,"Danny Nedelko","Joy as an Act of Resistance.","IDLES",2018-08-31,204843,0,true,1a74b63i0zf75qotyz7k0d8ew,2021-03-07T21:03:30Z,"post-punk,punk,noise rock","PTKF",0.207,0.931,6,-4.452,1,0.083,0.000274,0.00387,0.243,0.324,204.227,4
spotify:track:22eG81kHWrkaUFFVrWtzEj,"The Krockadile","6 Feet Beneath The Moon","King Krule",2013-08-24,291613,35,false,1a74b63i0zf75qotyz7k0d8ew,2021-03-07T21:05:08Z,"","True Panther Sounds",0.439,0.785,7,-7.819,1,0.214,0.548,0,0.0968,0.185,102.923,4
spotify:track:6gCdeGEhXZbAracd6B977r,"Human Performance","Human Performance","Parquet Courts",2016-04-08,255880,39,false,1a74b63i0zf75qotyz7k0d8ew,2021-03-07T21:15:56Z,"post-punk,indie rock,garage rock","Rough Trade",0.454,0.756,6,-3.867,0,0.0301,0.201,0.496,0.308,0.521,109.824,4
