Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:16nJl8NnriCJxraco5Zssm,"Better Git It in Your Soul","Mingus Ah Um","Charles Mingus",1959,440840,48,false,,1970-01-01T00:00:00Z,"jazz,hard bop,bebop,free jazz,cool jazz","Columbia/Legacy",0.457,0.548,5,-12.486,0,0.0551,0.111,0.00016,0.103,0.76,88.8,4
spotify:track:7f6AAixCrVar1ZY7RPHDfM,"Cry Me A River","Julie Is Her Name","Julie London",1955-12-01,178573,62,false,,1970-01-01T00:00:00Z,"vocal jazz,jazz","Capitol Records",0.496,0.0688,4,-14.927,0,0.0545,0.964,0.00229,0.112,0.161,119.898,4
spotify:track:4rmCI9VWrwrJTJ8XQ80BMN,"My Little Brown Book","Duke Ellington & John Coltrane","Duke Ellington,John Coltrane",1963-02,319733,63,false,,1970-01-01T00:00:00Z,"jazz,big band,swing music,cool jazz,hard bop,free jazz,bebop,jazz blues","Impulse!",0.381,0.187,7,-13.497,0,0.0322,0.942,0.135,0.161,0.215,70.418,4
spotify:track:2zcQB2lkNd6oSeUd2Ksv9r,"Suspicious Child Growing Up","Spectrum","Volker Kriegel",2014-01-31,240586,43,false,,1970-01-01T00:00:00Z,"krautrock,jazz fusion","MPS",0.587,0.403,2,-13.471,1,0.0333,0.861,0.808,0.0966,0.366,89.496,4
spotify:track:260FtPzhpH7A0473nrMZ8R,"Let My People Go","Let My People Go","Darondo",2005-01-24,238480,51,false,,1970-01-01T00:00:00Z,"","Luv N' Haight",0.633,0.58,2,-12.017,0,0.048,0.32,0.643,0.122,0.835,171.643,4
spotify:track:2r2OtoJYE1MzJ9h4rxVqyA,"Murmullo","Buena Vista Social Club","Buena Vista Social Club",1997-06-23,231333,55,false,,1970-01-01T00:00:00Z,"son cubano,latin jazz,latin,bolero","World Circuit",0.359,0.239,9,-18.703,1,0.0316,0.931,0.703,0.112,0.401,170.997,4
spotify:track:3HC6U39266ytr7fMW9M2Mz,"Changes","Changes","Charles Bradley,The Budos Band",2016-04-01,342999,67,false,,1970-01-01T00:00:00Z,"retro soul,soul,soul blues,afrobeat,jazz funk,afro soul","Daptone Records",0.406,0.447,0,-8.269,1,0.0349,0.00587,0.001,0.0686,0.319,148.155,3
spotify:track:6FKasUNG1KT4r9TR9rKdll,"St. James Infirmary","The Bright Mississippi","Allen Toussaint",2009-01-27,231106,48,false,,1970-01-01T00:00:00Z,"cajun","Nonesuch",0.892,0.191,5,-14.977,0,0.0599,0.522,0.761,0.109,0.46,106.55,4
spotify:track:2EYLIdBeJZrQqFA0xkzQnu,"Soul Vibrations","Afro-Harping","Dorothy Ashby",1968-01-01,200053,41,false,,1970-01-01T00:00:00Z,"exotica","Verve",0.549,0.556,5,-10.434,1,0.0375,0.417,0.832,0.119,0.327,94.036,4
spotify:track:0aU10VlpxhIAuxGcGi87mB,"Whatcha Gonna Do","Stop Wait A Minute Girl B/W Whatcha Gonna Do","The Valdons",2013-11-26,124992,61,false,,1970-01-01T00:00:00Z,"","Secret Stash Records",0.559,0.499,5,-10.131,0,0.0347,0.725,0.179,0.116,0.773,151.423,4
spotify:track:1EuFHPoVGfyfEZBaYExK7v,"Bird's Lament","Sax Pax For A Sax","Moondog",1997-11-28,123893,51,false,,1970-01-01T00:00:00Z,"minimalism,avant-garde","Moondog",0.594,0.291,2,-11.158,1,0.0429,0.763,0.879,0.106,0.0979,63.384,5
spotify:track:0AdiwAdf4EdQl6ThcvAaJb,"Puaj","Rammana","Salin",2025-03-28,240441,31,false,,1970-01-01T00:00:00Z,"","Salin",0.76,0.85,10,-7.124,1,0.0749,0.616,0.84,0.159,0.843,136.128,4
spotify:track:6dYMhDVzfJYxlP3Hoa7ipt,"Day and Age","World's Fair","Julian Lage",2015-02-03,161493,46,false,,1970-01-01T00:00:00Z,"jazz","Modern Lore Records",0.723,0.0884,4,-15.575,1,0.0568,0.97,0.918,0.111,0.229,112.368,4
spotify:track:2enifRQ2CMEK8VPFhtX7cR,"Poeira Cosmica","Poeira Cosmica","BADBADNOTGOOD,Tim Bernardes",2024-11-07,253482,45,false,,1970-01-01T00:00:00Z,"nova mpb,mpb","XL Recordings",0.409,0.641,5,-6.92,1,0.03,0.237,0.346,0.119,0.429,165.94,4
spotify:track:726OIMOZ6uDlvGsdUbbazS,"In A Sentimental Mood","Ella Fitzgerald Sings The Duke Ellington Song Book","Ella Fitzgerald",1957-01-01,168346,55,false,,1970-01-01T00:00:00Z,"vocal jazz,jazz,swing music,jazz blues,big band,christmas","Verve Reissues",0.33,0.0159,4,-21.167,0,0.0409,0.988,0.00000538,0.109,0.22,71.022,4
spotify:track:4CwAgkBoKAGT6UMas89F0v,"Yèkèrmo Sèw","New York - Addis - London: The Story of Ethio Jazz 1965-1975","Mulatu Astatke",1969,253386,52,false,,1970-01-01T00:00:00Z,"ethiopian jazz","Strut",0.614,0.528,3,-9.654,1,0.0313,0.268,0.722,0.0851,0.386,116.208,4
spotify:track:7hZEgSe3xmIE7YSaNsj678,"Stopover Bombay","Journey in Satchidananda","Alice Coltrane,Pharoah Sanders",1971,172226,37,false,,1970-01-01T00:00:00Z,"free jazz,jazz,hard bop","GRP",0.421,0.558,0,-12.959,0,0.0494,0.086,0.0104,0.189,0.434,129.262,4
spotify:track:5mcMjy09RXCFyOvYrFoqGD,"Whisky Story Time","To Cy & Lee: Instrumentals Vol. 1","Alabaster DePlume",2020-02-28,139586,42,false,,1970-01-01T00:00:00Z,"","International Anthem Recording Co.",0.359,0.184,4,-14.502,1,0.0416,0.994,0.876,0.11,0.844,95.867,4
spotify:track:3ctsORVoVEDUxLpQAL0zOC,"Brazil","Django Reinhardt: Legendary Recordings","Django Reinhardt",2014-03-01,168720,52,false,,1970-01-01T00:00:00Z,"swing music,jazz,french jazz,ragtime,big band","Profil",0.833,0.199,0,-13.781,1,0.0518,0.941,0.907,0.114,0.831,110.689,4
