Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3dGmmX5F9aeoiwzCbXUoph,"The Embers at Dawn","...And Again Into the Light","Panopticon",2021-05-15,760328,18,false,jt_rager,2021-12-25T20:12:46Z,"black metal","Bindrune Recordings",0.173,0.416,5,-13.182,0,0.0631,0.00472,0.952,0.543,0.0452,120.114,3
spotify:track:1HLSQYyZ8g5UXwrC8q7tSL,"AVERAGE DEATH","ULTRAPOP","The Armed",2021-04-16,271900,2,false,jt_rager,2021-12-25T20:14:27Z,"mathcore,noise rock","Sargent House",0.314,0.901,2,-5.317,1,0.0683,0.0000262,0.945,0.529,0.122,110.166,3
spotify:track:5q27nrllASEcgP0wt0oNwd,"Bacia das Almas","Holoceno","Papangu",2021-06-25,336053,15,false,jt_rager,2021-12-25T20:13:57Z,"progressive metal,avant-garde,progressive rock","Papangu",0.365,0.859,4,-7.982,0,0.052,0.000356,0.13,0.39,0.228,145.063,4
spotify:track:0glWSQHe2OrIX5YXHL7xFL,"Bad Habits","Colors II","Between The Buried And Me",2021-08-20,523440,0,false,jt_rager,2021-12-25T20:14:45Z,"progressive metal,djent,mathcore,metal,metalcore,progressive rock","Sumerian Records",0.259,0.941,11,-5.272,0,0.056,0.0000517,0.0096,0.274,0.437,129.404,4
spotify:track:29Hfr153AWwM98Df3NLemx,"Diet Choke","Radio Edit","Ciśnienie",2021-03-20,345320,6,false,jt_rager,2021-12-25T20:15:07Z,"post-rock","1145748 Records DK",0.391,0.723,2,-6.589,1,0.0518,0.0000864,0.767,0.0764,0.402,83.039,4
spotify:track:7A0HgpK9g9qBsEMe5RbuqA,"Obscuration","The Cyclic Reckoning","Suffering Hour",2021-02-19,393946,12,false,jt_rager,2021-12-25T20:17:58Z,"black metal,death metal","Profound Lore",0.306,0.992,10,-6.854,1,0.0868,0.000239,0.77,0.347,0.0372,144.998,4
spotify:track:5sppeGyDJtqHCIcphyQxfj,"Hogwash and Balderdash","Cavalcade","black midi",2021-05-26,152933,33,false,jt_rager,2021-12-25T20:18:39Z,"noise rock,post-punk,math rock,art rock","Rough Trade",0.492,0.934,0,-5.465,1,0.143,0.616,0.624,0.506,0.45,140.238,4
spotify:track:4u2yYZcsCKKhywMIMzhMlO,"Vacuous & Disjointed","I Have Seen the Light and It Was Repulsive","Sermon of Flames",2021-09-03,274706,3,false,jt_rager,2021-12-25T20:24:39Z,"death metal,black metal,sludge metal,grindcore","I, Voidhanger Records",0.35,0.884,6,-4.746,1,0.0904,0.00000117,0.977,0.655,0.0948,90.042,4
spotify:track:2qLWGYw3dirX2qVtz4WtPS,"Way Out","Burning In Heaven Melting On Earth","Sunnata",2021-02-26,517599,12,false,jt_rager,2021-12-25T20:26:04Z,"stoner metal,sludge metal,stoner rock,doom metal,space rock,drone metal","Sunnata",0.191,0.584,3,-9.603,1,0.0358,0.00206,0.917,0.384,0.0874,153.966,5
spotify:track:3NfibK4Xv9WXC65Bodmy0o,"Life Dimensions","Empire of Love","Violet Cold",2021-05-07,291562,0,false,jt_rager,2021-12-25T20:27:04Z,"black metal,post-rock","La Petite Mort Prod.",0.374,0.92,1,-5.66,1,0.0694,0.0000917,0.898,0.322,0.274,112.023,4
spotify:track:2gLco6poLosipqughuI7Rt,"Superman That","By the Time I Get to Phoenix","Injury Reserve",2021-09-15,160062,41,true,jt_rager,2021-12-25T20:33:40Z,"experimental hip hop,alternative hip hop","Injury Reserve",0.492,0.744,0,-9.371,1,0.359,0.248,0.00000942,0.236,0.533,110.142,3
spotify:track:3ONAvsDPBh3OXZWXw4eckX,"The Handle/The Blade","I've Seen All I Need To See","The Body",2021-01-29,218560,7,false,jt_rager,2021-12-25T20:28:42Z,"drone metal,sludge metal,noise rock,drone,doom metal,industrial,industrial metal,stoner metal","Thrill Jockey",0.419,0.847,10,-9.536,0,0.042,0.00136,0.484,0.371,0.0736,160.001,4
spotify:track:7dOqFHOe85ObvZRHnyFYrf,"BURN TO ASHES","I LIE HERE BURIED WITH MY RINGS AND MY DRESSES","Backxwash,Michael Go",2021-06-20,241714,18,true,jt_rager,2021-12-25T20:30:09Z,"experimental hip hop,horrorcore","Ugly Hag Records",0.579,0.966,8,-2.864,1,0.12,0.0884,0,0.116,0.13,129.955,4
spotify:track:0sIR9YCTmF5RLMOBxBTsD7,"Abnegations","Degenerations","Diskord",2021-08-13,279954,4,false,jt_rager,2021-12-25T20:33:19Z,"death metal,avant-garde","Transcending Obscurity Records",0.186,0.948,2,-9.134,1,0.0889,0.00000251,0.751,0.0397,0.19,106.214,4
spotify:track:3fFMPY4G70wTnRjU7KjMLp,"Monument","Noktvrn","Der Weg einer Freiheit",2021-11-19,405592,30,false,jt_rager,2021-12-25T20:35:29Z,"black metal","Season of Mist",0.146,0.669,8,-8.926,0,0.0694,0.00132,0.963,0.0863,0.0691,97.34,4
spotify:track:3BOsYGYWFXI6a3OcQSMqJ2,"The One Who Envies the Clouds","Quietly Like the Sky","Old Sport",2021-12-04,439227,0,false,jt_rager,2021-12-25T20:25:37Z,"screamo,midwest emo","Convulse Records",0.136,0.852,4,-8.479,1,0.0463,0.0207,0.782,0.11,0.0728,48.519,4
