Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5JuoOF3ThukFMsuY2farqm,"Threshold","Perihelion","Sungazer",2021-10-11,255186,36,false,jt_rager,2021-12-25T20:33:53Z,"jazz fusion,nu jazz,math rock","676832 Records DK2",0.364,0.735,8,-9.754,1,0.0454,0.0932,0.497,0.117,0.169,99.231,3
spotify:track:3tgHGoK5ItQv2q2yqggxlb,"Secrets (Your Fire)","Mercurial World","Magdalena Bay",2021-10-08,245897,58,false,jt_rager,2021-12-25T20:19:55Z,"","Luminelle Recordings",0.691,0.827,10,-5.573,0,0.0402,0.00177,0.637,0.416,0.826,107.997,4
spotify:track:1RhL5PGWaiYXwVmqOpj0Nm,"Afrique Victime","Afrique Victime","Mdou Moctar",2021-05-21,445816,34,false,jt_rager,2021-12-25T20:14:10Z,"gnawa","Matador",0.263,0.872,5,-6.426,1,0.161,0.0488,0.12,0.329,0.382,105.98,4
spotify:track:25iCmqjIUm39rp6NXZshGQ,"Where did you fall","fishmonger","underscores",2021-03-25,211764,37,false,jt_rager,2021-12-25T20:19:37Z,"hyperpop","underscores",0.742,0.657,1,-7.217,0,0.288,0.57,0.022,0.133,0.565,136.151,4
spotify:track:6aUfT9QOcTHhxLNrf1aVR8,"Get Your Wish","Nurture","Porter Robinson",2021-04-23,218509,55,false,jt_rager,2021-12-25T20:13:11Z,"edm,electronic","Mom+Pop",0.541,0.685,11,-5.844,1,0.051,0.0983,0,0.124,0.442,95.008,4
spotify:track:70KfFwEg5xszMcr7WejfdF,"Mama's Home (feat. Alfred.)","For My Mama And Anyone Who Look Like Her","McKinley Dixon,Alfred.",2021-05-07,323873,22,true,jt_rager,2021-12-25T20:13:38Z,"jazz rap,experimental hip hop","Spacebomb",0.426,0.44,5,-10.4,1,0.0361,0.747,0.0217,0.145,0.3,97.399,4
spotify:track:27L8FnjBjOuGrAHeWthYj8,"Days Like These","Days Like These","Low",2021-06-22,320513,0,false,jt_rager,2021-12-25T20:18:18Z,"slowcore,dream pop,post-rock","Sub Pop Records",0.204,0.216,4,-6.256,0,0.031,0.682,0.000795,0.0731,0.121,60.445,4
spotify:track:665MBAdxbi23oNB5t8u6T0,"Straight Path","Nafs at Peace","Latarnik,Jaubi,Tenderlonious",2021-05-28,447160,22,false,jt_rager,2021-12-25T20:25:05Z,"nu jazz,indie jazz,jazz funk","Astigmatic Records",0.411,0.519,6,-11.562,0,0.0473,0.19,0.157,0.0845,0.211,139.363,4
spotify:track:2rz6i5CLdJmBqlBol4Y1Vw,"21/04/20","Civilisation II","Kero Kero Bonito",2021-04-21,182075,0,false,jt_rager,2021-12-25T20:27:52Z,"","Polyvinyl Records",0.678,0.702,0,-5.449,1,0.0259,0.0346,0.00138,0.0787,0.611,106.026,4
spotify:track:5k3TVx469DlrTiTihfy56P,"Quantum Blues","Many Worlds","Menagerie",2021-01-15,395246,1,false,jt_rager,2021-12-25T20:28:07Z,"nu jazz","Freestyle Records",0.323,0.856,1,-7.064,1,0.042,0.535,0.795,0.072,0.717,152.37,4
spotify:track:1giJuG7Vo00n8wrq6SLQ1l,"A kupolaváros titka","Vadak","Thy Catafalque",2021-06-25,199185,14,false,jt_rager,2021-12-25T20:29:33Z,"avant-garde,progressive metal,black metal","Season of Mist",0.52,0.612,7,-10.813,1,0.0272,0.39,0.238,0.142,0.159,89.922,3
spotify:track:1modGw6mSYE89o2UrBBDgp,"All This Lightning","No Medium","Rosali",2021-05-07,189040,0,false,jt_rager,2021-12-25T20:29:54Z,"","SPINSTER",0.527,0.127,4,-15.803,1,0.0328,0.803,0.135,0.117,0.108,116.376,4
spotify:track:7HuivSjYrOQP9aJIxpXeTX,"Naked (a showing of scars)","A Hole in the Fence","Walt McClements",2021-08-13,281259,0,false,jt_rager,2021-12-25T20:30:48Z,"ambient,drone","American Dreams Records",0.0829,0.0542,9,-15.684,1,0.0552,0.974,0.904,0.0881,0.0381,168.276,4
spotify:track:1suTrOhZ6pFfU5oj9tI3Sz,"He Cares","Let My People Go","Archie Shepp,Jason Moran",2021-02-05,401026,5,false,jt_rager,2021-12-25T20:29:11Z,"free jazz,jazz,avant-garde,hard bop","Archieball",0.332,0.0957,9,-14.794,1,0.0386,0.969,0.837,0.121,0.185,90.043,3
spotify:track:3caSk19JI11PpJqeNTPKMl,"Because The Sky Is Blu(e)","The Color Blu(e)","Blu",2021-09-24,241831,13,false,jt_rager,2021-12-25T20:34:39Z,"jazz rap,underground hip hop","Nature Sounds / New World Color / Dirty Science",0.428,0.768,11,-7.399,1,0.393,0.136,0,0.227,0.594,80.226,1
spotify:track:01DvoIRW4fEFzg6ofuH7yb,"Surrendering","Syncorswim","Zebbler Encanti Experience",2021-05-28,296000,8,false,jt_rager,2021-12-25T20:35:02Z,"glitch,bass music","Gravitas Recordings",0.331,0.659,2,-10.146,1,0.0438,0.246,0.855,0.206,0.0425,159.649,4
spotify:track:7x5Itfv3IBl6IzUwC55InM,"PENNSYLVANIA FURNACE","SINNER GET READY","Lingua Ignota",2021-08-06,346617,9,false,jt_rager,2021-12-25T20:35:51Z,"experimental","Sargent House",0.247,0.225,1,-12.328,1,0.0399,0.93,0.0122,0.322,0.0574,79.472,4
spotify:track:5LXVRKj6Lk2KPUCAdL4xl1,"Suck Teeth","Fatigue","L'Rain",2021-06-25,236593,0,false,jt_rager,2021-12-25T20:36:16Z,"neo-psychedelic,art pop","Mexican Summer",0.398,0.682,2,-7.206,1,0.0352,0.143,0.124,0.117,0.29,129.997,4
spotify:track:6AMQXu2UofHjurzp8IC8He,"In the Spaces","Really From","Really From",2021-03-12,305051,0,false,jt_rager,2021-12-25T20:34:10Z,"math rock,midwest emo","Topshelf Records",0.296,0.331,1,-10.704,1,0.0402,0.368,0.865,0.0762,0.0479,75.604,4
spotify:track:7mVua1NkDiqHpy5YDkUCfu,"Pills & Good Advice","t.i.a.p.f.y.h.","Left at London",2021-06-04,613344,25,false,jt_rager,2021-12-26T20:42:18Z,"queercore","Left at London is Gay",0.402,0.623,6,-9.452,0,0.0452,0.476,0.000287,0.152,0.351,76.891,4
