Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4YFc19uogtWOCByLURsuKz,"Runnin'","Hidden Figures: The Album","Pharrell Williams",2016-12-09,215800,38,false,12138727836,2023-10-26T13:01:02Z,"","Columbia",0.781,0.629,9,-3.196,0,0.142,0.0454,0,0.104,0.445,68.519,4
spotify:track:1Eu00VxwsLMjHI6nQZ9RtW,"Crave","Hidden Figures: The Album","Pharrell Williams",2016-12-09,173360,37,false,12138727836,2023-10-26T13:01:06Z,"","Columbia",0.78,0.847,0,-3.145,1,0.0603,0.0509,0,0.0696,0.657,119.978,4
spotify:track:75MqCBUwiInl5Q9f0kCchf,"Able","Hidden Figures: The Album","Pharrell Williams",2016-12-09,181440,32,false,12138727836,2023-10-26T13:01:07Z,"","Columbia",0.612,0.688,11,-3.721,0,0.168,0.221,0,0.206,0.435,179.997,4
spotify:track:2ZcfgeOjQ1ZcE9sLSCSPR1,"Surrender","Hidden Figures: The Album","Lalah Hathaway,Pharrell Williams",2016-12-09,215680,30,false,12138727836,2023-10-26T13:01:10Z,"neo soul,smooth jazz,quiet storm","Columbia",0.761,0.948,9,-3.702,1,0.0495,0.253,0,0.0441,0.965,126.947,4
spotify:track:1BwrMGGhPA6GarWIYaFrW8,"La Vida Es Un Carnaval","Para La Eternidad","Celia Cruz",2016-05-27,278866,67,false,12138727836,2023-10-26T13:01:21Z,"salsa,son cubano,bolero,cha cha cha,merengue,mambo,latin,latin dance","UMLE - Machete",0.813,0.701,0,-6.508,0,0.0701,0.489,0.00116,0.294,0.855,104.019,4
spotify:track:3IbgjuqRI4ZfjvTGVwUsDG,"El Pai Y La Mai","Canciones Premiadas De Celia Cruz","Celia Cruz,La Sonora Matancera",1961-12-31,198160,21,false,12138727836,2023-10-26T13:01:45Z,"salsa,son cubano,bolero,cha cha cha,merengue,mambo,latin,latin dance,guaracha,tropical music","Fania",0.773,0.602,9,-10.808,0,0.0492,0.604,0.00000194,0.184,0.834,109.656,4
spotify:track:0bHs3ly4Bv5BlzE3KrePfX,"Golden","Beautifully Human: Words and Sounds Vol. 2","Jill Scott",2004-08-31,231560,60,false,12138727836,2023-10-26T13:02:17Z,"neo soul,quiet storm","Hidden Beach Records",0.769,0.558,10,-6.232,0,0.0828,0.275,0.00000106,0.0758,0.593,100.007,4
spotify:track:7Mw5RdOJKKhuxypP8GuPEj,"Sunshine Feel Good (feat. Kim Burrell)","Snoop Dogg Presents Bible of Love","Snoop Dogg,Kim Burrell",2018-03-16,228306,22,false,12138727836,2023-10-26T13:02:48Z,"g-funk,west coast hip hop,gangster rap,hip hop,old school hip hop,rap,gospel,gospel r&b","All The Time Entertainment",0.653,0.684,7,-5.03,1,0.0839,0.282,0,0.35,0.462,91.081,4
spotify:track:3RaDXvt9g9JaXevHM5FhLW,"Perignon Añejo","Aqui Si Que Hay..!","Don Perignon,Orquesta Puertorriqueña",2008-05-01,254280,7,false,12138727836,2023-10-26T13:03:53Z,"salsa","Lujuria Music",0.834,0.865,10,-2.797,0,0.0613,0.621,0.0000387,0.0814,0.956,99.989,4
spotify:track:6NxXgIu6lQGQFiKe53HNMD,"Somebody","Thankful","Mary Mary",2000-04-25,214933,27,false,12138727836,2023-10-26T13:04:36Z,"gospel,gospel r&b","Columbia/C2Records",0.721,0.654,6,-5.464,1,0.0505,0.0212,0.00624,0.201,0.722,87.091,4
spotify:track:69lgEyYqW5cfxbfIjCivSi,"Yo Viviré - I Will Survive","Siempre Viviré","Celia Cruz",2000-09-26,272466,45,false,12138727836,2023-10-26T13:04:52Z,"salsa,son cubano,bolero,cha cha cha,merengue,mambo,latin,latin dance","Sony Tropical",0.65,0.816,2,-3.822,0,0.0495,0.358,0,0.0959,0.578,120.034,4
spotify:track:15yaAbRFgN5MwSeiqTlE8M,"Mis Dos Estrellas","Amor Bonito","Teodoro Reyes",1998,224000,46,false,12138727836,2023-10-26T13:05:36Z,"bachata,merengue","Jose Luis Records",0.753,0.729,4,-8.341,0,0.091,0.614,0.0000125,0.0538,0.886,170.025,4
spotify:track:6ahRYKQacgGEY7K4s1xb9E,"Ni Frío Ni Calor","Tranquilamente...Tranquilo","Oscar D'León",2008-07-21,245400,17,false,12138727836,2023-10-26T13:05:52Z,"salsa,merengue","Sony Music Latin",0.839,0.804,0,-3.502,1,0.0429,0.655,0.00000747,0.195,0.955,102.573,4
spotify:track:6Rqn2GFlmvmV4w9Ala0I1e,"Feeling Good","I Put A Spell On You","Nina Simone",1965-06-01,174000,77,false,12138727836,2023-10-26T13:05:59Z,"vocal jazz,jazz blues,soul,soul jazz,jazz,blues","Verve Reissues",0.451,0.326,7,-9.239,0,0.0372,0.863,0,0.192,0.55,81.726,4
spotify:track:7s25THrKz86DM225dOYwnr,"Respect","I Never Loved a Man the Way I Love You","Aretha Franklin",1967-03-10,147600,77,false,12138727836,2023-10-26T13:06:12Z,"soul,motown,classic soul,jazz blues","Rhino Atlantic",0.805,0.558,0,-5.226,1,0.041,0.164,0.000022,0.0546,0.965,114.95,4
spotify:track:1h2xVEoJORqrg71HocgqXd,"Superstition - Single Version","The Definitive Collection","Stevie Wonder",2002-10-29,245493,77,false,12138727836,2023-10-26T13:06:19Z,"motown,classic soul,soul","UNI/MOTOWN",0.633,0.634,8,-12.115,1,0.0725,0.038,0.0064,0.0385,0.872,100.499,4
spotify:track:2tUBqZG2AbRi7Q0BIrVrEj,"I Wanna Dance with Somebody (Who Loves Me)","Whitney","Whitney Houston",1987-06-02,291293,86,false,12138727836,2023-10-26T13:06:58Z,"","Arista/Legacy",0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.818,4
spotify:track:2L7rQBhqtMWpMhCbXDvyIY,"Crystal Clear","Hidden Figures: The Album","Pharrell Williams",2016-12-09,168520,30,false,12138727836,2023-10-26T13:07:25Z,"","Columbia",0.744,0.661,3,-5.474,0,0.0654,0.7,0,0.113,0.479,110.038,4
spotify:track:622waDAb91bKoTvBm84cXo,"I See a Victory","Hidden Figures: The Album","Kim Burrell,Pharrell Williams",2016-12-09,187253,34,false,12138727836,2023-10-26T13:07:29Z,"gospel,gospel r&b","Columbia",0.624,0.757,11,-3.719,0,0.361,0.075,0,0.317,0.744,190.124,4
spotify:track:2U52Hp8zYnG2kvt2de0M2L,"Something","Family Dinner - Vol. 1","Snarky Puppy,Lalah Hathaway",2013-09-24,455640,35,false,12138727836,2023-10-26T14:41:36Z,"jazz fusion,jazz funk,jazz,funk rock,nu jazz,neo soul,smooth jazz,quiet storm","GroundUP",0.311,0.511,1,-11.361,1,0.184,0.244,0,0.768,0.349,79.775,4
spotify:track:71RODgm9lQXZPIu4JzCARj,"Skate U","Tell Your Friends","Snarky Puppy",2010-12-01,414413,31,false,12138727836,2023-10-26T14:41:41Z,"jazz fusion,jazz funk,jazz,funk rock,nu jazz","GroundUP",0.526,0.648,1,-8.293,0,0.125,0.305,0.902,0.681,0.47,179.917,4
spotify:track:5kteHIFleTAF9U2LTSDYZ6,"Binky","GroundUP","Snarky Puppy",2012-12-01,578106,33,false,12138727836,2023-10-26T14:41:43Z,"jazz fusion,jazz funk,jazz,funk rock,nu jazz","GroundUP",0.542,0.641,1,-8.935,0,0.0522,0.0191,0.595,0.692,0.374,128.643,3
spotify:track:4CQbSeZOboM48GEfTvz8fn,"Bent Nails","GroundUP","Snarky Puppy",2012-12-01,302826,29,false,12138727836,2023-10-26T14:41:46Z,"jazz fusion,jazz funk,jazz,funk rock,nu jazz","GroundUP",0.474,0.797,1,-8.243,0,0.0587,0.0438,0.898,0.692,0.878,128.803,4
