Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4G2rofhMyhDKn2eYuNPKpv,"12°C","Whatever the Weather II","Whatever The Weather",2025-03-14,273564,37,false,,2025-01-17T05:01:38Z,"ambient,idm,drone","Ghostly International",0.385,0.562,1,-11.365,1,0.133,0.574,0.788,0.373,0.215,119.993,4
spotify:track:54vTE49dv8MDAz0yE2e4Ja,"DOROTHEA’S BED","PHANTOM BRICKWORKS (LP II)","Bibio",2024-11-22,325320,38,false,,2024-11-22T17:42:59Z,"ambient folk,downtempo","Warp Records",0.0867,0.226,5,-19.108,1,0.045,0.992,0.97,0.0919,0.0394,178.319,3
spotify:track:6lbaoGKwwS0BZsihiJMkA6,"Bloom: Small World","Bloom: Living World - Single","Brian Eno,Peter Chilvers",2025-01-31,334205,43,false,,2025-02-01T13:56:58Z,"ambient,krautrock,art rock,minimalism,drone,glam rock,space music,space rock","Opal Records",0.0737,0.0144,0,-29.834,1,0.0536,0.938,0.856,0.0914,0.0449,78.061,4
spotify:track:609zDjuJc2khT26MeH1SDr,"Fight","Fight","Murcof",2024-10-01,322020,36,false,,2024-10-16T01:34:24Z,"idm,dark ambient,ambient,glitch,drone,space music","InFiné",0.0793,0.168,7,-10.444,0,0.0494,0.38,0.844,0.104,0.0338,65.632,4
spotify:track:3YYrDHL8ZTxBoNE7MqyN34,"As X Is Y","Squared Roots","Seefeel",2024-12-11,428746,27,false,,2025-01-07T00:47:30Z,"idm,shoegaze,post-rock,ambient","Warp Records",0.65,0.352,5,-13.464,0,0.219,0.831,0.961,0.0671,0.372,126.069,4
spotify:track:0PpQpnhNATKzPlOnjklGb1,"Galaxias Marinas","Neptuno - Hypnotic Frequencies Vol. 1","Nacho Maldonado",2025-01-24,245333,26,false,,2025-01-25T22:31:35Z,"","Nacho Maldonado",0.19,0.13,2,-22.92,1,0.0461,0.68,0.752,0.0961,0.0713,180.052,4
spotify:track:5oTnjavcEz8hENl2nlYmdx,"Bismillahi 'Rrahmani 'Rrahim","The Pavilion Of Dreams","Harold Budd",1978,1107266,39,false,,2024-01-02T19:32:43Z,"ambient,minimalism,shoegaze,drone","Virgin Catalogue",0.119,0.052,6,-23.698,1,0.0366,0.963,0.861,0.113,0.0319,83.501,4
spotify:track:5xYR2G6YOEzX2X9asFUrOE,"Space 1","Space 1.8","Nala Sinephro",2021-09-03,248000,52,false,,2021-10-20T18:30:59Z,"ambient,nu jazz","Warp Records",0.271,0.0744,7,-26.455,0,0.0422,0.968,0.937,0.0574,0.0358,114.437,4
spotify:track:5bAXwSGe8VudUcZCQs8avp,"Silver","Silver","Maya Shenfeld",2022-01-05,170914,24,false,,2024-10-23T05:33:31Z,"ambient,drone,experimental","Thrill Jockey",0.172,0.194,5,-19.835,0,0.0363,0.856,0.921,0.183,0.0305,67.492,4
spotify:track:6dpeIEtLqTxnB7rfzVvlwz,"Nocturnal","Doff","Will August Park",2024-12-06,175040,30,false,,2025-01-07T00:47:30Z,"ambient,experimental","UNO NYC",0.103,0.24,6,-19.45,0,0.0354,0.884,0.905,0.0887,0.236,81.844,3
