Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:76nvqWPFucUra1xCkN1tnD,"Mmm Mmm Mmm Mmm","God Shuffled His Feet","Crash Test Dummies",1993-04-05,235173,56,false,,2025-07-29T14:55:59Z,"","Arista",0.58,0.575,3,-7.72,1,0.0231,0.25,0.0000183,0.0813,0.37,92.934,4
spotify:track:1PnBj6XP04gDqO5sWMTVkr,"In a Sentimental Mood","By Popular Demand - Ella Fitzgerald","Ella Fitzgerald",2015-03-23,165800,0,false,,2025-07-24T01:55:43Z,"vocal jazz,jazz,swing music,jazz blues,big band,christmas","U-5",0.285,0.0264,4,-19.615,0,0.0423,0.925,0,0.139,0.231,169.512,3
spotify:track:0Q70gojAQn9mTAdY15tWzM,"Is This Power","Looping State Of Mind","The Field",2011-09-05,519013,31,false,,2025-06-21T06:31:47Z,"minimal techno,idm,dub techno","Kompakt",0.593,0.576,6,-10.354,0,0.0272,0.00325,0.788,0.195,0.495,112.477,4
spotify:track:1BRwuvjhkgezmv1gcI6lT6,"Die Young","What Now","Sylvan Esso",2017-04-28,210613,58,false,,2025-06-21T06:28:12Z,"","Loma Vista",0.696,0.544,8,-6.419,1,0.0335,0.372,0.00438,0.104,0.418,101.974,4
spotify:track:5g2sPpVq3hdk9ZuMfABrts,"Be Thankful for What You've Got - David Todd Remix (Radio Edit)","Be Thankful for What You Got","William DeVaughn",1980-01-01,221733,63,false,,2025-06-21T06:25:20Z,"classic soul,philly soul","UNIDISC MUSIC INC.",0.778,0.481,6,-13.136,0,0.0565,0.00345,0.0102,0.105,0.879,107.183,4
spotify:track:0bRXwKfigvpKZUurwqAlEh,"Lovely Day","Menagerie","Bill Withers",1977-10-29,254560,83,false,,2025-05-31T10:40:43Z,"soul,classic soul,motown","Columbia/Legacy",0.692,0.651,9,-8.267,1,0.0324,0.292,0.00241,0.105,0.706,97.923,4
spotify:track:3Iho1Q9jDg1VY7a0bA1ml7,"Bold","Tacoma Night Terror Pt. 1: I've Got the Blues","Jackie Cohen",2018-06-29,235591,44,false,,2025-05-13T22:32:53Z,"","Earth Libraries",0.641,0.496,6,-6.047,0,0.0318,0.926,0.0321,0.152,0.335,115.877,4
spotify:track:1JIzFhI9Lt5FyslawmHCBi,"Five Years - 2012 Remaster","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)","David Bowie",1972-06-06,283752,61,false,,2025-05-11T08:12:24Z,"glam rock,art rock","Parlophone UK",0.46,0.326,7,-10.699,1,0.0417,0.142,0.0000101,0.0449,0.321,152.531,3
spotify:track:5zaUZb6CauvOv3ouYNHuG4,"Thursday Night","Thursday Night in the Caley","Blazin' Fiddles",2011,286640,34,false,,2025-05-10T17:19:51Z,"celtic,folk","Blazin’ Fiddles",0.463,0.609,0,-6.837,1,0.0538,0.753,0.000996,0.125,0.907,130.49,4
spotify:track:2kKUOwItJDGmsTUMJ6eJOc,"Me More Cowboy Than You - Demo","Me More Cowboy Than You (Demo)","The Brudi Brothers",2025-01-08,163750,41,false,,2025-05-08T14:37:49Z,"","© Fat and Sassy Records",0.541,0.313,2,-12.169,0,0.0304,0.842,0.00000126,0.0742,0.326,108.531,4
spotify:track:5I3ooBXK0t5mdNByZqdpDK,"12:15 Slow Goonbash Blues","Kooper Session","Al Kooper,Shuggie Otis",1969,569693,25,false,,2025-04-21T21:16:24Z,"blues,classic blues,blues rock","Columbia/Legacy",0.441,0.364,2,-15.26,1,0.0417,0.623,0.586,0.287,0.653,78.972,3
spotify:track:7atuVD740fqMJcmX3F5isG,"Code","Swirl","Flora Hibberd",2025-01-17,193720,22,false,,2025-04-05T18:03:05Z,"","22TWENTY",0.706,0.446,9,-8.416,1,0.0535,0.648,0.000162,0.0999,0.537,79.904,4
spotify:track:0FMWjPbb1TvnlXo9a4oSiW,"The Island Boy","One That Got Away","Trail West",2013-04-29,223013,31,false,,2025-03-29T17:14:41Z,"celtic rock,celtic,traditional music","Tyree Records",0.738,0.522,7,-12.704,1,0.091,0.655,0,0.0732,0.779,107.089,4
spotify:track:0nys6GusuHnjSYLW0PYYb7,"Chaise Longue","Wet Leg","Wet Leg",2022-04-08,196905,66,false,,2025-03-20T05:27:25Z,"indie rock,indie","Domino Recording Co",0.684,0.749,7,-6.565,1,0.06,0.00135,0.111,0.141,0.935,160.021,4
spotify:track:7MXZNpswNNPuQfqsuzzHTA,"Spaces","The Land The Water The Sky","Black Belt Eagle Scout",2023-02-10,246336,15,false,,2025-03-14T19:10:32Z,"","Saddle Creek",0.391,0.524,0,-8.417,1,0.0281,0.7,0.594,0.142,0.202,83.003,4
spotify:track:0Al0eGh3ka27CsbD5CAQX0,"Saint Anne's Reel","June Apple","Tim Connell,Eric Skye",2016-06-21,232524,19,false,,2025-03-14T01:15:14Z,"bluegrass","Half-Diminished Records",0.449,0.325,2,-11.108,1,0.0681,0.949,0.852,0.115,0.771,173.576,4
spotify:track:2RB9jaGMu5IXhZeAAXrbNG,"Quizas Quizas Quizas","Historia De Un Amor","Los Panchos,Gigliola Cinquetti",1960,172533,54,false,,2025-02-24T13:45:17Z,"bolero","Columbia",0.812,0.256,7,-15.114,0,0.0516,0.385,0,0.0729,0.913,118.356,4
spotify:track:5IyQbHhj8TOcPKYDmvAoV9,"Lonesome Valley","Shepherd in a Sheepskin Vest","Bill Callahan",2019-06-14,256346,22,false,,2025-02-23T04:53:14Z,"alt country","Drag City Records",0.61,0.301,7,-14.521,1,0.0354,0.906,0.229,0.101,0.365,122.826,4
spotify:track:4lC9YAe6ZicEtxz6HQZFd5,"Dip It Low - Feat. Fabolous","It's About Time","Christina Milian,Fabolous,Matt Ward,Dean Gillard",2004,218640,45,true,,2025-02-21T14:12:16Z,"chamber music","Def Jam Recordings",0.747,0.736,9,-4.274,1,0.133,0.0134,0.000036,0.095,0.583,169.171,4
spotify:track:3C5o3axOOPLOFV00L43sdh,"Cowgirl - Audiotree Live Version","Ora Cogan on Audiotree Live","Ora Cogan,Audiotree",2025-01-29,235708,19,false,,2025-02-21T06:01:24Z,"math rock","Audiotree Music",0.556,0.42,9,-13.348,0,0.0284,0.834,0.28,0.115,0.136,91.949,4
spotify:track:1IEMAlhxYj6AUATpF43O5H,"Anything","Planet","Aihvhia",2017-05-19,347691,4,false,,2025-02-18T07:09:01Z,"","AIHVHIA",0.487,0.524,7,-12.652,1,0.0503,0.597,0.186,0.158,0.158,129.996,4
spotify:track:5esiBeNWuoVZk1vF5mNdsd,"The Rainbow Willow","Out of Sight","Jake Xerxes Fussell",2019-06-07,433477,19,false,,2025-02-13T17:11:47Z,"americana","Paradise of Bachelors",0.433,0.26,4,-12.781,1,0.0296,0.318,0.139,0.102,0.309,169.881,3
spotify:track:2CnV6jKHiXYe09rLCfZAAX,"it's different for girls","Innocence Reaches","of Montreal",2016-08-12,239226,39,false,,2025-02-10T03:05:47Z,"neo-psychedelic,baroque pop,art pop","Polyvinyl Records",0.6,0.818,0,-6.325,1,0.0271,0.000523,0.00292,0.505,0.678,114.002,4
spotify:track:2XNFk4nEAbgVsCxwMHHIRv,"Prosperity: Om Zambala Za Len Drah Yeh Soha","Tibetan Mantras For Turbulent Times","Deva Premal,The Gyuto Monks Of Tibet",2010-12-06,304613,30,false,,2025-02-05T03:50:03Z,"","Prabhu Music",0.341,0.43,2,-13.772,1,0.0396,0.909,0.0000671,0.134,0.112,75.255,3
spotify:track:02sENi9ULQ36x9mKo5B7XW,"Louisiana Woman Mississippi Man","Louisiana Woman Mississippi Man","Conway Twitty,Loretta Lynn",1973-01-01,151731,62,false,,2025-02-05T03:38:57Z,"classic country,country,traditional country,outlaw country,honky tonk,christian country","MCA Nashville",0.62,0.711,1,-6.943,1,0.035,0.477,0.000168,0.0812,0.96,98.263,4
spotify:track:488u1IbVEsaC7fxjABWjHx,"Sweetest Kill","Forgiveness Rock Record","Broken Social Scene",2010,309306,49,false,,2025-01-30T00:41:34Z,"baroque pop,indie rock,indie","Arts & Crafts Productions Inc.",0.708,0.384,5,-12.427,1,0.0302,0.0893,0.841,0.0961,0.691,87.961,4
spotify:track:3t1fRChPlLefKOC9JVvAiY,"Sally!","Life in the Dark","The Felice Brothers",2016-06-24,90760,25,false,,2025-01-22T02:57:25Z,"americana,alt country,southern gothic","Yep Roc Records",0.506,0.46,2,-9.457,1,0.0416,0.381,0.105,0.151,0.665,119.703,4
spotify:track:7u0fkaLBo5ikZdWfQO04Ht,"Tea Kettle Tea","Back Back Back","Ollella",2023-04-07,270013,15,false,,2025-01-22T02:46:26Z,"","The Lalalalalabel",0.256,0.173,2,-12.792,1,0.0326,0.832,0.00000177,0.0972,0.248,95.703,4
spotify:track:2zzvfYGtAa5syYdeET5RXp,"Muddy Water","Hurry Home","The Deslondes,Riley Downing",2017-06-23,216880,50,false,,2025-01-14T00:52:22Z,"americana,alt country","New West Records",0.509,0.341,9,-8.932,1,0.0255,0.863,0.0203,0.129,0.474,81.514,4
spotify:track:2Wldnr9fB37qGCKChmKzcw,"Water","Elemental","Taimane",2018-06-05,313693,22,false,,2025-01-03T02:06:57Z,"","Taimane",0.353,0.187,11,-19.057,0,0.0373,0.983,0.963,0.0893,0.192,146.9,3
spotify:track:28c8wmYz6cWGsSsnqZVDWq,"Dune","Faran","Faran Ensemble,Roy Smila,Gad Tidhar,Refael Ben-Zichry",2013-02-01,424897,27,false,,2025-01-03T01:47:40Z,"","Kame'a",0.479,0.37,9,-10.417,0,0.0342,0.805,0.549,0.117,0.563,109.935,4
spotify:track:3bMcZO6wcvyJDWS3529YSC,"Dreams in Transition","Dreams in Transition","Idan Balas,Itamar Doari,Yonnie Dror,Gal Maestro",2020-05-15,417078,28,false,,2025-01-03T01:05:51Z,"latin jazz,flamenco","Idan Balas",0.568,0.36,0,-11.077,0,0.0317,0.949,0.887,0.103,0.487,89.972,3
spotify:track:56FsOqKl8WcAmIKlUMa929,"Wax Werk","Visions of Light","Ishmael Ensemble",2021-08-06,239760,32,false,,2024-12-30T20:33:31Z,"nu jazz","Severn Songs",0.627,0.307,7,-11.999,1,0.0482,0.0104,0.902,0.106,0.107,105.008,4
spotify:track:6V7c8Dd40BKFqWIYS5zTXx,"Diving Woman","Soft Sounds from Another Planet","Japanese Breakfast",2017-07-14,392600,51,false,,2024-12-25T21:14:22Z,"","Dead Oceans",0.462,0.746,4,-6.722,1,0.0384,0.000127,0.634,0.117,0.255,120.044,4
spotify:track:0FprsPFNEr74lZRbH49MMK,"Drover","Apocalypse","Bill Callahan",2011-04-19,324706,42,false,,2024-12-22T19:01:53Z,"alt country","Drag City Records",0.581,0.615,11,-11.224,0,0.0557,0.567,0.0606,0.126,0.696,153.682,3
spotify:track:0m64PtMUZrwOxavI4bch5G,"Rain Dogs - 2023 Remaster","Rain Dogs (2023 Remaster)","Tom Waits",1985,176906,41,false,,2024-12-22T06:09:17Z,"singer-songwriter,southern gothic","Island Records",0.779,0.228,2,-16.571,1,0.104,0.641,0.0000423,0.0702,0.567,135.686,4
spotify:track:06UAZUY5qyFy50poO0nLBY,"Volare","Mosaique","Gipsy Kings",1989-11-17,218466,54,false,,2024-12-21T04:12:23Z,"flamenco","Nonesuch",0.612,0.876,4,-8.323,1,0.0515,0.644,0.000012,0.383,0.909,116.104,4
spotify:track:4CDF9sHXsSNSNUGOgvFI3f,"Without A Leg To Stand On","Cunningham Bird","Andrew Bird,Madison Cunningham",2024-10-18,252960,39,false,,2024-12-20T21:25:13Z,"baroque pop,indie folk","Loma Vista Recordings",0.575,0.492,10,-13.163,1,0.0659,0.799,0.00641,0.11,0.656,76.969,4
spotify:track:4Yvp30Qy5nD6ToRDwwKVnS,"Ndima Ndapedza","Tuku Music","Oliver Mtukudzi",1999-10-25,388053,36,false,,2024-12-20T16:01:52Z,"rumba congolaise,afro soul,afropop","Sheer Sound",0.822,0.686,11,-11.665,1,0.0863,0.703,0.126,0.0991,0.943,118.942,4
spotify:track:4AFBBZUGNkYkGWdpO22flw,"Raki","Bvuma (Tolerance)","Oliver Mtukudzi",2005-06-27,426520,38,false,,2024-12-20T15:29:45Z,"rumba congolaise,afro soul,afropop","Sheer Sound",0.685,0.491,9,-10.889,1,0.0829,0.876,0.000131,0.11,0.476,87.885,4
