Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3v6NuKeDbFbaq1lNjw3XtR,"Pulaski at Night","I Want to See Pulaski at Night","Andrew Bird",2013-11-12,289093,0,false,1a74b63i0zf75qotyz7k0d8ew,2021-07-03T20:40:31Z,"baroque pop,indie folk","Wegawam Music Co.",0.446,0.643,7,-7.925,1,0.0561,0.67,0.000818,0.0951,0.531,99.608,4
spotify:track:4JAMwBOzLF61hZVndX0oGQ,"Orpheo Looks Back","Break It Yourself","Andrew Bird",2012-03-06,293860,0,false,1a74b63i0zf75qotyz7k0d8ew,2021-07-08T05:30:50Z,"baroque pop,indie folk","Wegawam Music Co.",0.578,0.639,7,-6.77,1,0.0324,0.637,0.43,0.122,0.78,155.82,4
spotify:track:0M5DFlnFvVK7LLGFvmwM0M,"Nuthinduan Waltz","Music of Hair","Andrew Bird",1992-05-31,300800,0,false,1a74b63i0zf75qotyz7k0d8ew,2021-07-10T20:38:12Z,"baroque pop,indie folk","Wegawam Music Co.",0.325,0.101,2,-15.775,1,0.0354,0.744,0,0.157,0.246,119.631,3
spotify:track:6my1UVij3ebVTEBbz2KtwR,"Valley of The Moon Reel","In The Moment","Alasdair Fraser,Natalie Haas",2007-10-01,241400,0,false,1a74b63i0zf75qotyz7k0d8ew,2021-07-10T20:44:30Z,"celtic,traditional folk","Greentrax Recordings Limited",0.5,0.485,9,-9.498,1,0.0355,0.553,0.0222,0.34,0.654,121.966,4
spotify:track:4tEpYFG3yPwIMOvQmMLspf,"Oh Where","Folk Songs","Kronos Quartet,Sam Amidon",2017-06-09,197333,25,false,1a74b63i0zf75qotyz7k0d8ew,2021-07-10T20:52:24Z,"minimalism,avant-garde,indie folk","Nonesuch",0.165,0.148,6,-12.358,1,0.0315,0.948,0.53,0.102,0.0862,85.711,5
spotify:track:5qmFodoyC2GliShdaFkjpa,"Rambling Boys of Pleasure","Folk Songs","Kronos Quartet,Olivia Chaney",2017-06-09,346626,20,false,1a74b63i0zf75qotyz7k0d8ew,2021-07-10T20:52:24Z,"minimalism,avant-garde,traditional folk,folk","Nonesuch",0.336,0.0988,10,-11.255,1,0.0377,0.921,0.00000269,0.112,0.211,109.102,4
spotify:track:0kS4B1DKAfIHoq7WUWxXSG,"The Butcher's Boy","Folk Songs","Kronos Quartet,Natalie Merchant",2017-06-09,232226,31,false,1a74b63i0zf75qotyz7k0d8ew,2021-07-10T20:52:24Z,"minimalism,avant-garde,singer-songwriter","Nonesuch",0.22,0.12,9,-13.333,0,0.0392,0.895,0.00162,0.135,0.112,81.479,3
spotify:track:66KhUWCqTpG8TF5sW9wOet,"Factory Girl","Folk Songs","Kronos Quartet,Rhiannon Giddens",2017-06-09,425653,15,false,1a74b63i0zf75qotyz7k0d8ew,2021-07-10T20:52:24Z,"minimalism,avant-garde,folk,americana,southern gothic,bluegrass","Nonesuch",0.24,0.137,7,-13.076,0,0.0357,0.907,0.000148,0.11,0.166,88.058,3
spotify:track:7iuEHuc8qfBr2udHjL3n31,"Last Kind Words","Folk Songs","Kronos Quartet,Rhiannon Giddens",2017-06-09,195293,14,false,1a74b63i0zf75qotyz7k0d8ew,2021-07-10T20:52:24Z,"minimalism,avant-garde,folk,americana,southern gothic,bluegrass","Nonesuch",0.635,0.184,7,-12.125,1,0.0504,0.974,0.0342,0.0875,0.625,130.203,4
spotify:track:0OZ2kbPeqedk5yuxGzeSBG,"I See the Sign","Folk Songs","Kronos Quartet,Sam Amidon",2017-06-09,360506,19,false,1a74b63i0zf75qotyz7k0d8ew,2021-07-10T20:52:24Z,"minimalism,avant-garde,indie folk","Nonesuch",0.474,0.193,4,-11.654,0,0.0277,0.872,0.000217,0.109,0.333,77.246,4
spotify:track:6EP4hyfH59nay2Mtiyj3mD,"Montagne que tu es haute","Folk Songs","Kronos Quartet,Olivia Chaney",2017-06-09,149626,17,false,1a74b63i0zf75qotyz7k0d8ew,2021-07-10T20:52:24Z,"minimalism,avant-garde,traditional folk,folk","Nonesuch",0.802,0.233,5,-10.407,0,0.0489,0.896,0,0.127,0.627,94.46,4
spotify:track:5LH7HxKUq4edITw6zjsPqU,"Johnny Has Gone for a Soldier","Folk Songs","Kronos Quartet,Natalie Merchant",2017-06-09,233586,16,false,1a74b63i0zf75qotyz7k0d8ew,2021-07-10T20:52:24Z,"minimalism,avant-garde,singer-songwriter","Nonesuch",0.249,0.0749,10,-12.449,1,0.039,0.97,0.0158,0.227,0.177,70.979,3
spotify:track:04vqTcYW90h9scnmzbbLwT,"Lullaby","Folk Songs","Kronos Quartet,Rhiannon Giddens",2017-06-09,215840,12,false,1a74b63i0zf75qotyz7k0d8ew,2021-07-10T20:52:24Z,"minimalism,avant-garde,folk,americana,southern gothic,bluegrass","Nonesuch",0.581,0.077,0,-13.079,1,0.0565,0.953,0,0.0863,0.475,106.268,3
spotify:track:7csKIjjRFhoPNLjD1FuWaI,"Alien Ceilidh","In the Moment","Alasdair Fraser,Natalie Haas,Hanneke Cassel,Eric Rigler",2007-12-14,241253,18,false,8u04fylwm6x6p99a3xfs7gq52,2021-07-10T22:25:15Z,"celtic,traditional folk","Culburnie Records",0.59,0.591,2,-7.422,1,0.0528,0.765,0.00993,0.0897,0.915,117.741,4
