Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1P70E4MPPnBRSqZ8jpEiZP,"Well-Tempered Clavier","Transistor Radio (Deluxe Version)","M. Ward",2005-02-21,178440,26,false,1a74b63i0zf75qotyz7k0d8ew,2025-01-10T19:47:53Z,"indie folk","Merge Records",0.377,0.11,0,-25.207,1,0.0451,0.915,0.908,0.112,0.0866,141.172,4
spotify:track:1kDqGWSeR27gWaMouyXD0C,"Chihiro","Chihiro","Gravagerz",2024-07-26,128575,72,false,1a74b63i0zf75qotyz7k0d8ew,2025-01-10T19:48:26Z,"","Gravagerz",0.708,0.512,10,-13.235,1,0.0908,0.726,0.596,0.127,0.0432,140.014,4
spotify:track:3kGEPEHKRnbUW9KIOynPc9,"Sakura Sakura","WaJazz: Japanese Jazz Spectacle Vol.I - Deep Heavy and Beautiful Jazz from Japan 1968-1984 - The Nippon Columbia masters - Selected by Yusuke Ogawa (Universounds)","Tadaaki Misago,Tokyo Cuban Boys",2022-04-08,455853,21,false,1a74b63i0zf75qotyz7k0d8ew,2025-01-10T19:48:40Z,"","180g",0.395,0.876,7,-7.702,1,0.0766,0.0133,0.596,0.308,0.758,138.328,4
spotify:track:0KpA8R3NM3N0JB4NAGbAxO,"Life On Mars?","The Life Aquatic Exclusive Studio Sessions Featuring Seu Jorge","Seu Jorge",2005-01-01,209066,46,false,1a74b63i0zf75qotyz7k0d8ew,2025-01-10T19:48:52Z,"mpb,samba,pagode","Hollywood Records",0.655,0.146,10,-16.69,1,0.0503,0.899,0.0011,0.119,0.279,124.104,4
spotify:track:059LGQd42y87hQMHQyJGSU,"You Keep Me Hangin' On","You Keep Me Hanging On","Vanilla Fudge",2004-11-30,179573,46,false,1a74b63i0zf75qotyz7k0d8ew,2025-01-10T19:49:09Z,"acid rock,psychedelic rock","Rhino/Elektra",0.206,0.7,4,-9.682,0,0.0469,0.0172,0.00582,0.228,0.317,172.338,3
spotify:track:1G2SP5kb81uqWgdBLkKERp,"Streets of Calcutta - Instrumental","Ananda Shankar And His Music","Ananda Shankar",1984-12-01,278920,22,false,1a74b63i0zf75qotyz7k0d8ew,2025-01-10T19:49:27Z,"neo-psychedelic","Saregama",0.504,0.681,2,-12.606,1,0.0487,0.249,0.49,0.104,0.575,132.866,4
spotify:track:0qOkVf0dJYXokHxzm9CGnS,"Streets of Calcutta","Forest of Lost Children","Kikagaku Moyo",2014-05-20,235863,48,false,1a74b63i0zf75qotyz7k0d8ew,2025-01-10T19:49:42Z,"neo-psychedelic,psychedelic rock,space rock,krautrock","Guruguru Brain",0.376,0.9,2,-5.435,1,0.0989,0.115,0.927,0.0907,0.564,133.479,4
spotify:track:0MsDLUnJUO2FmChnspNKP7,"Rock Your Baby","Balearic 4","Emerson Kitamura,mmm",2018-08-10,315524,38,false,1a74b63i0zf75qotyz7k0d8ew,2025-01-10T19:50:03Z,"shibuya-kei,japanese indie","Balearic",0.676,0.451,2,-12.398,1,0.044,0.0511,0.895,0.0923,0.593,93.225,4
spotify:track:7yHIhm47w7yPXbWrCU3NId,"Someday - triple j Like A Version","Someday (triple j Like A Version)","Julia Jacklin",2019-07-25,264908,50,false,1a74b63i0zf75qotyz7k0d8ew,2025-01-10T19:52:26Z,"","Polyvinyl Records",0.438,0.237,11,-13.561,1,0.0446,0.458,0.00000562,0.0939,0.242,91.906,4
spotify:track:1ZczOoLuCyDO5dKUPndxf5,"Say a Little Prayer - Live","Say a Little Prayer (Live)","Lianne La Havas",2016-08-12,203574,58,false,1a74b63i0zf75qotyz7k0d8ew,2025-01-10T19:52:38Z,"alternative r&b,soul,pop soul","Warner Records",0.492,0.326,4,-6.416,0,0.0505,0.84,0,0.696,0.376,112.218,4
