Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:09gExZc3BipRVdOnrufAlc,"Weather","What About You?","Spooky Mansion",2024-10-31,159666,18,false,togatwo,2025-01-11T03:29:02Z,"","Spooky Mansion",0.722,0.66,11,-5.685,0,0.043,0.354,0.0000152,0.0934,0.671,121.059,4
spotify:track:7ArU1U22qrYZbjFgUDzN5S,"Little Fang","Enter The Slasher House","Avey Tare's Slasher Flicks,Avey Tare",2014-04-07,251773,38,false,togatwo,2025-01-11T03:29:13Z,"neo-psychedelic","Domino Recording Co",0.694,0.707,11,-6.079,0,0.0774,0.0353,0.0445,0.267,0.428,114.995,4
spotify:track:5GMhgIyKbUlcw05h394yvl,"Murkit Gem","Yeti Season (Deluxe Version)","El Michels Affair,Piya Malik",2022-02-16,192404,46,false,togatwo,2025-01-11T03:29:25Z,"retro soul","Big Crown Records",0.536,0.632,3,-10.067,0,0.0641,0.599,0.921,0.159,0.566,117.796,4
spotify:track:6K0iMTgRsTYcc5mQm6DTqb,"Funicular","Tape 1","Felbm",2018-09-21,112317,27,false,togatwo,2025-01-11T03:31:17Z,"","Soundway Records Ltd",0.791,0.414,11,-13.653,0,0.152,0.201,0.732,0.0904,0.903,148.36,4
spotify:track:62WrR3OKtOuA8pKQepahj2,"Pursuit of Happiness","Covered up with Flowers","Lissie",2012-02-19,254906,10,true,togatwo,2025-01-11T03:31:36Z,"","Lionboy Records",0.382,0.723,11,-6.737,0,0.0357,0.000371,0.000679,0.13,0.263,120.09,4
spotify:track:2GeeOvZ02vgWehu9Sl8tX8,"Let’s Dance","Transfiguration of Vincent","M. Ward",2003-02-18,300186,47,false,togatwo,2025-01-11T03:32:07Z,"indie folk","Merge Records",0.454,0.207,11,-14.445,0,0.0382,0.891,0.0334,0.101,0.337,82.076,4
spotify:track:4CObWoUXArKyVLfXSd3CSR,"I Ain't Living Long Like This","The 70's Studio Album Collection","Emmylou Harris",2014-11-04,249933,5,false,togatwo,2025-01-11T03:32:25Z,"country rock,americana,folk,alt country,bluegrass,classic country,singer-songwriter","Rhino/Warner Records",0.582,0.538,0,-12.65,1,0.0348,0.391,0.0087,0.109,0.88,150.783,4
spotify:track:1SGPQAdXXDbcRX8kGoBiN3,"夢中人 - 電影《重慶森林》歌曲","傳奇 - 胡思亂想","Faye Wong",1994,261933,46,false,togatwo,2025-01-11T03:32:38Z,"cantopop,mandopop,c-pop,taiwanese pop,chinese indie","Cinepoly Records Co. Ltd.",0.628,0.764,4,-6.77,1,0.0286,0.00488,0.0000546,0.332,0.163,129.258,4
spotify:track:01OW0s1D08p55IX3njtTZ0,"The Only Mama That'll Walk The Line","Hand Sown...Home Grown","Linda Ronstadt",1969-03,142013,23,false,togatwo,2025-01-11T03:32:48Z,"country rock,mariachi","Capitol Records",0.576,0.863,3,-5.569,1,0.0398,0.18,0,0.113,0.894,152.956,4
spotify:track:0ynmh87cJ8HvBWFOooBrz6,"Don't Be Cruel","I Can Help","Billy Swan",1974-08-01,251920,49,false,togatwo,2025-01-11T03:32:58Z,"","Monument/Legacy",0.612,0.309,4,-12.312,1,0.0374,0.689,0.00342,0.0991,0.312,118.129,4
spotify:track:1bShWI36VQ686EHVo3uxS3,"Every 1's a Winner","Freedom's Goblin","Ty Segall",2018-01-26,258839,46,false,togatwo,2025-01-11T03:33:07Z,"garage rock,neo-psychedelic,psychedelic rock","Drag City Records",0.617,0.766,2,-9,1,0.0452,0.0314,0.0406,0.239,0.696,98.651,4
spotify:track:0v7171RyqDB5gc3ft0IHfY,"Superbloomer","Beach Plum","Arcy Drive",2023-11-03,277175,28,false,togatwo,2025-01-11T03:33:55Z,"","Grand Jury Music",0.489,0.625,10,-6.449,0,0.0332,0.00782,0,0.106,0.158,80.084,4
spotify:track:1ZczOoLuCyDO5dKUPndxf5,"Say a Little Prayer - Live","Say a Little Prayer (Live)","Lianne La Havas",2016-08-12,203574,58,false,togatwo,2025-01-11T03:34:06Z,"alternative r&b,soul,pop soul","Warner Records",0.492,0.326,4,-6.416,0,0.0505,0.84,0,0.696,0.376,112.218,4
spotify:track:7yHIhm47w7yPXbWrCU3NId,"Someday - triple j Like A Version","Someday (triple j Like A Version)","Julia Jacklin",2019-07-25,264908,50,false,togatwo,2025-01-11T03:34:21Z,"","Polyvinyl Records",0.438,0.237,11,-13.561,1,0.0446,0.458,0.00000562,0.0939,0.242,91.906,4
spotify:track:0MsDLUnJUO2FmChnspNKP7,"Rock Your Baby","Balearic 4","Emerson Kitamura,mmm",2018-08-10,315524,38,false,togatwo,2025-01-11T03:34:36Z,"shibuya-kei,japanese indie","Balearic",0.676,0.451,2,-12.398,1,0.044,0.0511,0.895,0.0923,0.593,93.225,4
