Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6AAaMqpMVkscrwOOKu791A,"At the River","Vertigo","Groove Armada",1999-08-04,393360,32,false,helenehoiness,2024-02-29T15:27:00Z,"big beat,trip hop","Jive",0.698,0.515,8,-8.52,1,0.0284,0.0301,0.552,0.178,0.447,136.023,4
spotify:track:5wnIDrgujfOoHAHXVRpUMF,"Right Down the Line","City to City","Gerry Rafferty",1978,267773,61,false,helenehoiness,2024-02-29T15:27:00Z,"yacht rock","Parlophone UK",0.783,0.322,0,-15.091,1,0.0343,0.213,0.00243,0.114,0.77,128.226,4
spotify:track:74xppEAz6hPwvWs4sjf4Qw,"Shadows from Nowhere","Shadows from Nowhere","Blue Gas",2020-02-28,330310,0,false,helenehoiness,2024-02-29T15:27:00Z,"","Disco Matto",0.577,0.2,2,-20.458,0,0.0533,0.528,0.0477,0.0948,0.33,159.466,4
spotify:track:0ibpvxLcFccvQJd0SjdUvW,"Connaissais de Face","Mordechai","Khruangbin",2020-06-26,260732,57,false,helenehoiness,2024-02-29T15:27:00Z,"neo-psychedelic","Dead Oceans",0.641,0.454,10,-12.553,1,0.062,0.0509,0.772,0.0772,0.972,148.955,3
spotify:track:6aQ7nlAEOhhRnsHi6eY0zT,"Promises","Mother","Cleo Sol",2021-08-20,264826,65,false,helenehoiness,2024-02-29T15:27:00Z,"neo soul,alternative r&b,uk r&b","Forever Living Originals",0.797,0.266,1,-13.758,1,0.0415,0.289,0.0368,0.0969,0.683,92.011,4
spotify:track:23IK8TF2MSiLnuEjaYPfVV,"Nightshift","Nightshift","Commodores",1985-01-01,306560,67,false,helenehoiness,2024-02-29T15:27:00Z,"motown,classic soul","UNI/MOTOWN",0.727,0.559,8,-10.194,1,0.0392,0.62,0.0114,0.0629,0.393,105.06,4
spotify:track:3eSmjY0PxxTlX6UxRDKaul,"PLACES","DANCEHALL","The Blaze",2018-09-07,214826,45,false,helenehoiness,2024-02-29T15:27:00Z,"","Columbia",0.772,0.427,4,-9.576,0,0.0437,0.495,0.724,0.108,0.0368,99.995,4
spotify:track:2pm72A1aBHKwqr05xaDW8h,"It's Not Easy","Forge Your Own Chains: Heavy Psychedelic Ballads and Dirges 1968-1974","Ofege",2009-11-17,260879,41,false,helenehoiness,2024-02-29T15:27:00Z,"","Now Again Records",0.534,0.824,2,-4.286,1,0.0432,0.325,0.00000446,0.147,0.515,79.585,4
spotify:track:4zn0kScuV9Oj28d4g9CQQs,"Jamming","Exodus (Deluxe Edition)","Bob Marley & The Wailers",1977-06-03,211000,2,false,helenehoiness,2024-02-29T15:27:00Z,"reggae,roots reggae","Tuff Gong",0.934,0.467,11,-10.99,0,0.307,0.102,0.0000398,0.109,0.73,123.583,4
spotify:track:2GnhkfBcDsFdG1MQILHM3j,"EQUILIBRIUM","EQUILIBRIUM","Darius,WAYNE SNOW",2020-10-01,289960,41,false,helenehoiness,2024-02-29T15:27:00Z,"french house,indie soul,nu disco","Roche Musique",0.738,0.508,3,-9.421,0,0.0817,0.682,0.928,0.0885,0.474,118.047,4
