Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2B4qrCRmIAaz6yeeUaFDS2,"We Won't Let You Forget","Kulululu Again","Kulululu",2022-05-28,246196,1,false,1254236223,2024-11-30T22:43:20Z,"","3454293 Records DK",0.707,0.446,4,-7.549,1,0.0838,0.121,0.00376,0.0719,0.223,122.839,4
spotify:track:5Lc05me0Kv47r0PTMkPqtH,"www she hot","www she hot","UCHE YARA",2023-09-08,254500,36,true,1254236223,2024-11-30T22:42:14Z,"","goldendays FM",0.591,0.921,1,-4.255,1,0.0613,0.124,0,0.422,0.844,145.003,3
spotify:track:5nvS1vouQkX0HxOohfqCoS,"Tren Al Sur","Coleccion Suprema","Los Prisioneros",2007-01-01,338253,66,false,1254236223,2024-11-30T22:42:56Z,"latin rock,rock en español","Capitol Latin",0.585,0.624,9,-8.966,0,0.0746,0.00418,0.0229,0.0765,0.728,180.503,4
spotify:track:4M1PEj1XAR5S1hJBUUDE23,"Mangüeiro","Mangüeiro","Baiuca,Aliboria",2019-03-08,288308,45,false,1254236223,2024-11-30T22:40:59Z,"traditional music","Raso Estudio distributed by Altafonte",0.739,0.626,2,-9.974,1,0.0914,0.0105,0.321,0.0617,0.499,96.985,4
spotify:track:36MwyyD3Bf7RHlq1zqmfMr,"Ilaló","Bienaventuranza","Chancha Via Circuito,Mateo Kingman",2018-06-08,300721,53,false,1254236223,2024-11-30T20:02:53Z,"electrocumbia,latin alternative,latin indie","WONDERWHEEL RECORDINGS",0.759,0.483,11,-10.414,0,0.0453,0.133,0.0513,0.678,0.117,95.035,4
spotify:track:3CCwrQ6AuFq9eHn3LFUOet,"plasma","plasma","Kiss Facility",2024-05-22,236615,41,false,1254236223,2024-11-30T20:20:51Z,"","ambient tweets",0.581,0.49,10,-11.13,0,0.0352,0.213,0.394,0.0767,0.16,109.972,4
spotify:track:1YNzfTqQVnQt1wUTTEvyuh,"The Clown","End of Everything","Mega Bog",2023-05-19,262571,0,false,1254236223,2024-11-30T22:37:36Z,"art pop","Mexican Summer",0.649,0.471,4,-8.341,0,0.0355,0.0573,0.00125,0.102,0.472,142.01,4
spotify:track:6HC7B4m4j4TA7wR9XGTIXh,"Sentimentale","Détends-Toi","Stella,Ed Longo,Top Technique",2022-06-17,276362,40,false,1254236223,2024-11-30T22:38:19Z,"","Cosmic Romance",0.802,0.549,8,-11.356,1,0.113,0.172,0.183,0.131,0.86,90,4
spotify:track:5Oq7B9JjgYt1916YN9nkW9,"Pampa","Paris cyclone","Charlotte Fever",2023-11-10,203000,41,false,1254236223,2024-11-30T22:38:45Z,"french indie pop,french pop,french house","Riptide Records",0.733,0.686,9,-7.514,0,0.0507,0.0994,0.00653,0.0889,0.687,100.963,4
spotify:track:09hFzxySPHV6PMWUiW91Di,"Void","mothe","Kilo Kish",2019-09-13,183641,37,false,1254236223,2024-11-30T22:40:16Z,"alternative r&b,art pop","Blacksmith Recordings, Inc",0.409,0.753,7,-7.271,1,0.0913,0.000702,0.00567,0.362,0.204,133.301,4
spotify:track:1or6MeXuCZYxha4JKqCXct,"Un roi","Casque d'or","Casque D'Or",2020-03-02,143365,17,false,1254236223,2024-11-30T22:38:53Z,"","4042572 Records DK2",0.571,0.892,7,-3.987,1,0.0766,0.00234,0.0126,0.216,0.72,163.104,4
spotify:track:3x9BHDNsyg50xSEzmLMyUd,"Ouda","Kawahel","Hamid Al Shaeri",1987-12-31,278374,57,false,1254236223,2024-11-30T22:39:00Z,"egyptian pop","Global",0.661,0.416,6,-10.337,0,0.0324,0.771,0.00000625,0.129,0.66,106.217,4
spotify:track:3JbCXbVqYKkq5qSp6sE3Ib,"Poison","Modern Life","Jaakko Eino Kalevi",2010-08-30,302200,18,false,1254236223,2024-11-30T22:39:22Z,"","Helmi Levyt & JEKS Viihde",0.733,0.396,4,-13.126,0,0.0324,0.0402,0.881,0.0923,0.203,122.483,4
spotify:track:20jLunM1GMasrScNWN45mP,"Origami Song","tender","Shingo Sekiguchi",2023-12-06,261638,27,false,1254236223,2024-11-30T22:39:32Z,"lo-fi beats","origami PRODUCTIONS",0.882,0.47,6,-7.422,1,0.0487,0.75,0.434,0.105,0.339,114.01,4
spotify:track:692sZWA4Xqby6p8EKfu4ZS,"A Place To Lie","Soft Landing","Art School Girlfriend",2023-08-04,323210,32,false,1254236223,2024-11-30T22:40:39Z,"","Fiction",0.508,0.722,7,-8.204,0,0.0265,0.256,0.455,0.304,0.187,149.005,4
spotify:track:5C25UbDGoB9pgvqFlGfS9A,"Bloom For Me","Call For Help","Pearly Drops",2020-11-20,147441,53,false,1254236223,2024-11-30T22:40:01Z,"","FEF Corp.",0.533,0.699,5,-6.595,1,0.0362,0.15,0.745,0.0883,0.544,129.006,4
spotify:track:4U66PuN4v7VfSI9ZVmNfpw,"Adeleine","Somebody Else's Song","Water From Your Eyes",2019-10-25,256461,44,false,1254236223,2024-11-30T22:40:18Z,"","Exploding In Sound Records",0.656,0.794,11,-8.767,0,0.0354,0.285,0.629,0.128,0.969,81.915,4
spotify:track:5nVE45ithgyVocZp5XLAk6,"The Bug Collector","I Need to Start a Garden","Haley Heynderickx",2018-03-02,228459,69,true,1254236223,2024-11-30T22:38:29Z,"","Mama Bird Recording Co.",0.538,0.419,10,-9.705,1,0.0353,0.777,0.329,0.0967,0.529,99.622,4
spotify:track:2i9lo804QOxcCYQCLslCgk,"Say Goodbye","Say Goodbye","Ultraflex",2024-05-10,218852,22,false,1254236223,2024-11-30T22:40:27Z,"","marvaða",0.658,0.623,5,-8.373,1,0.0328,0.135,0.0245,0.0649,0.906,111.039,4
spotify:track:3SH1vOTwgg5Ma1NhHaXvrA,"Echo","Submarine","The Marías",2024-05-31,209426,67,false,1254236223,2024-11-30T22:40:31Z,"bedroom pop","Nice Life/Atlantic",0.747,0.453,2,-6.884,0,0.0413,0.53,0.000786,0.105,0.765,81.012,4
spotify:track:5ttsVdeGeEcL29fmIJ62FR,"Love the Sun","Zdenka 2080","Salami Rose Joe Louis",2019-08-30,149454,20,false,1254236223,2024-11-30T22:40:35Z,"bedroom pop","Brainfeeder",0.54,0.247,10,-14.951,1,0.0307,0.842,0.882,0.109,0.0973,109.997,4
spotify:track:7gc1P22QgTmSkEhIIBFJpc,"Ne sois pas triste","Sans Titre","Galatée",2019-05-13,176250,32,false,1254236223,2024-11-30T22:40:49Z,"cold wave,darkwave,electroclash","609400 Records DK",0.542,0.471,1,-15.171,1,0.0291,0.171,0.94,0.112,0.498,127.984,4
spotify:track:5uJv78xFutgvPDBWaZrNJc,"Un Amore Debole","Un Amore Debole","Ada Oda",2022-11-25,133520,23,false,1254236223,2024-11-30T22:41:10Z,"","62Tv Records",0.799,0.602,5,-5.19,0,0.0373,0.0467,0.0131,0.14,0.855,119.964,4
spotify:track:2BigkQQGvgUdj5moWxXuti,"Josephine","Constellation","Caoilfhionn Rose",2024-05-24,280475,43,false,1254236223,2024-11-30T22:41:59Z,"","Gondwana Records",0.566,0.283,5,-15.54,0,0.0258,0.867,0.189,0.109,0.184,93.959,4
