Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:04oVtYkuJ8j7BtWnN1CBMz,"How Have I Lived","Changes","Neal Francis",2019-09-20,246520,33,false,togatwo,2025-06-18T21:58:42Z,"","Karma Chief Records",0.609,0.714,11,-6.46,1,0.105,0.0452,0.0112,0.18,0.962,169.002,4
spotify:track:57NbelD7NoWpb6dXVcOEbM,"Alegría","La Onda de Elia y Elizabeth","Elia y Elizabeth",1973,241946,53,false,togatwo,2025-06-18T21:58:48Z,"","Vampisoul",0.557,0.764,11,-6.054,0,0.0673,0.398,0.00000306,0.0537,0.925,102.282,4
spotify:track:1UhfqG8us3X5rygBwy4POa,"Solar Pilgrim","Rare Feeling","Twain",2017-10-20,320548,40,false,togatwo,2025-06-18T21:58:59Z,"","Keeled Scales",0.409,0.212,5,-12.308,1,0.0298,0.852,0.061,0.639,0.288,148.23,3
spotify:track:5BeLLbwf4RUDccIVdzjuIh,"Todo Terminó","Who Me?","Juan Wauters",2015-05-12,156563,40,false,1a74b63i0zf75qotyz7k0d8ew,2025-06-18T22:35:13Z,"latin indie","Captured Tracks",0.747,0.795,2,-5.311,1,0.048,0.704,0.00000153,0.0968,0.908,130.539,4
spotify:track:4km3aB077ieI1Gli9XapiV,"To the Boys","First Flower","Molly Burch",2018-10-05,227092,38,false,1a74b63i0zf75qotyz7k0d8ew,2025-06-18T22:36:14Z,"","Captured Tracks",0.591,0.423,4,-11.602,0,0.033,0.16,0.0345,0.122,0.581,150.769,4
spotify:track:6QhhnBsVJ8WepUb1KLTFFH,"Farewell Transmission","Farewell Transmission b/w The Dark Don’t Hide It","Kevin Morby,Waxahatchee",2018-01-25,417533,45,false,1a74b63i0zf75qotyz7k0d8ew,2025-06-18T22:36:19Z,"alt country","Dead Oceans",0.529,0.37,1,-10.125,1,0.033,0.167,0.000402,0.0607,0.198,83.515,4
spotify:track:3R1DPDoWdFdPeBj4aLwqBo,"Bemyself - from Hansa Studios Berlin","Live Vol. 1","Parcels",2020-04-29,268799,56,false,togatwo,2025-06-19T00:35:50Z,"indie soul","Kitsuné Musique",0.913,0.533,9,-9.211,1,0.0389,0.268,0.0069,0.118,0.811,112.951,4
spotify:track:0nys6GusuHnjSYLW0PYYb7,"Chaise Longue","Wet Leg","Wet Leg",2022-04-08,196905,66,false,togatwo,2025-06-19T00:37:52Z,"indie rock,indie","Domino Recording Co",0.684,0.749,7,-6.565,1,0.06,0.00135,0.111,0.141,0.935,160.021,4
spotify:track:4ug5wsIcbAPBun8TCKn2t6,"Ur Mum","Wet Leg","Wet Leg",2022-04-08,201253,60,true,togatwo,2025-06-19T00:38:00Z,"indie rock,indie","Domino Recording Co",0.685,0.72,4,-5.553,1,0.028,0.00702,0.275,0.425,0.554,133.016,4
spotify:track:260Ub1Yuj4CobdISTOBvM9,"Wet Dream","Wet Leg","Wet Leg",2022-04-08,140080,72,false,togatwo,2025-06-19T00:38:50Z,"indie rock,indie","Domino Recording Co",0.721,0.701,2,-5.941,1,0.0306,0.000927,0.026,0.234,0.892,130.091,3
