Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3V9xkKyIay7cF7BeruEYtj,"Saguaro","Hacienda Brothers","Hacienda Brothers",2005-02-22,263653,0,false,ifypvx1vat7lnmm13g5v3o9u1,2021-03-13T13:41:26Z,"alt country,americana,honky tonk","eOne Music",0.481,0.184,2,-13.723,1,0.0266,0.941,0.902,0.1,0.121,87.471,4
spotify:track:2KUdl2280T7FCbsUT7DWBa,"Peacock Angel","Dropout City","Trummors",2020-08-21,228928,1,false,ifypvx1vat7lnmm13g5v3o9u1,2021-03-13T13:41:04Z,"americana","Ernest Jenning Record Co.",0.506,0.441,7,-10.074,1,0.0261,0.88,0.893,0.279,0.272,133.694,4
spotify:track:00H9LbeT8kXfF9sjvT9j2j,"Ropes","MIEN","MIEN",2018-04-06,243082,5,false,ifypvx1vat7lnmm13g5v3o9u1,2021-03-13T13:42:43Z,"neo-psychedelic,space rock,psychedelic rock","Rocket Recordings",0.585,0.655,0,-10.099,1,0.0376,0.11,0.522,0.748,0.209,113.049,4
spotify:track:7wSI9FIOjLQPslUlaZYSCh,"Frontier","1986","Andrew Collberg",2020-11-06,177000,0,false,ifypvx1vat7lnmm13g5v3o9u1,2021-03-13T13:40:11Z,"","Papercup Records",0.345,0.0705,4,-16.253,1,0.0378,0.896,0.845,0.111,0.031,80.038,3
spotify:track:1HeW4yutfduUCaM8Fk9x9x,"Para Entrar en la Sierra","La Selva","Uay",2020-09-21,264500,0,false,ifypvx1vat7lnmm13g5v3o9u1,2021-03-13T13:40:53Z,"space rock,mexican rock,psychedelic rock","Halfshell Records",0.682,0.295,2,-17.451,0,0.0393,0.957,0.643,0.0859,0.412,89.934,4
spotify:track:48YofEVJ239yxyoqUu1DvQ,"Heaventually","Heartbreak Pass","Giant Sand",2015-05-01,207173,0,false,ifypvx1vat7lnmm13g5v3o9u1,2021-03-13T14:24:54Z,"alt country,americana","New West Records",0.733,0.305,7,-13.013,1,0.0366,0.794,0.0496,0.116,0.312,110.044,4
spotify:track:0coCFsNG4gTIJAeMdZuEQf,"Moon Castle I","Cave Vaults of the Moon","Joanne Forman",2018-06-04,193371,13,false,ifypvx1vat7lnmm13g5v3o9u1,2021-03-13T13:40:42Z,"","Séance Centre",0.132,0.322,2,-14.771,0,0.0357,0.808,0.193,0.231,0.187,149.664,5
spotify:track:1PfxpvYfwXEE6uKbJvieiW,"Sepiatoned Rainbow","Feelsounds","Diatom Deli",2014-03-10,254950,3,false,ifypvx1vat7lnmm13g5v3o9u1,2021-03-13T13:41:44Z,"indie folk,ambient folk","Diatom Deli",0.476,0.222,11,-17.298,1,0.0344,0.781,0.00444,0.12,0.554,157.276,1
spotify:track:5NLXM7F90R4GfUZxOtyUsX,"Astral Plane Blues","L.A. Yesterday","Lee Gallagher,The Hallelujah",2020-07-24,237106,0,false,ifypvx1vat7lnmm13g5v3o9u1,2021-03-13T13:38:51Z,"roots rock,alt country,americana","Lee Gallagher and The Hallelujah",0.318,0.626,9,-4.572,1,0.0313,0.129,0.0027,0.331,0.359,139.78,4
spotify:track:6b2kdfJU4Rqw0MXmpvRHJN,"Staring Out The Window","Sweet Unknown","Erika Wennerstrom",2018-03-23,364240,0,false,ifypvx1vat7lnmm13g5v3o9u1,2021-03-13T13:47:00Z,"","PTKF",0.471,0.564,9,-5.822,1,0.0284,0.0996,0.312,0.0957,0.232,120.957,3
spotify:track:1oIcZFdUtVlm38ieHnwTY1,"Looking for Pine and Obsidian","Origin Myths","Bobby Lee",2021-03-05,137000,12,false,ifypvx1vat7lnmm13g5v3o9u1,2021-03-13T13:40:31Z,"ambient folk","Tompkins Square",0.16,0.343,7,-13.253,1,0.0381,0.919,0.939,0.108,0.0388,88.325,4
