Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:28kOpVf1aCgL0LSFfuKV4w,"Oom Sha La La","I Need to Start a Garden","Haley Heynderickx",2018-03-02,177339,52,false,,1970-01-01T00:00:00Z,"","Mama Bird Recording Co.",0.538,0.417,2,-9.176,1,0.0361,0.275,0,0.206,0.252,115.422,4
spotify:track:3v6NuKeDbFbaq1lNjw3XtR,"Pulaski at Night","I Want to See Pulaski at Night","Andrew Bird",2013-11-12,289093,0,false,,1970-01-01T00:00:00Z,"baroque pop,indie folk","Wegawam Music Co.",0.446,0.643,7,-7.925,1,0.0561,0.67,0.000818,0.0951,0.531,99.608,4
spotify:track:0qoxosaLZmzLcIIJqbt9sK,"Supermoon","Endless Field","Endless Field,Jesse Lewis,Ike Sturm,Donny McCaslin",2017-06-23,238407,4,false,,1970-01-01T00:00:00Z,"jazz,jazz fusion,nu jazz","Biophilia Records",0.281,0.465,9,-8.818,1,0.0426,0.832,0.884,0.0928,0.116,175.843,3
spotify:track:06lw2dBFqdXhAErz7Xz9Zs,"The Barrel","Designer","Aldous Harding",2019-04-26,299440,56,false,,1970-01-01T00:00:00Z,"ambient folk","4AD",0.732,0.408,11,-8.475,1,0.036,0.747,0.000229,0.069,0.663,87.015,4
spotify:track:6IUwiHsyKAZtfBy37Wu4ij,"Heavy Water/I'd Rather Be Sleeping","Dragging a Dead Deer Up a Hill","Grouper",2008,173026,51,false,,1970-01-01T00:00:00Z,"drone,slowcore,ambient,dream pop","Yellowelectric",0.458,0.309,2,-14.186,1,0.0283,0.909,0.956,0.118,0.0556,106.006,4
spotify:track:4KROoGIaPaR1pBHPnR3bwC,"Pink Moon","Pink Moon","Nick Drake",1972-02-25,124000,66,false,,1970-01-01T00:00:00Z,"folk,singer-songwriter","UMC (Universal Music Catalogue)",0.642,0.427,3,-8.471,1,0.0402,0.871,0.0904,0.124,0.404,82.344,4
spotify:track:2onwGkRssOUGNFfLdIvxef,"Ember","Endless Field","Endless Field,Jesse Lewis,Ike Sturm",2017-06-23,266629,3,false,,1970-01-01T00:00:00Z,"","Biophilia Records",0.439,0.447,2,-16.616,0,0.0323,0.944,0.874,0.108,0.225,85.73,4
spotify:track:5Zlaa2clhbuXhaZhlUtng9,"Eventual Surrender","Goes West","William Tyler",2019-01-25,183546,37,false,,1970-01-01T00:00:00Z,"ambient folk","Merge Records",0.542,0.334,0,-13.643,1,0.0283,0.782,0.957,0.0944,0.203,80.038,4
spotify:track:4nehxVflg443IcjhsqpfEG,"Para Qué Sufrir","Hasta la Raíz (Edición Especial)","Natalia Lafourcade",2015-11-13,226733,56,false,,1970-01-01T00:00:00Z,"latin folk,bolero,latin indie,latin folklore,latin alternative","RCA Records Label",0.684,0.24,11,-13.391,0,0.0372,0.928,0.0000286,0.105,0.262,117.005,4
spotify:track:6LxcPUqx6noURdA5qc4BAT,"Motion Sickness","Stranger in the Alps","Phoebe Bridgers",2017-09-22,229760,1,false,,1970-01-01T00:00:00Z,"","Dead Oceans",0.652,0.545,1,-9.021,1,0.0358,0.774,0.0428,0.0847,0.626,107.019,4
spotify:track:56njPoHesBSNFDAq3i1G1b,"Airglow","Endless Field","Endless Field,Jesse Lewis,Ike Sturm,Ingrid Jensen",2017-06-23,280298,3,false,,1970-01-01T00:00:00Z,"big band,jazz","Biophilia Records",0.483,0.404,3,-10.041,1,0.0301,0.575,0.915,0.191,0.247,134.042,4
spotify:track:0M5DFlnFvVK7LLGFvmwM0M,"Nuthinduan Waltz","Music of Hair","Andrew Bird",1992-05-31,300800,0,false,,1970-01-01T00:00:00Z,"baroque pop,indie folk","Wegawam Music Co.",0.325,0.101,2,-15.775,1,0.0354,0.744,0,0.157,0.246,119.631,3
spotify:track:3C3MWIiv7Z8wSFWX2J2dkW,"Call Me When I'm Breathing Again","Goes West","William Tyler",2019-01-25,180746,24,false,,1970-01-01T00:00:00Z,"ambient folk","Merge Records",0.584,0.221,5,-11.408,1,0.0358,0.932,0.63,0.124,0.203,128.62,4
spotify:track:2NVaKeIAUZwN5tXnn12EMi,"The Breeze","Fate","Dr. Dog",2008-07-22,239093,0,false,,1970-01-01T00:00:00Z,"","Park The Van",0.611,0.538,9,-7.74,1,0.0343,0.76,0.0000268,0.612,0.319,90.124,4
spotify:track:4RTaVsIh3sjMJx4N6WQhz4,"A Voice in the Open Wild","Endless Field","Endless Field,Jesse Lewis,Ike Sturm",2017-06-23,150369,2,false,,1970-01-01T00:00:00Z,"","Biophilia Records",0.499,0.0632,4,-18.343,1,0.0883,0.948,0.784,0.0999,0.105,133.214,3
spotify:track:6cEplYfowfXU3SJRnkrwBe,"Breathe in My Lungs","Mythological Beauty","Big Thief",2017-04-21,172484,0,false,,1970-01-01T00:00:00Z,"","Saddle Creek",0.348,0.0671,1,-15.582,1,0.0407,0.974,0.000748,0.108,0.0908,98.082,3
spotify:track:1NCrOb8bar4q8rxDtDNHTW,"Not Today Mate","Morning Matters","Yazmin Lacey",2020-03-27,217093,0,false,,1970-01-01T00:00:00Z,"indie soul,neo soul,alternative r&b","Own Your Own Records",0.678,0.454,0,-7.887,0,0.237,0.828,0.00289,0.115,0.602,91.848,4
spotify:track:7EtMa8eHEOfvh1ANRHQ9uh,"For Sure","As Long As You Are","Future Islands",2020-10-09,205249,55,false,,1970-01-01T00:00:00Z,"","4AD",0.584,0.76,10,-5.724,1,0.0299,0.0475,0.187,0.0843,0.782,134.989,4
spotify:track:6Lq8BF2QwuZhQsCaCfUyUZ,"Kilde","Endless Field","Endless Field,Jesse Lewis,Ike Sturm",2017-06-23,156484,1,false,,1970-01-01T00:00:00Z,"","Biophilia Records",0.41,0.356,9,-14.293,1,0.0314,0.944,0.952,0.0981,0.204,154.616,4
spotify:track:5nVE45ithgyVocZp5XLAk6,"The Bug Collector","I Need to Start a Garden","Haley Heynderickx",2018-03-02,228459,69,true,,1970-01-01T00:00:00Z,"","Mama Bird Recording Co.",0.538,0.419,10,-9.705,1,0.0353,0.777,0.329,0.0967,0.529,99.622,4
spotify:track:1HeW4yutfduUCaM8Fk9x9x,"Para Entrar en la Sierra","La Selva","Uay",2020-09-21,264500,0,false,,1970-01-01T00:00:00Z,"space rock,mexican rock,psychedelic rock","Halfshell Records",0.682,0.295,2,-17.451,0,0.0393,0.957,0.643,0.0859,0.412,89.934,4
spotify:track:4JAMwBOzLF61hZVndX0oGQ,"Orpheo Looks Back","Break It Yourself","Andrew Bird",2012-03-06,293860,0,false,,1970-01-01T00:00:00Z,"baroque pop,indie folk","Wegawam Music Co.",0.578,0.639,7,-6.77,1,0.0324,0.637,0.43,0.122,0.78,155.82,4
spotify:track:1SvLY7Ed5oI2gpkf3B0xin,"Daybreak in Canyonland","Endless Field","Endless Field,Jesse Lewis,Ike Sturm",2017-06-23,327568,1,false,,1970-01-01T00:00:00Z,"","Biophilia Records",0.28,0.221,0,-16.079,1,0.0342,0.757,0.642,0.0983,0.0608,78.066,5
spotify:track:4fbvXwMTXPWaFyaMWUm9CR,"Holocene","Bon Iver","Bon Iver",2011-06-21,336613,0,true,,1970-01-01T00:00:00Z,"","Jagjaguwar",0.374,0.304,1,-14.52,1,0.0302,0.943,0.298,0.126,0.147,147.969,4
spotify:track:5S3F5GL8LASIjPg2PMiU1Q,"Emerald Rush","Singularity","Jon Hopkins",2018-05-04,336706,43,false,,1970-01-01T00:00:00Z,"idm,ambient","Domino Recording Co",0.414,0.498,1,-11.945,0,0.0579,0.00629,0.87,0.205,0.37,106.978,4
spotify:track:1X8ohMqqhDlXt9tFh2EyOJ,"Spain","Spain","Julie Byrne,Steve Sobs",2018-08-10,286066,0,false,,1970-01-01T00:00:00Z,"ambient folk","Cascine",0.102,0.0857,7,-18.255,1,0.0344,0.982,0.956,0.294,0.0329,91.017,4
spotify:track:4rX2SyEhZJF3nwzXKFcMsw,"Unending Season","Endless Field","Endless Field,Jesse Lewis,Ike Sturm",2017-06-23,294844,4,false,,1970-01-01T00:00:00Z,"","Biophilia Records",0.47,0.375,1,-12.807,1,0.0331,0.935,0.919,0.109,0.194,152.87,3
spotify:track:1mc52R1XorkoNxtQX6Y7ZH,"Valley of the Moon Reel","In the Moment","Alasdair Fraser,Natalie Haas,Hanneke Cassel,Eric Rigler",2007-12-14,241400,19,false,,1970-01-01T00:00:00Z,"celtic,traditional folk","Culburnie Records",0.502,0.478,9,-9.534,1,0.0358,0.513,0.0595,0.339,0.688,121.946,4
spotify:track:6s0F09N7jp4wSqN8vVgMQR,"Back To Oz","A Beginner's Mind","Sufjan Stevens,Angelo De Augustine",2021-09-24,252052,49,false,,1970-01-01T00:00:00Z,"baroque pop","Asthmatic Kitty",0.438,0.408,8,-10.461,0,0.0314,0.528,0.00118,0.131,0.441,170.068,4
spotify:track:0xLZYogTns1lNiyj7oXdwN,"Appalachia Waltz","The Essential Mark O'Connor","Mark O'Connor,Yo-Yo Ma,Edgar Meyer",1996,345840,26,false,,1970-01-01T00:00:00Z,"bluegrass,newgrass,classical,chamber music","Sony Classical",0.0889,0.038,2,-24.614,1,0.0493,0.904,0.153,0.146,0.0772,85.448,4
spotify:track:5vwejA04aVHCr6X3B7tJ1C,"Dinosaur Dreams","Endless Field","Endless Field,Jesse Lewis,Ike Sturm",2017-06-23,178503,1,false,,1970-01-01T00:00:00Z,"","Biophilia Records",0.324,0.321,7,-13.372,1,0.035,0.887,0.946,0.12,0.105,138.116,4
spotify:track:0VMv0GEvjNAeTW1SRxeg9Q,"Calling","Who Are You?","Joel Ross",2020-10-23,61453,9,false,,1970-01-01T00:00:00Z,"jazz","Blue Note Records",0.57,0.0056,8,-29.065,0,0.0432,0.916,0.919,0.115,0.394,91.989,4
spotify:track:0fwSyDz01EF1AfpYaWPMy0,"Fictional California","A Beginner's Mind","Sufjan Stevens,Angelo De Augustine",2021-09-24,170516,34,false,,1970-01-01T00:00:00Z,"baroque pop","Asthmatic Kitty",0.581,0.284,7,-13.723,1,0.0423,0.912,0.000426,0.114,0.412,78.774,4
spotify:track:7jCcWahpAVbuUVNu9AIq6K,"Own Your Own","Morning Matters","Yazmin Lacey",2020-03-27,236093,0,true,,1970-01-01T00:00:00Z,"indie soul,neo soul,alternative r&b","Own Your Own Records",0.606,0.377,2,-9.507,1,0.193,0.384,0.0129,0.107,0.306,81.885,4
spotify:track:01ipM9JZnDsFAbQugeZZ10,"Infinite Cascade","Endless Field","Endless Field,Jesse Lewis,Ike Sturm",2017-06-23,258231,2,false,,1970-01-01T00:00:00Z,"","Biophilia Records",0.325,0.41,9,-13.593,1,0.0304,0.892,0.611,0.108,0.185,141.607,1
spotify:track:0yiJNNm39cp1T7RnXOMVLX,"Ferris Wheel","Free Love","Sylvan Esso",2020-09-25,177920,52,false,,1970-01-01T00:00:00Z,"","Loma Vista Recordings",0.836,0.74,9,-4.77,0,0.057,0.0622,0.0034,0.121,0.445,101.986,4
